key,0,1,2,3,4
#,Instance,Item,,,
int32,InstanceContent,Item,byte,byte,byte
0,"InstanceContent#13","希少トームストーン:真理",3,0,0
1,"InstanceContent#5","希少トームストーン:真理",4,0,0
2,"InstanceContent#32","希少トームストーン:真理",4,0,0
3,"InstanceContent#19","希少トームストーン:真理",4,0,0
4,"InstanceContent#22","希少トームストーン:真理",4,0,0
5,"InstanceContent#30058","希少トームストーン:真理",5,0,0
6,"InstanceContent#30068","希少トームストーン:真理",6,0,0
7,"InstanceContent#30077","希少トームストーン:真理",7,0,0
8,"InstanceContent#30049","希少トームストーン:真理",2,0,0
9,"InstanceContent#30050","希少トームストーン:真理",2,0,0
10,"InstanceContent#30051","希少トームストーン:真理",2,0,0
11,"InstanceContent#30052","希少トームストーン:真理",2,0,0
12,"InstanceContent#30059","希少トームストーン:真理",2,0,0
13,"InstanceContent#30060","希少トームストーン:真理",2,0,0
14,"InstanceContent#30061","希少トームストーン:真理",2,0,0
15,"InstanceContent#30062","希少トームストーン:真理",2,0,0
16,"InstanceContent#30069","希少トームストーン:真理",2,0,0
17,"InstanceContent#30070","希少トームストーン:真理",2,0,0
18,"InstanceContent#30071","希少トームストーン:真理",2,0,0
19,"InstanceContent#30072","希少トームストーン:真理",2,0,0
20,"InstanceContent#20068","希少トームストーン:真理",2,0,0
21,"InstanceContent#20073","希少トームストーン:真理",2,0,0
22,"InstanceContent#20075","希少トームストーン:真理",2,0,0
23,"InstanceContent#15","希少トームストーン:真理",4,0,0
24,"InstanceContent#86","希少トームストーン:真理",7,0,0
25,"InstanceContent#20082","希少トームストーン:真理",3,0,0
26,"InstanceContent#50001","希少トームストーン:真理",5,3,3
27,"InstanceContent#50004","希少トームストーン:真理",5,3,3
28,"InstanceContent#50005","希少トームストーン:真理",5,3,3
29,"InstanceContent#50006","希少トームストーン:真理",5,3,3
30,"InstanceContent#0","",0,0,0
31,"InstanceContent#0","",0,0,0
32,"InstanceContent#0","",0,0,0
33,"InstanceContent#0","",0,0,0
34,"InstanceContent#0","",0,0,0
35,"InstanceContent#0","",0,0,0
36,"InstanceContent#0","",0,0,0
