key,0,1,2,3
#,Name,Icon,Order{Minor},Order{Major}
int32,str,Image,byte,byte
0,"",,0,0
1,"格闘武器","ui/icon/060000/060101.tex",6,1
2,"片手剣","ui/icon/060000/060102.tex",0,1
3,"両手斧","ui/icon/060000/060103.tex",1,1
4,"弓","ui/icon/060000/060105.tex",9,1
5,"両手槍","ui/icon/060000/060104.tex",4,1
6,"片手呪具","ui/icon/060000/060108.tex",12,1
7,"両手呪具","ui/icon/060000/060108.tex",13,1
8,"片手幻具","ui/icon/060000/060107.tex",17,1
9,"両手幻具","ui/icon/060000/060107.tex",18,1
10,"魔道書","ui/icon/060000/060109.tex",14,1
11,"盾","ui/icon/060000/060110.tex",0,3
12,"木工道具(主道具)","ui/icon/060000/060112.tex",0,2
13,"木工道具(副道具)","ui/icon/060000/060112.tex",1,2
14,"鍛冶道具(主道具)","ui/icon/060000/060113.tex",2,2
15,"鍛冶道具(副道具)","ui/icon/060000/060113.tex",3,2
16,"甲冑道具(主道具)","ui/icon/060000/060114.tex",4,2
17,"甲冑道具(副道具)","ui/icon/060000/060114.tex",5,2
18,"彫金道具(主道具)","ui/icon/060000/060115.tex",6,2
19,"彫金道具(副道具)","ui/icon/060000/060115.tex",7,2
20,"革細工道具(主道具)","ui/icon/060000/060116.tex",8,2
21,"革細工道具(副道具)","ui/icon/060000/060116.tex",9,2
22,"裁縫道具(主道具)","ui/icon/060000/060117.tex",10,2
23,"裁縫道具(副道具)","ui/icon/060000/060117.tex",11,2
24,"錬金道具(主道具)","ui/icon/060000/060118.tex",12,2
25,"錬金道具(副道具)","ui/icon/060000/060118.tex",13,2
26,"調理道具(主道具)","ui/icon/060000/060119.tex",14,2
27,"調理道具(副道具)","ui/icon/060000/060119.tex",15,2
28,"採掘道具(主道具)","ui/icon/060000/060120.tex",16,2
29,"採掘道具(副道具)","ui/icon/060000/060120.tex",17,2
30,"園芸道具(主道具)","ui/icon/060000/060121.tex",18,2
31,"園芸道具(副道具)","ui/icon/060000/060121.tex",19,2
32,"漁道具(主道具)","ui/icon/060000/060122.tex",20,2
33,"釣り餌","ui/icon/060000/060123.tex",29,7
