key,0,1,2,3,4
#,JobHudManual[0],JobHudManual[1],JobHudManual[2],,
int32,JobHudManual,JobHudManual,JobHudManual,byte,byte
0,"","","",0,0
1,"钢铁信念","","",0,0
2,"","","",0,0
3,"守护","","",0,0
4,"火炎","","",0,0
5,"能量吸收","","",0,0
6,"极限技","","",0,0
7,"斗气","","",0,0
8,"稳手","","",0,0
9,"毁灭","苍天龙血","",0,0
10,"回收","放浪神的小步舞曲","军神的赞美歌",26,0
11,"加速","反撃効果","",0,0
12,"以小钓大","秽浊","冰澈",33,0
13,"直觉甄别II","脉冲枪","龙神召唤",38,0
14,"炽天召唤","以太契约","以太超流",0,0
15,"召唤","人之印","",0,0
16,"车式浮空炮塔","超荷","",0,0
17,"掠影示现","至黑之夜","魔泉",6,5
18,"占卜","抽卡","",0,0
19,"照破","农夫之智","居合术",0,0
20,"摇荡","","",0,0
21,"内静","王室亲卫","",0,0
22,"内静","技巧舞步","内静",41,0
