key,0,1,2,3
#,Icon,JournalCategory,,Name
int32,Image,JournalCategory,bit&01,str
0,,"無効カテゴリ",False,""
1,"ui/icon/061000/061412.tex","メインクエスト：新生エオルゼア",True,"新生エオルゼア"
2,"ui/icon/061000/061412.tex","メインクエスト：第七星暦ストーリー",True,"第七星暦ストーリー"
3,"ui/icon/061000/061412.tex","メインクエスト：蒼天のイシュガルド",True,"蒼天のイシュガルド"
4,"ui/icon/061000/061412.tex","メインクエスト：竜詩戦争 完結編",True,"竜詩戦争 完結編"
5,"ui/icon/061000/061412.tex","メインクエスト：竜詩戦争 戦後編",True,"竜詩戦争 戦後編"
6,"ui/icon/061000/061412.tex","メインクエスト：紅蓮のリベレーター",True,"紅蓮のリベレーター"
7,"ui/icon/061000/061412.tex","メインクエスト：解放戦争 戦後編",True,"解放戦争 戦後編"
8,"ui/icon/061000/061412.tex","メインクエスト：漆黒のヴィランズ",True,"漆黒のヴィランズ"
9,"ui/icon/061000/061412.tex","メインクエスト：暁の帰還編",True,"暁の帰還編"
10,"ui/icon/061000/061412.tex","メインクエスト：終末の序曲編",True,"終末の序曲編"
11,"ui/icon/061000/061412.tex","メインクエスト：暁月のフィナーレ",True,"暁月のフィナーレ"
12,"ui/icon/061000/061412.tex","メインクエスト：新たなる冒険編",True,"新たなる冒険編"
13,"ui/icon/061000/061411.tex","クロニクルクエスト：蛮神の脅威",True,"蛮神の脅威"
14,"ui/icon/061000/061411.tex","クロニクルクエスト：バハムート",True,"バハムート"
15,"ui/icon/061000/061411.tex","クロニクルクエスト：クリスタルタワー",True,"クリスタルタワー"
16,"ui/icon/061000/061411.tex","クロニクルクエスト：アレキサンダー",True,"アレキサンダー"
17,"ui/icon/061000/061411.tex","クロニクルクエスト：古の神々",True,"古の神々"
18,"ui/icon/061000/061411.tex","クロニクルクエスト：シャドウ・オブ・マハ",True,"シャドウ・オブ・マハ"
19,"ui/icon/061000/061411.tex","クロニクルクエスト：オメガ",True,"次元の狭間オメガ"
20,,"無効カテゴリ",False,""
21,"ui/icon/061000/061411.tex","クロニクルクエスト：リターン・トゥ・イヴァリース",True,"リターン・トゥ・イヴァリース"
22,"ui/icon/061000/061411.tex","クロニクルクエスト：四聖獣奇譚",True,"四聖獣奇譚"
23,"ui/icon/061000/061411.tex","クロニクルクエスト：エデン",True,"エデン"
24,"ui/icon/061000/061411.tex","YoRHa: Dark Apocalypse",True,"YoRHa: Dark Apocalypse"
25,"ui/icon/061000/061411.tex","クロニクルクエスト：ウェルリト戦役",True,"ウェポンシリーズ"
26,"ui/icon/061000/061411.tex","クロニクルクエスト：パンデモニウム",True,"パンデモニウム"
27,"ui/icon/061000/061411.tex","クロニクルクエスト：ミソロジー・オブ・エオルゼア",True,"ミソロジー・オブ・エオルゼア"
28,,"無効カテゴリ",False,""
29,,"無効カテゴリ",False,""
30,"ui/icon/061000/061411.tex","蛮族クエスト：アマルジャ族",True,"ストーリークエスト"
31,"ui/icon/061000/061411.tex","蛮族クエスト：アマルジャ族",True,"デイリークエスト"
32,"ui/icon/061000/061411.tex","蛮族クエスト：シルフ族",True,"ストーリークエスト"
33,"ui/icon/061000/061411.tex","蛮族クエスト：シルフ族",True,"デイリークエスト"
34,"ui/icon/061000/061411.tex","蛮族クエスト：コボルド族",True,"ストーリークエスト"
35,"ui/icon/061000/061411.tex","蛮族クエスト：コボルド族",True,"デイリークエスト"
36,"ui/icon/061000/061411.tex","蛮族クエスト：サハギン族",True,"ストーリークエスト"
37,"ui/icon/061000/061411.tex","蛮族クエスト：サハギン族",True,"デイリークエスト"
38,"ui/icon/061000/061411.tex","蛮族クエスト：イクサル族",True,"ストーリークエスト"
39,"ui/icon/061000/061411.tex","蛮族クエスト：イクサル族",True,"デイリークエスト"
40,"ui/icon/061000/061411.tex","蛮族クエスト：バヌバヌ族",True,"ストーリークエスト"
41,"ui/icon/061000/061411.tex","蛮族クエスト：バヌバヌ族",True,"デイリークエスト"
42,"ui/icon/061000/061411.tex","蛮族クエスト：グナース族",True,"ストーリークエスト"
43,"ui/icon/061000/061411.tex","蛮族クエスト：グナース族",True,"デイリークエスト"
44,"ui/icon/061000/061411.tex","蛮族クエスト：モーグリ族",True,"ストーリークエスト"
45,"ui/icon/061000/061411.tex","蛮族クエスト：モーグリ族",True,"デイリークエスト"
46,"ui/icon/061000/061411.tex","蛮族クエスト：コウジン族",True,"ストーリークエスト"
47,"ui/icon/061000/061411.tex","蛮族クエスト：コウジン族",True,"デイリークエスト"
48,"ui/icon/061000/061411.tex","蛮族クエスト：アナンタ族",True,"ストーリークエスト"
49,"ui/icon/061000/061411.tex","蛮族クエスト：アナンタ族",True,"デイリークエスト"
50,"ui/icon/061000/061411.tex","蛮族クエスト：ナマズオ族",True,"ストーリークエスト"
51,"ui/icon/061000/061411.tex","蛮族クエスト：ナマズオ族",True,"デイリークエスト"
52,"ui/icon/061000/061411.tex","蛮族クエスト：ピクシー族",True,"ストーリークエスト"
53,"ui/icon/061000/061411.tex","蛮族クエスト：ピクシー族",True,"デイリークエスト"
54,"ui/icon/061000/061411.tex","蛮族クエスト：キタリ族",True,"ストーリークエスト"
55,"ui/icon/061000/061411.tex","蛮族クエスト：キタリ族",True,"デイリークエスト"
56,"ui/icon/061000/061411.tex","蛮族クエスト：ドワーフ族",True,"ストーリークエスト"
57,"ui/icon/061000/061411.tex","蛮族クエスト：ドワーフ族",True,"デイリークエスト"
58,"ui/icon/061000/061411.tex","サブストーリークエスト",True,"ヒルディブランド"
59,"ui/icon/061000/061411.tex","サブストーリークエスト",True,"ヒルディブランド 蒼天編"
60,"ui/icon/061000/061411.tex","サブストーリークエスト",True,"ヒルディブランド 紅蓮編"
61,,"無効カテゴリ",False,""
62,"ui/icon/061000/061411.tex","サブストーリークエスト",True,"聖アンダリム神学院記"
63,"ui/icon/061000/061411.tex","サブストーリークエスト",True,"竜詩戦争 番外編"
64,"ui/icon/061000/061411.tex","サブストーリークエスト",True,"異邦の詩人"
65,"ui/icon/061000/061411.tex","サブストーリークエスト",True,"ゾディアックウェポン"
66,"ui/icon/061000/061411.tex","サブストーリークエスト",True,"アニマウェポン"
67,"ui/icon/061000/061411.tex","サブストーリークエスト",True,"禁断の地 エウレカ"
68,"ui/icon/061000/061411.tex","サブストーリークエスト",True,"セイブ・ザ・クイーン"
69,"ui/icon/061000/061411.tex","サブストーリークエスト",True,"レターモーグリ"
70,"ui/icon/061000/061411.tex","サブストーリークエスト",True,"蛮族エクストラストーリー"
71,"ui/icon/061000/061411.tex","サブストーリークエスト",True,"蛮族エクストラストーリー 蒼天編"
72,"ui/icon/061000/061411.tex","サブストーリークエスト",True,"蛮族エクストラストーリー 紅蓮編"
73,"ui/icon/061000/061411.tex","サブストーリークエスト",True,"ドマ冒険者団"
74,"ui/icon/061000/061411.tex","サブストーリークエスト",True,"ドマ町人地復興記"
75,"ui/icon/061000/061411.tex","サブストーリークエスト",True,"暁の帰還 番外編"
76,"ui/icon/061000/061411.tex","サブストーリークエスト",True,"ヴォイド再生計画"
77,,"無効カテゴリ",False,""
78,"ui/icon/061000/061411.tex","サブストーリークエスト",True,"イシュガルド復興：ストーリークエスト"
79,"ui/icon/061000/061411.tex","サブストーリークエスト",True,"イシュガルド復興：サブクエスト"
80,"ui/icon/061000/061411.tex","サブクエスト：ラノシア",True,"サブクエスト：ラノシア"
81,"ui/icon/061000/061411.tex","サブクエスト：黒衣森",True,"サブクエスト：黒衣森"
82,"ui/icon/061000/061411.tex","サブクエスト：ザナラーン",True,"サブクエスト：ザナラーン"
83,"ui/icon/061000/061411.tex","サブクエスト：クルザス",True,"サブクエスト：クルザス"
84,"ui/icon/061000/061411.tex","サブクエスト：モードゥナ",True,"サブクエスト：モードゥナ"
85,"ui/icon/061000/061411.tex","サブクエスト：イシュガルド",True,"サブクエスト：イシュガルド"
86,"ui/icon/061000/061411.tex","サブクエスト：アバラシア",True,"サブクエスト：アバラシア雲海"
87,"ui/icon/061000/061411.tex","サブクエスト：ドラヴァニア",True,"サブクエスト：高地ドラヴァニア"
88,"ui/icon/061000/061411.tex","サブクエスト：ドラヴァニア",True,"サブクエスト：低地ドラヴァニア"
89,"ui/icon/061000/061411.tex","サブクエスト：ドラヴァニア",True,"サブクエスト：ドラヴァニア雲海"
90,"ui/icon/061000/061411.tex","サブクエスト：ドラヴァニア",True,"サブクエスト：イディルシャイア"
91,"ui/icon/061000/061411.tex","サブクエスト：アジス・ラー",True,"サブクエスト：アジス・ラー"
92,"ui/icon/061000/061411.tex","サブクエスト：ギラバニア",True,"サブクエスト：ラールガーズリーチ"
93,"ui/icon/061000/061411.tex","サブクエスト：ギラバニア",True,"サブクエスト：ギラバニア辺境地帯"
94,"ui/icon/061000/061411.tex","サブクエスト：ギラバニア",True,"サブクエスト：ギラバニア山岳地帯"
95,"ui/icon/061000/061411.tex","サブクエスト：ギラバニア",True,"サブクエスト：ギラバニア湖畔地帯"
96,"ui/icon/061000/061411.tex","サブクエスト：ひんがしの国",True,"サブクエスト：クガネ"
97,"ui/icon/061000/061411.tex","サブクエスト：オサード",True,"サブクエスト：紅玉海"
98,"ui/icon/061000/061411.tex","サブクエスト：オサード",True,"サブクエスト：ヤンサ"
99,"ui/icon/061000/061411.tex","サブクエスト：オサード",True,"サブクエスト：アジムステップ"
100,"ui/icon/061000/061411.tex","サブクエスト：レイクランド",True,"サブクエスト：クリスタリウム"
101,"ui/icon/061000/061411.tex","サブクエスト：コルシア島",True,"サブクエスト：ユールモア"
102,"ui/icon/061000/061411.tex","サブクエスト：レイクランド",True,"サブクエスト：レイクランド"
103,"ui/icon/061000/061411.tex","サブクエスト：コルシア島",True,"サブクエスト：コルシア島"
104,"ui/icon/061000/061411.tex","サブクエスト：アム・アレーン",True,"サブクエスト：アム・アレーン"
105,"ui/icon/061000/061411.tex","サブクエスト：イル・メグ",True,"サブクエスト：イル・メグ"
106,"ui/icon/061000/061411.tex","サブクエスト：ラケティカ大森林",True,"サブクエスト：ラケティカ大森林"
107,"ui/icon/061000/061411.tex","サブクエスト：テンペスト",True,"サブクエスト：テンペスト"
108,"ui/icon/061000/061411.tex","サブクエスト：シャーレアン",True,"サブクエスト：オールド・シャーレアン"
