key,0,1,2
#,IsFaction,Icon,Name
int32,bit&01,Image,str
0,False,,""
1,False,"ui/icon/062000/062501.tex","傭兵稼業"
2,False,"ui/icon/062000/062510.tex","採掘師"
3,False,"ui/icon/062000/062511.tex","園芸師"
4,False,"ui/icon/062000/062512.tex","漁師"
5,False,"ui/icon/062000/062502.tex","木工師"
6,False,"ui/icon/062000/062503.tex","鍛冶師"
7,False,"ui/icon/062000/062504.tex","甲冑師"
8,False,"ui/icon/062000/062505.tex","彫金師"
9,False,"ui/icon/062000/062506.tex","革細工師"
10,False,"ui/icon/062000/062507.tex","裁縫師"
11,False,"ui/icon/062000/062508.tex","錬金術師"
12,False,"ui/icon/062000/062509.tex","調理師"
13,True,"ui/icon/061000/061451.tex","ブロークンブレード隊"
14,True,"ui/icon/061000/061452.tex","アーゼマシールズ隊"
15,True,"ui/icon/061000/061453.tex","ハンズアイ隊"
16,False,"ui/icon/061000/061461.tex","黒渦団"
17,False,"ui/icon/061000/061462.tex","双蛇党"
18,False,"ui/icon/061000/061463.tex","不滅隊"
