key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
#,,sgb[0],,,sgb[1],,sgb[2],,sgb[3],,sgb[4],,,,,,,,,Material[0],Material[1],Material[2],Material[3],Material[4],Amount[0],Amount[1],Amount[2],Amount[3],Amount[4],Name,,Icon
int32,byte,ExportedSG,byte,byte,ExportedSG,byte,ExportedSG,byte,ExportedSG,byte,ExportedSG,byte,byte,byte,byte,byte,byte,byte,byte,MJIItemPouch,MJIItemPouch,MJIItemPouch,MJIItemPouch,MJIItemPouch,byte,byte,byte,byte,byte,MJIText,uint32,Image
0.0,1,"bgcommon/mji/buil/00/0001/asset/hom_t4_m0001.sgb",24,0,"bgcommon/mji/buil/00/0001/asset/hom_t1_m0001.sgb",0,,0,,0,,0,0,0,0,0,0,0,255,"無人島のパーム原木","無人島のパームリーフ","無人島のつる","無人島の石材","無人島の砂",10,10,5,5,5,"アイランドホール I",47,"ui/icon/053000/053919.tex"
0.1,4,"bgcommon/mji/buil/00/0002/asset/hom_t4_m0002.sgb",25,0,,0,,0,,0,,0,0,0,0,0,0,0,255,"無人島のパーム原木","無人島のつる","無人島の石灰岩","無人島のパームリーフ","無人島の銅鉱",15,10,10,5,5,"アイランドホール II",48,"ui/icon/053000/053920.tex"
0.2,7,"bgcommon/mji/buil/00/0003/asset/hom_t4_m0003.sgb",26,0,,0,,0,,0,,0,0,0,0,0,0,0,255,"無人島の原木","無人島の石灰岩","無人島の綿花","無人島の麻","無人島の粘土",15,10,10,10,5,"アイランドホール III",49,"ui/icon/053000/053921.tex"
0.3,13,"bgcommon/mji/buil/00/0004/asset/hom_t4_m0004.sgb",108,0,,0,,0,,0,,0,0,0,0,0,0,0,255,"無人島のパーム原木","無人島の鉄鉱","無人島の石炭","無人島の幻影石","無人島の草葉",15,15,10,10,10,"アイランドホール IV",74,"ui/icon/053000/053928.tex"
0.4,17,"bgcommon/mji/buil/00/0005/asset/hom_t4_m0005.sgb",131,0,,0,,0,,0,,0,0,0,0,0,0,0,255,"無人島のクリスタル層","無人島の黄銅鉱","無人島の霊銀鉱","無人島の粘土","無人島の花崗岩",15,15,15,15,10,"アイランドホール V",88,"ui/icon/053000/053936.tex"
1.0,1,"bgcommon/mji/buil/01/0001/asset/bil_t4_m0001.sgb",6,72,"bgcommon/mji/buil/01/0001/asset/bil_t1_m0001.sgb",2,"bgcommon/mji/buil/01/0001/asset/bil_t2_m0001.sgb",3,"bgcommon/mji/buil/01/0001/asset/bil_t3_m0001.sgb",4,"bgcommon/mji/buil/01/0001/asset/bil_t4_m0001.sgb",5,3,2,1,0,3,2,6,"無人島の原木","無人島のパームリーフ","無人島の石灰岩","無人島のつる","無人島の砂",10,10,10,5,5,"開拓工房 I",50,"ui/icon/053000/053916.tex"
1.1,6,"bgcommon/mji/buil/01/0003/asset/bil_t4_m0003.sgb",9,73,"bgcommon/mji/buil/01/0003/asset/bil_t3_m0003.sgb",0,"bgcommon/mji/buil/01/0003/asset/bil_t3_m0003.sgb",0,"bgcommon/mji/buil/01/0003/asset/bil_t3_m0003.sgb",7,"bgcommon/mji/buil/01/0003/asset/bil_t4_m0003.sgb",8,255,255,7,0,7,2,8,"無人島の原木","無人島の石灰岩","無人島の麻","無人島の粘土","無人島の銅鉱",15,15,10,5,5,"開拓工房 II",51,"ui/icon/053000/053917.tex"
1.2,8,"bgcommon/mji/buil/01/0005/asset/bil_t4_m0005.sgb",12,74,"bgcommon/mji/buil/01/0005/asset/bil_t3_m0005.sgb",0,"bgcommon/mji/buil/01/0005/asset/bil_t3_m0005.sgb",0,"bgcommon/mji/buil/01/0005/asset/bil_t3_m0005.sgb",10,"bgcommon/mji/buil/01/0005/asset/bil_t4_m0005.sgb",11,255,255,12,0,12,2,14,"無人島の鉄鉱","無人島の花崗岩","無人島の原木","無人島の麻","無人島のガーネット原石",15,15,10,10,3,"開拓工房 III",52,"ui/icon/053000/053918.tex"
1.3,14,"bgcommon/mji/buil/01/0007/asset/bil_t4_m0007.sgb",112,113,"bgcommon/mji/buil/01/0007/asset/bil_t3_m0007.sgb",0,"bgcommon/mji/buil/01/0007/asset/bil_t3_m0007.sgb",0,"bgcommon/mji/buil/01/0007/asset/bil_t3_m0007.sgb",109,"bgcommon/mji/buil/01/0007/asset/bil_t4_m0007.sgb",110,255,255,12,0,12,2,19,"無人島の大理石","無人島の石炭","無人島の鉄鉱","無人島の原木","無人島の幻影石",15,15,10,10,10,"開拓工房 IV",76,"ui/icon/053000/053929.tex"
1.4,19,"bgcommon/mji/buil/01/0009/asset/bil_t4_m0009.sgb",134,135,"bgcommon/mji/buil/01/0009/asset/bil_t3_m0009.sgb",0,"bgcommon/mji/buil/01/0009/asset/bil_t3_m0009.sgb",0,"bgcommon/mji/buil/01/0009/asset/bil_t3_m0009.sgb",132,"bgcommon/mji/buil/01/0009/asset/bil_t4_m0009.sgb",133,255,255,12,0,12,2,255,"無人島のクリスタル層","無人島の黄銅鉱","無人島の霊銀鉱","無人島の粘土","無人島のガーネット原石",15,15,10,10,5,"開拓工房 V",90,"ui/icon/053000/053937.tex"
2.0,5,"bgcommon/mji/buil/01/0002/asset/bil_t4_m0002.sgb",17,0,"bgcommon/mji/buil/01/0002/asset/bil_t1_m0002.sgb",13,"bgcommon/mji/buil/01/0002/asset/bil_t2_m0002.sgb",14,"bgcommon/mji/buil/01/0002/asset/bil_t3_m0002.sgb",15,"bgcommon/mji/buil/01/0002/asset/bil_t4_m0002.sgb",16,3,2,1,0,3,2,6,"無人島のパーム原木","無人島の原木","無人島の粘土","無人島の銅鉱","無人島のつる",10,10,10,10,5,"グラナリーオフィス I",53,"ui/icon/053000/053922.tex"
2.1,6,"bgcommon/mji/buil/01/0004/asset/bil_t4_m0004.sgb",20,0,"bgcommon/mji/buil/01/0004/asset/bil_t3_m0004.sgb",0,"bgcommon/mji/buil/01/0004/asset/bil_t3_m0004.sgb",0,"bgcommon/mji/buil/01/0004/asset/bil_t3_m0004.sgb",18,"bgcommon/mji/buil/01/0004/asset/bil_t4_m0004.sgb",19,255,255,7,0,7,2,8,"無人島のパーム原木","無人島の原木","無人島の麻","無人島の粘土","無人島の砂錫",15,15,10,5,5,"グラナリーオフィス II",54,"ui/icon/053000/053923.tex"
2.2,8,"bgcommon/mji/buil/01/0006/asset/bil_t4_m0006.sgb",23,0,"bgcommon/mji/buil/01/0006/asset/bil_t3_m0006.sgb",0,"bgcommon/mji/buil/01/0006/asset/bil_t3_m0006.sgb",0,"bgcommon/mji/buil/01/0006/asset/bil_t3_m0006.sgb",21,"bgcommon/mji/buil/01/0006/asset/bil_t4_m0006.sgb",22,255,255,12,0,12,2,13,"無人島の原木","無人島の鉄鉱","無人島の花崗岩","無人島の粘土","無人島のスプルース原木",15,15,10,10,3,"グラナリーオフィス III",55,"ui/icon/053000/053924.tex"
2.3,13,"bgcommon/mji/buil/01/0008/asset/bil_t4_m0008.sgb",117,0,"bgcommon/mji/buil/01/0008/asset/bil_t3_m0008.sgb",0,"bgcommon/mji/buil/01/0008/asset/bil_t3_m0008.sgb",0,"bgcommon/mji/buil/01/0008/asset/bil_t3_m0008.sgb",114,"bgcommon/mji/buil/01/0008/asset/bil_t4_m0008.sgb",115,255,255,12,0,12,2,18,"無人島のパーム原木","無人島の石炭","無人島の霊銀鉱","無人島の大理石","無人島の幻影石",15,15,10,10,10,"グラナリーオフィス IV",72,"ui/icon/053000/053930.tex"
2.4,18,"bgcommon/mji/buil/01/0010/asset/bil_t4_m0010.sgb",138,0,"bgcommon/mji/buil/01/0010/asset/bil_t3_m0010.sgb",0,"bgcommon/mji/buil/01/0010/asset/bil_t3_m0010.sgb",0,"bgcommon/mji/buil/01/0010/asset/bil_t3_m0010.sgb",136,"bgcommon/mji/buil/01/0010/asset/bil_t4_m0010.sgb",137,255,255,12,0,12,2,255,"無人島のクリスタル層","無人島の黄銅鉱","無人島の花崗岩","無人島の粘土","無人島のスプルース原木",15,15,10,10,5,"グラナリーオフィス V",86,"ui/icon/053000/053938.tex"
