key,0,1,2,3,4
#,,,,Category,
int32,byte,byte,uint16,MJIDisposalShopUICategory,byte
0,0,1,3,"開拓素材",1
1,1,1,3,"開拓素材",2
2,2,1,3,"開拓素材",3
3,3,1,3,"開拓素材",4
4,4,1,3,"開拓素材",5
5,5,1,3,"開拓素材",6
6,6,1,3,"開拓素材",7
7,7,1,3,"開拓素材",8
8,8,1,3,"開拓素材",9
9,9,1,3,"開拓素材",10
10,10,1,3,"開拓素材",11
11,11,1,3,"開拓素材",12
12,12,1,3,"開拓素材",13
13,13,1,3,"開拓素材",14
14,14,1,3,"開拓素材",15
15,15,1,3,"開拓素材",16
16,16,1,3,"開拓素材",17
17,17,1,3,"開拓素材",18
18,18,1,3,"開拓素材",19
19,19,1,3,"開拓素材",20
20,20,1,3,"開拓素材",21
21,21,1,3,"開拓素材",22
22,22,1,3,"開拓素材",23
23,23,1,3,"開拓素材",24
24,24,1,3,"開拓素材",25
25,25,1,3,"開拓素材",26
26,26,1,3,"開拓素材",27
27,27,0,25,"希少開拓素材",28
28,28,0,25,"希少開拓素材",29
29,29,0,25,"希少開拓素材",30
30,30,0,25,"希少開拓素材",31
31,31,0,25,"希少開拓素材",32
32,42,0,5,"開拓作物",35
33,43,0,4,"開拓作物",33
34,44,0,6,"開拓作物",37
35,45,0,4,"開拓作物",34
36,46,0,6,"開拓作物",38
37,47,0,6,"開拓作物",39
38,48,0,6,"開拓作物",40
39,49,0,6,"開拓作物",41
40,50,0,5,"開拓作物",36
41,51,0,6,"開拓作物",42
42,52,0,12,"畜産素材",43
43,53,0,12,"畜産素材",44
44,54,0,12,"畜産素材",45
45,55,0,12,"畜産素材",46
46,56,0,12,"畜産素材",47
47,57,0,12,"畜産素材",48
48,58,0,12,"畜産素材",49
49,59,0,12,"畜産素材",50
50,60,0,12,"畜産素材",51
