key,0
#,GatheringObject
int32,MJIGatheringObject
0,"MJIGatheringObject#0"
1,"MJIGatheringObject#0"
2,"MJIGatheringObject#0"
3,"MJIGatheringObject#0"
4,"MJIGatheringObject#0"
5,"MJIGatheringObject#0"
6,"MJIGatheringObject#0"
7,"MJIGatheringObject#0"
8,"MJIGatheringObject#0"
9,"MJIGatheringObject#0"
10,"MJIGatheringObject#0"
11,"MJIGatheringObject#0"
12,"MJIGatheringObject#0"
13,"MJIGatheringObject#0"
14,"MJIGatheringObject#0"
15,"MJIGatheringObject#0"
16,"MJIGatheringObject#0"
17,"MJIGatheringObject#0"
18,"MJIGatheringObject#0"
19,"MJIGatheringObject#0"
20,"MJIGatheringObject#0"
21,"MJIGatheringObject#0"
22,"MJIGatheringObject#0"
23,"MJIGatheringObject#0"
24,"MJIGatheringObject#0"
25,"MJIGatheringObject#0"
26,"MJIGatheringObject#0"
27,"MJIGatheringObject#0"
28,"MJIGatheringObject#0"
29,"MJIGatheringObject#0"
30,"MJIGatheringObject#0"
31,"MJIGatheringObject#0"
32,"MJIGatheringObject#0"
33,"MJIGatheringObject#0"
34,"MJIGatheringObject#0"
35,"MJIGatheringObject#0"
36,"MJIGatheringObject#0"
37,"MJIGatheringObject#0"
38,"MJIGatheringObject#0"
39,"MJIGatheringObject#0"
40,"MJIGatheringObject#0"
41,"MJIGatheringObject#0"
42,"MJIGatheringObject#0"
43,"MJIGatheringObject#0"
44,"MJIGatheringObject#0"
45,"MJIGatheringObject#0"
46,"MJIGatheringObject#0"
47,"MJIGatheringObject#0"
48,"MJIGatheringObject#0"
49,"MJIGatheringObject#0"
50,"MJIGatheringObject#0"
51,"MJIGatheringObject#0"
52,"MJIGatheringObject#0"
53,"MJIGatheringObject#0"
54,"MJIGatheringObject#0"
55,"MJIGatheringObject#0"
56,"MJIGatheringObject#0"
57,"MJIGatheringObject#0"
58,"MJIGatheringObject#0"
59,"MJIGatheringObject#0"
60,"MJIGatheringObject#0"
61,"MJIGatheringObject#0"
62,"MJIGatheringObject#0"
63,"MJIGatheringObject#0"
64,"MJIGatheringObject#0"
65,"MJIGatheringObject#0"
66,"MJIGatheringObject#0"
67,"MJIGatheringObject#0"
68,"MJIGatheringObject#0"
69,"MJIGatheringObject#0"
70,"MJIGatheringObject#0"
71,"MJIGatheringObject#0"
72,"MJIGatheringObject#0"
73,"MJIGatheringObject#0"
74,"MJIGatheringObject#0"
75,"MJIGatheringObject#0"
76,"MJIGatheringObject#0"
77,"MJIGatheringObject#0"
78,"MJIGatheringObject#0"
79,"MJIGatheringObject#0"
