key,0,1,2,3,4,5,6,7,8,9,10
#,Number,,,Quest,,Icon,Image,Rarity,NameJP,Name,Description
int32,byte,byte,byte,Quest,int32,Image,Image,byte,str,str,str
0,0,0,0,,0,,,0,"","",""
1,1,0,0,"「戦果記録帳」を記せ",0,"ui/icon/072000/072601.tex","ui/icon/072000/072501.tex",1,"バイシャーエン・ウルガッシュ","Bajsaljen Ulgasch","54歳。ロスガル族。旧ボズヤ王都ボズヤ出身。
ボズヤ・レジスタンスのリーダー。

ガレマール帝国からボズヤ管区を解放し独立国家の樹立を目指している。

医学生を経て帝国軍に徴用される。軍医として従軍。様々な勲功を上げ、帝国の名誉市民として市民権を得た。結婚し子をもうけるが、反乱鎮圧のための遠征中にシタデル・ボズヤ蒸発事変が発生、妻子を失う。
事変後、帝国を見限り仲間と共に軍を脱走。地下での潜伏活動中にレジスタンスに参加した。

従軍していた際は、自分の人生について、これはこれで悪くないという印象を持っていたが、事変後、それは真逆となった。帝国に対する恨みと憎しみは誰よりも強い。
だが、知性派でもあるバイシャーエンはそうした負の感情を極力押さえ込もうとしている。感情だけでは負の連鎖が収まらないことを歴史から学んでいたためだ。

グンヒルドの剣（レジスタンス・ウェポン）を復刻し、女王の親衛隊を新生したバイシャーエンはついに第IV軍団をボズヤから追い出すために反撃の火蓋を切った……。
"
2,2,0,0,"「戦果記録帳」を記せ",0,"ui/icon/072000/072602.tex","ui/icon/072000/072502.tex",1,"マルシャーク・アペッラ","Marsak Apella","42歳。ロスガル族。ボズヤ管区シタデル・ボズヤ出身。
ボズヤ・レジスタンスの一員。

バイシャーエンの片腕として活躍。
徴用兵として帝国軍に従軍中にシタデル・ボズヤ蒸発事変が発生。親兄弟を失う。事変後、軍を離れレジスタンスに参加した。
バイシャーエンを師と仰ぐ一方、レジスタンスでは資金や物資の調達、人材の育成などに従事している。特に外部の協力者とのやりとり、例えばドマ国のヒエンや東アルデナード商会などとの渉外役としてその才を発揮。温厚な性格もあり、窓口として信頼されているようだ。

帝国に対して恨みはあるものの、属州民として育ったこともあり、まずは国家と人を切り分けて接することをモットーとしている。ある意味、お人好しともいえるが、その柔和な口調が他者の警戒心を解きほぐすようだ。
戦士としての評価も高い。それもそのはず、ロスティック直伝のガンブレイカーでもある。温厚で頼れる盾役、それがマルシャークだ。
"
3,3,0,0,"「戦果記録帳」を記せ",0,"ui/icon/072000/072603.tex","ui/icon/072000/072503.tex",1,"ゼヴェン・スヴァナシュ","Xeven Svanasch","47歳。ロスガル族。
ボズヤ・レジスタンスの一員。「新生グンヒルドの剣」のひとり。

その出自は不明。ボズヤ人と思われるがゼヴェンの過去を知る者はひとりもいない。本人も好んで過去を語ることはないが、わずかに知り得た情報によると、曰く、魔術を極めるために各地を放浪していたらしい。南はサベネア、東はひんがしの国、北はガレマール帝国の帝都ガレマルドまで足を伸ばしたことがあるようだ。
魔術を志したきっかけはエオルゼアの地を訪れた時のことだ。不治の病に冒された母を助けようと父と二人でグリダニアを目指し旅していた。だが、残念ながら治癒法を見つけることはできず、母は旅の途中で亡くなった。その病はガレマール帝国によるボズヤ侵攻が原因であり、母を失った哀しみは幼心に帝国に対する憎悪と復讐心を芽生えさせるには十分だった。
旅の途中、様々な魔術を目にしたゼヴェンはその知識をボズヤに持ち帰ろうと考えた。独学で身につけたその魔術をボズヤ解放に役立てようというのだ。
各地で学んだ魔術はゼヴェン独自の魔術体系としてひとつの学問になり得ていたが、ゼヴェンはそれを他者に教示しようとはしなかった。なぜなら、それは破壊を主とした魔術であり、利用者の目的次第ではただの「災い」となるからである。
気がつけばゼヴェンは唯一無二の魔術士として、兵士から畏怖の念を抱かれ、軍神として崇められる存在となっていた。
ゼヴェンは戦場での死を恐れていなかった。むしろ死を望んでいた。それはかつてダルマスカの大迷宮を訪れた際、遭遇した異国の怪しげな魔道士にされた予言である。異国の言葉を聞き取ることはできなかったが、その意味を理解することはできた。いつかボズヤで解放の狼煙が上がるときこそ、ゼヴェンの死が訪れる時であると。今、この南方ボズヤ戦線がその死地ではないのか。だとしたら、自分はその死を恐れずに、ただ、ただ一振りの剣として、新生グンヒルドの剣として戦い死ねばよい。ゼヴェンは死を恐れてはいないのだ。
そんなゼヴェンに対する予言が成就しようとしていた……。
"
4,4,0,0,"「戦果記録帳」を記せ",0,"ui/icon/072000/072604.tex","ui/icon/072000/072504.tex",2,"イソルデ・コヴィー","Isolde Covey","26歳。ヒューラン族。ダルマスカ管区レアモンデ出身。
ボズヤ・レジスタンスの一員。「新生グンヒルドの剣」のひとり。

れっきとしたボズヤ人。両親はダルマスカへ逃れたボズヤ難民であり、ダルマスカが帝国の属州となった後、帝国が始めたボズヤ難民の帰国政策を拒否してレアモンデに移り住んだ。イソルデは帝国属州民として生まれ帝国式の教育も受けたが、彼女の興味はもっぱらボズヤに伝わる舞踏と歌であった。ボズヤの音楽の大きな特徴は速いテンポと激しい旋律の上下動である。歌詞も庶民の生活や自然をモチーフとしており、その大半が恋愛に関する楽曲であった。弦楽器と打楽器からなる演奏と共に踊り手が歌いながら激しいステップを踏む。イソルデは幼い頃からその踊り手に憧れ、いつしか次世代の踊り手として期待が集まるようになっていた。このボズヤ舞踏のもうひとつ大きい特徴が武器である弓を楽器として用いることである。弓の弦をもうひとつ別の弓で弾いて音色を作ったり、また弓の弦を指で弾いて打楽器のようにリズムを奏でることに使用する。これは狩猟をしながらボズヤの各地を転々とした祖先に対する敬いであり、踊り手は皆、弓矢の使い手でもあったのだ。
ボズヤに戻りレジスタンスに参加したイソルデはまたたくまに弓術士として活躍するようになった。

だが、彼女の心には庶民の生活と自然に対する深い理解と愛情が色濃く残っている。それはボズヤ人のみならず帝国人に対しても、同じである。「早く平和に、でもそれはボズヤも帝国も」それがイソルデの口癖であった。
"
5,5,0,0,"「戦果記録帳」を記せ",0,"ui/icon/072000/072605.tex","ui/icon/072000/072505.tex",1,"スタニック・アルボフ","Stanik Alubov","36歳。ロスガル族。ボズヤ管区シタデル・ボズヤ出身。
ボズヤ・レジスタンスの一員。「新生グンヒルドの剣」のひとり。

スタニックは幼い頃から「英雄」に憧れていた。
属州民として暮らす多くのボズヤ人の生活はとても貧しく、スタニックの両親が営む雑貨屋もその日の食事代を賄うので精一杯。学校へ通わせるお金すらなかったが、貧困にあえぐボズヤ人にはけっして珍しい光景ではなかった。スタニックは少しでも金銭を得ようと子守から靴磨きまでなんでもやったが、スリや盗みなどの犯罪に手を染めることはなかった。両親からたとえ貧しくとも人の道に外れることをしてはならないと教育されていたからである。
15歳になったスタニックは帝国軍の徴兵検査を受け、兵となった。「英雄」になりたかったからではない。自分ひとりが「減る」ことで両親の負担を少しでも楽にしてやりたかったからだ。
わずかな給金からさらにほんのわずか、スタニックは両親に仕送りをしたこともあった。毎回ではなかったが、スタニックにとってそれが「自分的英雄行為」だと感じられたからだ。スタニックにとって両親からの手紙が唯一の安らぎであり、生きている証となった。

シタデル・ボズヤ蒸発事変が起きた時、スタニックはボズヤから遠く離れた地で任務にあたっていた。事変から5日後、両親からの手紙が彼の手元に届いたが、その日付は事変の前日であった……。
"
6,6,0,0,"「戦果記録帳」を記せ",0,"ui/icon/072000/072606.tex","ui/icon/072000/072506.tex",3,"ブラズ・アゼティナ","Blaz Azetina","25歳。ロスガル族。ドマ国ドマ出身。
ボズヤ・レジスタンスの一員。「新生グンヒルドの剣」のひとり。

拳術から剣術、柔術、槍術などあらゆる武術を網羅する武芸の高級百貨店こと「翠（みどり）の一門」直系のサムライ。
「翠の一門」はこれまで門徒に対してレジスタンスへの参加を認めてはいなかった。これは武術の精進は己の魂を磨くためであり、けっして争いの道具にしてはならないという教えがあるためだ。だが、ボズヤで反乱が起きる都度、帝国に対する不満と憎悪を抑えられない門徒がそれに参加。一門はそうした門徒を破門とし、帝国と直接事を構えることを避けてきた。
ブラズの父親は「翠の一門」宗家の末子だったが、やはり禁を破り反乱に参加。反乱は失敗に終わり、ボズヤを離れドマ国へ逃れた。ドマで母と出会い、ブラズが誕生した。ブラズは侍剣術の名門に弟子入りし、父親譲りの才能を開花。若くして免許皆伝の腕前となる。ヒエンの帰還後、ドマに対する恩を返そうとドマ解放戦争に参加し活躍した。ドマ奪還後、役目が終わったとばかりに出家するが、東方連合とボズヤ蜂起の噂を聞き、故郷へ戻ることを決意する。
丁度その頃、「翠の一門」の当主が交代し、ボズヤ再興のために力を尽くすと方針転換があった。「翠の一門」に戻ることを許されたブラズに対して当主は侍剣術の師範になるよう要請するが、ブラズはそれを断りレジスタンスに参加。すでに鬼籍に入った亡き父の遺志を継ぎボズヤの独立と再興を目指すと固く心に誓ったのである……。
"
7,7,0,0,"「戦果記録帳」を記せ",0,"ui/icon/072000/072607.tex","ui/icon/072000/072507.tex",3,"ヴェリボル・アゼティナ","Velibor Azetina","24歳。ロスガル族。ボズヤ管区ゼティナ庄出身。
ボズヤ・レジスタンスの一員。「新生グンヒルドの剣」のひとり。

拳術から剣術、柔術、槍術などあらゆる武術を網羅する武芸の高級百貨店こと「翠（みどり）の一門」直系の騎士。ブラズの又従兄弟にあたる。

「翠の一門」は二百年以上の歴史を誇る武芸の名門である。ガレマール帝国の侵攻時、小国ボズヤを守るために多くの門徒が戦いに挑み、その命を散らしたという。その武芸の才を惜しんだ当時の第IV軍団バッシュ・ヴァン・ガブラス軍団長は、帝国への忠誠を誓うのであれば「翠の一門」を庇護すると約束した。当主は自らの首を差し出すことで一門皆殺し、その「血」を途絶えることを避けた。
当主代理となったヴェリボルの祖母はガブラスとの約束を頑なに守った。占領後もたびたび反乱が発生し、一部の門徒が参加したが、都度、それらを破門として一門に害が及ばぬよう尽力したのである。その祖母も鬼籍に入り、新たな当主となったヴェリボルの父に残した最期の言葉は「我はガブラスとの約束を生涯守った。それは我が伴侶の願いであり、我やぬしを守るための深い愛であったと思う。だが、ぬしは正直に生きろ。時代は変わる……」

一門に復帰した又従兄弟のブラズとはおおいに気が合った。初めて会った時を今でも覚えている。同じ志を持った同門の士、いや魂を分けてこの世に生まれた真の兄弟であるとヴェリボルは感じた。短い期間ではあったが互いに切磋琢磨することができ新たな技を生み出すことにも成功したという。ボズヤ蜂起を受け、一門はレジスタンスに正式に参加。自らの役目を果たすため、今日もヴェリボルは大剣を振るう……。
"
