key,0,1,2,3,4,5,6,7,8,9,10
#,X,Y,Icon,PlaceName{Subtext},SubtextOrientation,MapMarkerRegion,Type,Data{Type},Data{Key},,
int32,int16,int16,Image,PlaceName,byte,MapMarkerRegion,byte,byte,Row,byte,byte
0.0,0,0,,"",0,"0",0,0,,255,0
1.0,256,128,"ui/icon/060000/060436.tex","陌迪翁牢狱",3,"0",0,0,,255,0
1.1,300,500,"ui/icon/060000/060436.tex","艾欧泽亚地下空间",2,"0",0,0,,255,0
1.2,500,600,"ui/icon/060000/060436.tex","栖木旅馆",1,"0",0,0,,255,0
2.0,256,128,"ui/icon/060000/060436.tex","栖木旅馆",1,"0",0,0,,255,0
2.1,300,500,"ui/icon/060000/060436.tex","艾欧泽亚地下空间",2,"0",1,0,,255,0
2.2,500,600,"ui/icon/060000/060436.tex","栖木旅馆",1,"0",0,0,,255,0
2.3,1024,500,"ui/icon/060000/060441.tex","格里达尼亚新街",2,"0",0,1,"f1f1/00",5,10
3.0,1078,1222,"ui/icon/060000/060436.tex","栖木旅馆",2,"0",0,0,,255,0
3.1,1078,1260,"ui/icon/060000/060314.tex","魔女咖啡馆
[冒险者行会]",3,"0",0,0,,255,0
3.2,1035,1280,"ui/icon/060000/060352.tex","格里达尼亚飞艇坪",1,"0",0,0,,255,0
3.3,1025,1058,"ui/icon/060000/060442.tex","水车十字广场",1,"0",0,0,,255,0
3.4,1326,1329,"ui/icon/060000/060442.tex","青貉门",4,"0",0,0,,255,0
3.5,948,1130,"ui/icon/060000/060321.tex","刻木匠行会",4,"0",0,0,,255,0
3.6,1010,1205,"ui/icon/060000/060442.tex","斐加加大水车",1,"0",0,0,,255,0
3.7,878,1130,"ui/icon/060000/060442.tex","橡子乐园",1,"0",0,0,,255,0
3.8,813,1199,"ui/icon/060000/060442.tex","白狼门",4,"0",0,0,,255,0
3.9,985,1238,"ui/icon/060000/060442.tex","朱獭门",1,"0",0,0,,255,0
3.10,1460,1102,"ui/icon/060000/060320.tex","神勇队司令部
[弓箭手行会]",2,"0",0,0,,255,0
3.11,950,925,,"红茶川",2,"0",0,0,,255,0
3.12,935,1315,,"翡翠湖",2,"0",0,0,,255,0
3.13,1094,1080,"ui/icon/060000/060453.tex","以太之光广场",2,"0",0,3,"格里达尼亚新街",255,0
3.14,886,1010,"ui/icon/060000/060568.tex","蛇巢司令部",4,"0",0,0,,255,0
3.15,1085,1160,"ui/icon/060000/060311.tex","陆行鸟栏",2,"0",0,0,,255,0
3.16,1225,1054,"ui/icon/060000/060441.tex","格里达尼亚旧街",2,"0",0,1,"f1t2/00",16,0
3.17,1046,998,"ui/icon/060000/060441.tex","格里达尼亚旧街",2,"0",0,1,"f1t2/00",17,0
3.18,815,1044,"ui/icon/060000/060441.tex","格里达尼亚旧街",1,"0",0,1,"f1t2/00",18,0
3.19,792,1211,,"黑衣森林中央林区",0,"0",0,0,,255,0
3.20,1364,1348,"ui/icon/060000/060441.tex","黑衣森林中央林区",2,"0",0,1,"f1f1/00",0,0
3.21,1364,1348,,"黑衣森林中央林区",0,"0",0,0,,255,0
3.22,1007,1020,"ui/icon/060000/060412.tex","",2,"0",0,0,,255,0
3.23,1074,1207,"ui/icon/060000/060434.tex","",2,"0",0,0,,255,0
3.24,991,1110,"ui/icon/060000/060412.tex","",2,"0",0,0,,255,0
3.25,1356,1199,"ui/icon/060000/060430.tex","",2,"0",0,4,"弓箭手行会前",255,0
3.26,1050,1028,"ui/icon/060000/060412.tex","",2,"0",0,0,,255,0
3.27,866,1019,"ui/icon/060000/060460.tex","",2,"0",0,0,,255,0
3.28,795,1211,"ui/icon/060000/060442.tex","白狼门领路人",1,"0",0,0,,255,0
3.29,735,1231,,"黑衣森林中央林区",2,"0",0,1,"f1f1/00",41,0
