key,0,1,2,3,4
#,Type,Quest,EventItem,Order{Start},Order{Amount}
int32,byte,Quest,EventItem,MobHuntOrder,byte
0,1,,"stack of mark bills","MobHuntOrder#1",50
1,1,"Let the Clan Hunt Begin","stack of one-star Clan mark bills","MobHuntOrder#68",10
2,1,"Better Bill Hunting","stack of two-star Clan mark bills","MobHuntOrder#78",10
3,1,"Top Marks","stack of three-star Clan mark bills","MobHuntOrder#88",18
4,2,,"elite mark bill","MobHuntOrder#51",17
5,2,"Elite and Dangerous","elite Clan mark bill","MobHuntOrder#106",12
6,1,"One-star Veteran Clan Hunt","stack of one-star Veteran Clan mark bills","MobHuntOrder#118",10
7,1,"Two-star Veteran Clan Hunt","stack of two-star Veteran Clan mark bills","MobHuntOrder#128",10
8,1,"Three-star Veteran Clan Hunt","stack of three-star Veteran Clan mark bills","MobHuntOrder#138",18
9,2,"Elite Veteran Clan Hunt","elite Veteran Clan mark bill","MobHuntOrder#156",12
10,1,"Nuts to You","stack of one-nut Clan mark bills","MobHuntOrder#168",10
11,1,"Two Nuts Too Nutty","stack of two-nut Clan mark bills","MobHuntOrder#178",10
12,1,"How Do You Like Three Nuts","stack of three-nut Clan mark bills","MobHuntOrder#188",18
13,2,"Too Many Nutters","elite Clan Nutsy mark bill","MobHuntOrder#206",12
