key,0,1,2,3,4
#,Name,FATE,Icon,TerritoryType,PlaceName
int32,BNpcName,Fate,Image,Map,PlaceName
0,"","",,"",""
1,"伐木巨人","","ui/icon/084000/084001.tex","r1f1/00","巨石丘"
2,"第五大队剑斗士","","ui/icon/084000/084002.tex","l1f1/01","迷雾湿地"
3,"萨普沙礁棘鱼人","","ui/icon/084000/084008.tex","s1f4/00","萨普沙产卵地"
4,"长腿老爹","为老不尊——长腿老爹","ui/icon/084000/084151.tex","w1f1/00","足迹谷"
5,"玛塔丐丐","病毒妖花——玛塔丐丐","ui/icon/084000/084152.tex","f1f1/00","弯枝"
6,"陨坑巨像","","ui/icon/084000/084004.tex","f1f1/00","朽骨森"
7,"雪地白狼","","ui/icon/084000/084005.tex","r1f1/00","巨石丘"
8,"蜥蜴人占卜法师","","ui/icon/084000/084006.tex","w1f4/01","撒沟厉沙漠"
9,"额星蛛蝎","赤王尚幼——额星蛛蝎","ui/icon/084000/084153.tex","f1f4/00","私语巨木"
10,"柳叶刀 伏尔奇希亚","幽谷卫士——柳叶刀伏尔奇希亚","ui/icon/084000/084154.tex","f1f2/00","妖精领"
11,"礁鳞鱼人","","ui/icon/084000/084007.tex","s1f4/00","二分石地"
12,"鸟人野爪剑士","","ui/icon/084000/084003.tex","r1f1/00","巨龙首"
13,"蜥蜴人戟兵","","ui/icon/084000/084018.tex","w1f4/01","撒沟厉沙漠"
14,"巴杜枭","丑恶合成兽——巴杜枭","ui/icon/084000/084155.tex","w1f3/00","火墙"
15,"蚁巢指挥官","沙城的猛将——蚁巢指挥官","ui/icon/084000/084156.tex","w1f2/00","黑尘"
16,"不悔弓手","","ui/icon/084000/084010.tex","w1f4/01","不悔战阵"
17,"鲜血滨铃水母","","ui/icon/084000/084011.tex","s1f3/01","鲜血滨"
18,"嚎叫之森精","","ui/icon/084000/084014.tex","f1f2/00","妖精领"
19,"原型装甲","高机动型试验机——原型装甲","ui/icon/084000/084157.tex","f1f2/00","百灵啼"
20,"劫难巨蟾蜍","神秘巨大生物——劫难巨蟾蜍","ui/icon/084000/084158.tex","w1f1/00","金锤台地"
21,"乳根花苗","","ui/icon/084000/084013.tex","f1f2/00","妖精领"
22,"古菩猩猩","","ui/icon/084000/084012.tex","s1f3/01","接雨草树林"
23,"湖畔眼镜蛇","","ui/icon/084000/084015.tex","l1f1/01","银泪湖北岸"
24,"苍鲨肌 伏尔","冷静的战略家——苍鲨肌伏尔","ui/icon/084000/084159.tex","s1f4/00","二分石地"
25,"北风 斯塔里·怀罗克","","ui/icon/084000/084160.tex","r1f1/00","风扬殖民地"
26,"野生巨鳄","","ui/icon/084000/084016.tex","r1f1/00","巨龙首"
27,"树妖","","ui/icon/084000/084017.tex","f1f4/00","荣耀溪"
28,"卢恩人烘鸥手","","ui/icon/084000/084009.tex","s1f3/01","鲜血滨"
29,"丘哈克","漂浮胃袋——丘哈克","ui/icon/084000/084161.tex","s1f2/00","莫拉比湾"
30,"激流风 科佐尔·诺莫特尔","风神的召唤者——激流风科佐尔·诺莫特尔","ui/icon/084000/084162.tex","r1f1/00","风扬殖民地"
31,"长须豹","","ui/icon/084000/084019.tex","s1f6/00","登天路"
32,"亡者的叹息","","ui/icon/084000/084020.tex","s1f4/00","幻影群岛"
33,"巨虻","","ui/icon/084000/084021.tex","f1f3/00","兀尔德恩惠地"
34,"西风 塞图里·怀罗克","","ui/icon/084000/084163.tex","r1f1/00","风扬殖民地"
35,"瘟疫王子","病灾散布器——瘟疫王子","ui/icon/084000/084164.tex","f1f2/00","九藤"
36,"大水牛","","ui/icon/084000/084022.tex","s1f3/01","鲜血滨"
37,"石像魔","","ui/icon/084000/084023.tex","r1f1/00","神意之地"
38,"梦蟾蜍","","ui/icon/084000/084033.tex","f1f2/00","妖精领"
39,"伏贾诺","不净大蟾蜍——伏贾诺","ui/icon/084000/084165.tex","w1f2/00","执掌峡谷"
40,"第5团高级教士 泽埠","土神的召唤者——第5团高级教士泽埠","ui/icon/084000/084166.tex","s1f6/00","黑金湖"
41,"金羊毛球","","ui/icon/084000/084025.tex","w1f3/00","火墙"
42,"武伽玛罗祭司","","ui/icon/084000/084034.tex","s1f6/00","武伽玛罗武装矿山"
43,"换羽席兹","","ui/icon/084000/084027.tex","f1f2/00","百灵啼"
44,"蔓德拉王子","王家惨剧——蔓德拉王子","ui/icon/084000/084167.tex","s1f2/00","神握角"
45,"暴食格特鲁德","饕餮怪鸟——暴食格特鲁德","ui/icon/084000/084168.tex","s1f4/00","四分石地"
46,"第二大队绳斗士","","ui/icon/084000/084028.tex","s1f3/01","永恒旧街"
47,"套索花","","ui/icon/084000/084029.tex","f1f1/00","酸模避风港"
48,"精铁龟","","ui/icon/084000/084030.tex","w1f4/01","赞拉克"
49,"第59团受施者 毕阁","钢之炼金术士","ui/icon/084000/084169.tex","s1f6/00","武伽玛罗武装矿山"
50,"工匠 戈佐尔·伊茨坎","手斧神技——戈佐尔·伊茨坎","ui/icon/084000/084170.tex","r1f1/00","风扬殖民地"
51,"第三大队绳斗士","","ui/icon/084000/084031.tex","f1f2/00","百灵啼"
52,"阵亡巫师","","ui/icon/084000/084032.tex","w1f4/01","撒沟厉沙漠"
53,"黑羊","","ui/icon/084000/084024.tex","r1f1/00","巨龙首"
54,"奥尼斯","石绿湖之主——奥尼斯","ui/icon/084000/084171.tex","s1f5/00","石绿湖"
55,"迟钝魔花乔迪","水源破坏者——迟钝魔花乔迪","ui/icon/084000/084172.tex","f1f1/00","酸模避风港"
56,"森疾龙","","ui/icon/084000/084026.tex","f1f1/00","酸模避风港"
57,"礁爪鱼人","","ui/icon/084000/084035.tex","s1f4/00","二分石地"
58,"风扬敏捷战士","","ui/icon/084000/084039.tex","r1f1/00","风扬殖民地"
59,"第426团采集员 埠伽","开山精锐——第426团采集员埠伽","ui/icon/084000/084173.tex","s1f2/00","雪松原"
60,"吕坦","寒冰波动——吕坦","ui/icon/084000/084174.tex","r1f1/00","白云崖"
61,"丘岗龙鸟","","ui/icon/084000/084037.tex","r1f1/00","神意之地"
62,"蜥蜴人弓手","","ui/icon/084000/084038.tex","w1f4/01","赞拉克"
63,"榴弹怪","","ui/icon/084000/084036.tex","s1f6/00","黑金湖"
64,"大橡树精","愤怒的守护者——大橡树精","ui/icon/084000/084175.tex","f1f4/00","荣耀溪"
65,"灰煤烟 佩古基·春","命运代言人——灰煤烟佩古基·春","ui/icon/084000/084176.tex","w1f4/01","赞拉克"
66,"雪暴古菩猩猩","","ui/icon/084000/084040.tex","r1f1/00","白云崖"
67,"乌菊石","","ui/icon/084000/084041.tex","s1f5/00","石绿湖"
68,"亡魂","","ui/icon/084000/084042.tex","f1f1/00","酸模避风港"
69,"128号","128号废弃实验体","ui/icon/084000/084177.tex","s1f6/00","登天路"
70,"刻印斧 艾尔姆希斯","海蛇之首——刻印斧艾尔姆希斯","ui/icon/084000/084178.tex","s1f4/00","二分石地"
71,"赤眼海盗","","ui/icon/084000/084043.tex","s1f4/00","二分石地"
72,"第四大队魔导先锋","","ui/icon/084000/084044.tex","w1f1/00","西风岬"
73,"蜥蜴人拳手","","ui/icon/084000/084045.tex","w1f4/01","赞拉克"
74,"灰铁拳 比比雷扎","悲哀斗士——灰铁拳比比雷扎","ui/icon/084000/084179.tex","w1f4/01","赞拉克"
75,"水魔鬼 涯尔","水神的召唤者——水魔鬼涯尔","ui/icon/084000/084180.tex","s1f4/00","萨普沙产卵地"
76,"撑船巨人","","ui/icon/084000/084046.tex","r1f1/00","巨石丘"
77,"蝾螈","","ui/icon/084000/084047.tex","s1f5/00","石绿湖"
78,"第二大队魔导先锋","","ui/icon/084000/084048.tex","s1f3/01","永恒旧街"
79,"弹指通 柯柯卢恩","彷徨的匠人——弹指通 柯柯卢恩","ui/icon/084000/084181.tex","s1f3/01","鲜血滨"
80,"白火花 哈普古·秋","速射名手——白火花哈普古·秋","ui/icon/084000/084182.tex","w1f4/01","不悔战阵"
81,"蜥蜴人狙猎兵","","ui/icon/084000/084049.tex","w1f4/01","撒沟厉沙漠"
82,"基迦巨人比丘","","ui/icon/084000/084050.tex","l1f1/01","银泪湖北岸"
83,"地灵采石员","","ui/icon/084000/084051.tex","s1f6/00","黑金湖"
84,"美男子 布迦加","不幸的佣兵——美男子布迦加","ui/icon/084000/084183.tex","s1f5/00","石绿湖"
85,"西洛可","神速的羚羊——西洛可","ui/icon/084000/084184.tex","f1f3/00","高径"
86,"第五大队骑士","","ui/icon/084000/084052.tex","l1f1/01","迷雾湿地"
87,"大口鬼鮟鱇","","ui/icon/084000/084063.tex","f1f3/00","低径"
88,"风扬风爪剑士","","ui/icon/084000/084081.tex","r1f1/00","风扬殖民地"
89,"大脚魔犬","豪气冲天——大脚魔犬","ui/icon/084000/084185.tex","s1f2/00","神握角"
90,"库鲁皮拉","芳香迷人——库鲁皮拉","ui/icon/084000/084186.tex","f1f4/00","和平苑"
91,"中原秃鹰","","ui/icon/084000/084055.tex","f1f3/00","低径"
92,"镜骑士","","ui/icon/084000/084056.tex","w1f3/00","火墙"
93,"嚎叫之妖精","","ui/icon/084000/084057.tex","f1f2/00","百灵啼"
94,"憎恨恶石","阴险的魔物——憎恨恶石","ui/icon/084000/084187.tex","f1f1/00","朽骨森"
95,"金刚爪 奈寨德·夏","怒涛怪力——金刚爪奈寨德·夏","ui/icon/084000/084188.tex","w1f4/01","赞拉克"
96,"精金龟","","ui/icon/084000/084058.tex","f1f3/00","低径"
97,"鲁莽异端者","","ui/icon/084000/084059.tex","l1f1/01","迷雾湿地"
98,"石英矿妖虫","","ui/icon/084000/084060.tex","w1f3/00","火墙"
99,"黑夜鹰犬","夜袭魔兽——黑夜鹰犬","ui/icon/084000/084189.tex","l1f1/01","银泪湖北岸"
100,"绿巨猩猩","深绿巨兽——绿巨猩猩","ui/icon/084000/084190.tex","s1f3/01","接雨草树林"
101,"石蜥蜴","","ui/icon/084000/084061.tex","w1f5/00","蓝雾"
102,"树精","","ui/icon/084000/084062.tex","f1f3/00","蛇蜕林"
103,"泥沼蝾螈","","ui/icon/084000/084053.tex","l1f1/01","迷雾湿地"
104,"第59团采集员 辈泽","穿山地灵——第59团采集员 辈泽","ui/icon/084000/084191.tex","s1f6/00","黑金湖"
105,"卢卡寇","软体大肚汉——卢卡寇","ui/icon/084000/084192.tex","f1f1/00","弯枝"
106,"叹息之妖精","","ui/icon/084000/084064.tex","f1f2/00","百灵啼"
107,"胡鹫","","ui/icon/084000/084065.tex","s1f4/00","幻影群岛"
108,"鸟人风爪剑士","","ui/icon/084000/084066.tex","f1f4/00","荣耀溪"
109,"西牟鸟","食豹猛禽——西牟鸟","ui/icon/084000/084193.tex","s1f5/00","橡树原"
110,"阿路修","强大的小魔鬼——阿路修","ui/icon/084000/084194.tex","f1f1/00","翠泪择伐区"
111,"妖精领哨兵","","ui/icon/084000/084067.tex","f1f2/00","妖精领"
112,"离子电","","ui/icon/084000/084068.tex","s1f6/00","黑金湖"
113,"冥鬼之眼","","ui/icon/084000/084069.tex","w1f5/00","蓝雾"
114,"佩利冬","传说的巨龙——佩利冬","ui/icon/084000/084195.tex","s1f6/00","登天路"
115,"南风 萨特里·怀罗克","","ui/icon/084000/084196.tex","r1f1/00","风扬殖民地"
116,"武伽玛罗受施者","","ui/icon/084000/084070.tex","s1f6/00","武伽玛罗武装矿山"
117,"第三大队剑斗士","","ui/icon/084000/084071.tex","f1f2/00","百灵啼"
118,"风扬豪放猛士","","ui/icon/084000/084090.tex","r1f1/00","风扬殖民地"
119,"卓伯卡布拉","浴血猛犬——卓伯卡布拉","ui/icon/084000/084197.tex","s1f1/00","三星里弯陷"
120,"爆弹男爵","灼热贵族——爆弹男爵","ui/icon/084000/084198.tex","w1f5/00","蓝雾"
121,"萨普沙礁齿鱼人","","ui/icon/084000/084073.tex","s1f4/00","萨普沙产卵地"
122,"地灵助祭","","ui/icon/084000/084074.tex","s1f5/00","泽尔玛溪谷"
123,"精炼辩士","","ui/icon/084000/084075.tex","w1f4/01","赞拉克"
124,"大鹏","赤翼巨鸟——大鹏","ui/icon/084000/084199.tex","r1f1/00","白云崖"
125,"泡沫魔蟹伯尼","蟹肉盛宴——泡沫魔蟹伯尼","ui/icon/084000/084200.tex","w1f1/00","足迹谷"
126,"风扬迷雾术士","","ui/icon/084000/084076.tex","r1f1/00","风扬殖民地"
127,"辉鳞人行刑者","","ui/icon/084000/084077.tex","s1f5/00","石绿湖"
128,"地灵采矿员","","ui/icon/084000/084078.tex","s1f3/01","鲜血滨"
129,"派亚","最后的斗猪王——派亚","ui/icon/084000/084201.tex","f1f3/00","兀尔德恩惠地"
130,"波罗斯","残忍食人魔——波罗斯","ui/icon/084000/084202.tex","l1f1/01","银泪湖北岸"
131,"骏雕","","ui/icon/084000/084079.tex","r1f1/00","白云崖"
132,"地灵传教士","","ui/icon/084000/084080.tex","s1f3/01","鲜血滨"
133,"巨蟾蜍","","ui/icon/084000/084054.tex","s1f3/01","接雨草树林"
134,"爆发石火精","愤怒的宝主人——爆发石火精","ui/icon/084000/084203.tex","w1f2/00","黑尘"
135,"第59团巡逻员 凯伽","妖异杀手——第59团巡逻员凯伽","ui/icon/084000/084204.tex","s1f6/00","武伽玛罗武装矿山"
136,"妖精领秃鹰","","ui/icon/084000/084082.tex","f1f2/00","妖精领"
137,"中音巨鳄","","ui/icon/084000/084083.tex","r1f1/00","白云崖"
138,"第二大队旗手","","ui/icon/084000/084084.tex","s1f3/01","永恒旧街"
139,"迟钝的崔普提克斯","迟钝的保镖——崔普提克斯","ui/icon/084000/084205.tex","s1f4/00","骷髅谷"
140,"梅努伊斯","巨大猛牛——梅努伊斯","ui/icon/084000/084206.tex","s1f1/00","盛夏滩"
141,"蜂鸟","","ui/icon/084000/084085.tex","s1f3/01","鲜血滨"
142,"不悔战斗火蛟","","ui/icon/084000/084105.tex","w1f4/01","不悔战阵"
143,"咆哮之妖精","","ui/icon/084000/084087.tex","f1f2/00","百灵啼"
144,"啮齿雷蛟","圣人劫难——啮齿雷蛟","ui/icon/084000/084207.tex","r1f1/00","巨石丘"
145,"仙人掌杰克","沙漠的霸王——仙人掌杰克","ui/icon/084000/084208.tex","w1f1/00","金锤台地"
146,"蜻蜓飞蜥","","ui/icon/084000/084088.tex","r1f1/00","白云崖"
147,"地灵受施者","","ui/icon/084000/084089.tex","s1f6/00","黑金湖"
148,"第三大队旗手","","ui/icon/084000/084072.tex","f1f2/00","百灵啼"
149,"停滞水元精","奔流停息——停滞水元精","ui/icon/084000/084209.tex","f1f1/00","翡翠湖滨"
150,"克吕提俄斯","愚钝勇者——克吕提俄斯","ui/icon/084000/084210.tex","r1f1/00","巨石丘"
151,"雷蛟","","ui/icon/084000/084091.tex","r1f1/00","巨石丘"
