key,0,1,2,3,4,5,6,7,8
#,BNpcName,Icon,Town,PlaceName{Zone}[0],PlaceName{Location}[0],PlaceName{Zone}[1],PlaceName{Location}[1],PlaceName{Zone}[2],PlaceName{Location}[2]
int32,BNpcName,Image,Town,PlaceName,PlaceName,PlaceName,PlaceName,PlaceName,PlaceName
0,"",,"Nowheresville","","","","","",""
1,"little ladybug","ui/icon/063000/063036.tex","Limsa Lominsa","Middle La Noscea","Zephyr Drift","Central Shroud","Jadeite Thick","Western Thanalan","The Eighty Sins of Sasamo"
2,"wharf rat","ui/icon/063000/063028.tex","Limsa Lominsa","Middle La Noscea","Zephyr Drift","","","",""
3,"aurelia","ui/icon/063000/063064.tex","Limsa Lominsa","Lower La Noscea","Moraby Bay","","","",""
4,"lost lamb","ui/icon/063000/063074.tex","Limsa Lominsa","Middle La Noscea","Zephyr Drift","","","",""
5,"wind sprite","ui/icon/063000/063056.tex","Limsa Lominsa","Lower La Noscea","Cedarwood","","","",""
6,"wild dodo","ui/icon/063000/063079.tex","Limsa Lominsa","Lower La Noscea","Cedarwood","","","",""
7,"bee cloud","ui/icon/063000/063012.tex","Limsa Lominsa","Middle La Noscea","Summerford","","","",""
8,"tiny mandragora","ui/icon/063000/063088.tex","Limsa Lominsa","Middle La Noscea","Summerford","","","",""
9,"nesting buzzard","ui/icon/063000/063005.tex","Limsa Lominsa","Lower La Noscea","Cedarwood","","","Western Thanalan","Hammerlea"
10,"cave bat","ui/icon/063000/063020.tex","Limsa Lominsa","Lower La Noscea","Cedarwood","","","",""
11,"bogy","ui/icon/063000/063084.tex","Limsa Lominsa","Middle La Noscea","Summerford","","","",""
12,"wounded aurochs","ui/icon/063000/063063.tex","Limsa Lominsa","Middle La Noscea","Summerford","","","",""
13,"galago","ui/icon/063000/063008.tex","Limsa Lominsa","Lower La Noscea","Cedarwood","","","",""
14,"grounded pirate","ui/icon/063000/063045.tex","Limsa Lominsa","Middle La Noscea","Summerford","","","",""
15,"grounded raider","ui/icon/063000/063045.tex","Limsa Lominsa","Middle La Noscea","Summerford","","","",""
