key,0,1,2
#,Quest,,
int32,Quest,uint32,byte
0,,0,0
1,"クラクシオの決意",353,2
2,"クラクシオの決意",354,3
3,"永遠なる海雄旅団",355,4
4,"狂気の歌声",356,5
5,"憤怒の岩神タイタン",357,6
6,"憤怒の岩神タイタン",358,7
7,"クラクシオの決意",344,12
8,"クラクシオの決意",345,13
9,"リトルアラミゴ再び",346,14
10,"推理は踊る",347,15
11,"クラクシオの決意",348,22
12,"クラクシオの決意",349,23
13,"彼方より来たりて",350,24
14,"ラムトンウォームの肉",351,25
15,"究極幻想アルテマウェポン",352,26
16,"魔導兵器のみる夢",359,31
17,"ストーンヴィジルに眠る翼",360,42
18,"円形劇場の激闘",361,43
19,"魔大陸の鍵",365,44
20,"青き鎧の猛者",366,45
21,"武神降臨",362,47
22,"隠者マトーヤ",363,48
23,"それぞれの想い",364,49
24,"蒼天のイシュガルド",0,46
25,"究極幻想アルテマウェポン",0,1
26,"究極幻想アルテマウェポン",0,11
27,"究極幻想アルテマウェポン",0,21
28,"美神ラクシュミ",400,52
29,"カストルム・アバニア潜入作戦",401,53
30,"ウリエンジェの秘策",402,54
31,"紅蓮のリベレーター",0,51
32,"豪神スサノオ",403,62
33,"カストルム・フルーミニスに躍る",404,63
34,"終節の合戦",405,64
35,"紅蓮のリベレーター",0,61
36,,0,65
37,,0,66
38,,0,67
39,,0,68
40,,0,69
41,,0,70
42,,0,100
43,,0,101
44,,0,71
45,,0,72
46,,0,73
47,,0,74
48,,0,76
49,,0,75
50,"宿命の果て",0,41
