key,0,1
#,,
int32,str,str
0,"",""
1,"",""
2,"",""
3,"",""
4,"コンテンツの緩和","現在のパッチでは、零式コンテンツに下記の変更が適用されます。
　・各層の攻略進行度が記録される仕組みが撤廃されます。
　・参加条件から「進行度」が撤廃されます。
　・宝箱が必ず2個出現するようになります。
　・宝箱から得られるアイテムの週制限が撤廃されます。
"
5,"マッチング条件","<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>マッチング条件<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
「コンプリート済み」は該当コンテンツを過去に一度でも
コンプリートしたことがある場合のみ選択可能になります。

<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>目的<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
「コンプリート目的」は報酬が未取得時のみ選択可能になります。

<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>練習フェーズの指定<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
目的が「練習」の場合のみ選択可能になります。
実際にフェーズをスキップするものではありません。

参加申請中にリセット時間を跨ぐと、申請がキャンセルされます。"
6,"進行度の記録","零式コンテンツの攻略進行度は、プレイヤーごとに特定の
タイミングで記録され、再開時に続きから攻略することができます。
 
進行度の記録は<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow><ResetTime>1203</ResetTime><Switch(TopLevelParameter(220))><Case(1)>日</Case><Case(2)>月</Case><Case(3)>火</Case><Case(4)>水</Case><Case(5)>木</Case><Case(6)>金</Case><Case(7)>土</Case></Switch>曜日の<If(GreaterThanOrEqualTo(TopLevelParameter(218),12))>午後<Else/>午前</If><If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>0</Case><Case(13)>1</Case><Case(14)>2</Case><Case(15)>3</Case><Case(16)>4</Case><Case(17)>5</Case><Case(18)>6</Case><Case(19)>7</Case><Case(20)>8</Case><Case(21)>9</Case><Case(22)>10</Case><Case(23)>11</Case></Switch><Else/>0</If>時（地球時間）<UIGlow>01</UIGlow><UIForeground>01</UIForeground>にリセットされます。"
7,"進行度による報酬取得制限","零式コンテンツにおいて自分の進行度未満の地点では、
報酬を得られません。

コンテンツを攻略済みのメンバー数により、宝箱の数が変動します。 
　・攻略済みのメンバーが１～４人：宝箱１個 
　・攻略済みのメンバーが５人以上：宝箱０個 
 
1人もしくは8人未満のパーティで参加した場合、マッチング先のメンバーの進行度により宝箱の出現数が変動する可能性があります。 
"
