key,0,1,2,3
#,BNpcBase,Rank,BNpcName,
int32,BNpcBase,byte,BNpcName,uint16
0,"BNpcBase#0",1,"",0
1,"BNpcBase#3175",1,"White Joker",0
2,"BNpcBase#3192",2,"Forneus",0
3,"BNpcBase#3209",3,"Laideronnette",0
4,"BNpcBase#3176",1,"Stinging Sophie",0
5,"BNpcBase#3193",2,"Melt",0
6,"BNpcBase#3210",3,"Wulgaru",0
7,"BNpcBase#3177",1,"Monarch Ogrefly",0
8,"BNpcBase#3194",2,"Ghede Ti Malice",0
9,"BNpcBase#3211",3,"mindflayer",0
10,"BNpcBase#3178",1,"Phecda",0
11,"BNpcBase#3195",2,"Girtab",0
12,"BNpcBase#3212",3,"Thousand-cast Theda",0
13,"BNpcBase#3179",1,"Sewer Syrup",0
14,"BNpcBase#3196",2,"Alectryon",0
15,"BNpcBase#3213",3,"Zona Seeker",0
16,"BNpcBase#3180",1,"Ovjang",0
17,"BNpcBase#3197",2,"Sabotender Bailarina",0
18,"BNpcBase#3214",3,"Brontes",0
19,"BNpcBase#3181",1,"Gatling",0
20,"BNpcBase#3198",2,"Maahes",0
21,"BNpcBase#3215",3,"Lampalagua",0
22,"BNpcBase#3182",1,"Albin the Ashen",0
23,"BNpcBase#3199",2,"Zanig'oh",0
24,"BNpcBase#3216",3,"Nunyunuwi",0
25,"BNpcBase#3183",1,"Flame Sergeant Dalvag",0
26,"BNpcBase#3200",2,"Dalvag's Final Flame",0
27,"BNpcBase#3217",3,"Minhocao",0
28,"BNpcBase#3184",1,"Skogs Fru",0
29,"BNpcBase#3201",2,"Vogaal Ja",0
30,"BNpcBase#3218",3,"Croque-mitaine",0
31,"BNpcBase#3185",1,"Barbastelle",0
32,"BNpcBase#3202",2,"Unktehi",0
33,"BNpcBase#3219",3,"Croakadile",0
34,"BNpcBase#3186",1,"Bloody Mary",0
35,"BNpcBase#3203",2,"Hellsclaw",0
36,"BNpcBase#3220",3,"the Garlok",0
37,"BNpcBase#3187",1,"Dark Helmet",0
38,"BNpcBase#3204",2,"Nahn",0
39,"BNpcBase#3221",3,"Bonnacon",0
40,"BNpcBase#3188",1,"Myradrosh",0
41,"BNpcBase#3205",2,"Marberry",0
42,"BNpcBase#3222",3,"Nandi",0
43,"BNpcBase#3189",1,"Vuokho",0
44,"BNpcBase#3206",2,"Cornu",0
45,"BNpcBase#3223",3,"Chernobog",0
46,"BNpcBase#3190",1,"Naul",0
47,"BNpcBase#3207",2,"Marraco",0
48,"BNpcBase#3224",3,"Safat",0
49,"BNpcBase#3191",1,"Leech King",0
50,"BNpcBase#3208",2,"Kurrea",0
51,"BNpcBase#3225",3,"Agrippa the Mighty",0
52,"BNpcBase#4527",1,"Alteci",0
53,"BNpcBase#4528",1,"Kreutzet",0
54,"BNpcBase#4539",2,"Mirka",0
55,"BNpcBase#4540",2,"Lyuba",0
56,"BNpcBase#4551",3,"kaiser behemoth",0
57,"BNpcBase#4529",1,"Gnath cometdrone",0
58,"BNpcBase#4530",1,"Thextera",0
59,"BNpcBase#4541",2,"Pylraster",0
60,"BNpcBase#4542",2,"Lord of the Wyverns",0
61,"BNpcBase#4552",3,"Senmurv",0
62,"BNpcBase#4531",1,"Pterygotus",0
63,"BNpcBase#4532",1,"false gigantopithecus",0
64,"BNpcBase#4543",2,"Slipkinx Steeljoints",0
65,"BNpcBase#4544",2,"Stolas",0
66,"BNpcBase#4553",3,"the Pale Rider",0
67,"BNpcBase#4533",1,"Scitalis",0
68,"BNpcBase#4534",1,"the Scarecrow",0
69,"BNpcBase#4545",2,"Bune",0
70,"BNpcBase#4546",2,"Agathos",0
71,"BNpcBase#4554",3,"Gandarewa",0
72,"BNpcBase#4535",1,"Squonk",0
73,"BNpcBase#4536",1,"Sanu Vali of Dancing Wings",0
74,"BNpcBase#4547",2,"Enkelados",0
75,"BNpcBase#4548",2,"Sisiutl",0
76,"BNpcBase#4555",3,"Bird of Paradise",0
77,"BNpcBase#4537",1,"Lycidas",0
78,"BNpcBase#4538",1,"Omni",0
79,"BNpcBase#4549",2,"Campacti",0
80,"BNpcBase#4550",2,"stench blossom",0
81,"BNpcBase#4556",3,"Leucrotta",0
82,"BNpcBase#6851",1,"Gauki Strongblade",0
83,"BNpcBase#6852",1,"Guhuo Niao",0
84,"BNpcBase#6845",2,"Funa Yurei",0
85,"BNpcBase#6846",2,"Oni Yumemi",0
86,"BNpcBase#6833",3,"Okina",220
87,"BNpcBase#6853",1,"Deidar",0
88,"BNpcBase#6854",1,"Gyorai Quickstrike",0
89,"BNpcBase#6847",2,"Gajasura",0
90,"BNpcBase#6848",2,"Angada",0
91,"BNpcBase#6834",3,"Gamma",221
92,"BNpcBase#6855",1,"Kurma",0
93,"BNpcBase#6856",1,"Aswang",0
94,"BNpcBase#6849",2,"Girimekhala",0
95,"BNpcBase#6850",2,"Sum",0
96,"BNpcBase#6835",3,"Orghana",222
97,"BNpcBase#6857",1,"Shadow-dweller Yamini",0
98,"BNpcBase#6858",1,"Ouzelum",0
99,"BNpcBase#6839",2,"Orcus",0
100,"BNpcBase#6840",2,"Erle",0
