key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
#,Content[0],Content[1],Content[2],Content[3],Content[4],Content[5],Content[6],Content[7],Content[8],Content[9],Content[10],Content[11],Content[12],Content[13],Content[14],Content[15],CandidateName[0],CandidateName[1],CandidateName[2],CandidateName[3],CandidateName[4],CandidateName[5],CandidateName[6],CandidateName[7],CandidateName[8],CandidateName[9],CandidateName[10],CandidateName[11],CandidateName[12],CandidateName[13],CandidateName[14],CandidateName[15]
int32,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName
0,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","","","","","","","","","","","","","","","",""
1,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","","","","","","","","","","","","","","","",""
2,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","第1回定期報告の確認","第2回定期報告の確認","最終報告の確認","","","","","","","","","","","","",""
3,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","妖精王ティターニアの話をする","全能者イノセンスの話をする","ハーデスの話をする","ウォーリア・オブ・ライトの話をする","","","","","","","","","","","",""
4,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","「美神ラクシュミ」の話をする","「豪神スサノオ」の話をする","「神龍」の話をする","「夜神ツクヨミ」の話をする","「白虎」の話をする","「朱雀」の話をする","「青龍」の話をする","「龍神バハムート」の話をする","「アルテマウェポン」の話をする","「アレキサンダー」の話をする","","","","","",""
5,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","「ルビーウェポン」","「エメラルドウェポン」","「ダイヤウェポン」","","","","","","","","","","","","",""
6,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","「ヴァリス帝」の話をする ","","","","","","","","","","","","","","",""
7,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","「プロジェクト零」を起動する","「プロジェクト零 第2回」を起動する","「プロジェクト零 第3回」を起動する","","","","","","","","","","","","",""
8,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","「ゾディアーク」の話をする","「ハイデリン」の話をする","「終焉の戦い」の話をする","「バルバリシア」の話をする","「竜詩戦争」の話をする","","","","","","","","","","",""
9,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","「辺獄」について証言する","「煉獄」と「地獄」について証言する","","","","","","","","","","","","","",""
10,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","","","","","","","","","","","","","","","",""
