key,0,1,2,3,4,5,6,7
#,Name,Description,Icon,Action,Pet,MasterOrder,DisableOrder,
int32,str,str,Image,Action,Pet,bit&01,bit&02,bit&04
0,"","","ui/icon/000000/000405.tex","","",False,True,False
1,"Away","Order pet to leave the battlefield.","ui/icon/000000/000530.tex","","",False,True,False
2,"Heel","Order pet to follow behind you.","ui/icon/000000/000529.tex","","",False,True,False
3,"Place","Order pet to move to a specified location.","ui/icon/000000/000527.tex","","",False,True,False
4,"Stay","Order pet to remain where it is.","ui/icon/000000/000528.tex","","",False,True,False
5,"Guard","Order pet to refrain from attacking until you attack or are attacked.","ui/icon/000000/000531.tex","","",False,True,False
6,"Steady","Order pet to refrain from attacking until ordered to do so.","ui/icon/000000/000532.tex","","",False,True,False
7,"Sic","Order pet to attack.","ui/icon/000000/000525.tex","","",False,True,False
8,"Obey","Order pet to attack, but refrain from using certain actions until ordered to do so.","ui/icon/000000/000786.tex","","",True,False,False
9,"Gust","Deals wind damage with a potency of 90.","ui/icon/000000/000786.tex","Gust","Emerald Carbuncle",True,False,False
10,"Backdraft","Deals wind damage with a potency of 80.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15-yalm knockback
When <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Obey<UIGlow>01</UIGlow><UIForeground>01</UIForeground> is active, will only execute upon command.","ui/icon/000000/000786.tex","Backdraft","Emerald Carbuncle",True,False,False
11,"Downburst","Deals wind damage with a potency of 80 to target and all enemies nearby it.
When <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Obey<UIGlow>01</UIGlow><UIForeground>01</UIForeground> is active, will only execute upon command.","ui/icon/000000/000786.tex","Downburst","Emerald Carbuncle",True,False,False
12,"Shining Emerald","Increases target's magic damage taken by 10%.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s
When <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Obey<UIGlow>01</UIGlow><UIForeground>01</UIForeground> is active, will only execute upon command.","ui/icon/000000/000786.tex","Shining Emerald","Emerald Carbuncle",True,False,False
13,"Gouge","Deals earth damage with a potency of 70.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Increased enmity","ui/icon/000000/000786.tex","Gouge","Topaz Carbuncle",True,False,False
14,"Shining Topaz","Deals earth damage with a potency of 60 to all nearby enemies.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Increased enmity
When <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Obey<UIGlow>01</UIGlow><UIForeground>01</UIForeground> is active, will only execute upon command.","ui/icon/000000/000786.tex","Shining Topaz","Topaz Carbuncle",True,False,False
15,"Curl","Decreases damage suffered by pet by 20%.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 20s
When <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Obey<UIGlow>01</UIGlow><UIForeground>01</UIForeground> is active, will only execute upon command.","ui/icon/000000/000786.tex","Curl","Topaz Carbuncle",True,False,False
16,"Storm","Deals earth damage with a potency of 60.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Stun<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 2s
When <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Obey<UIGlow>01</UIGlow><UIForeground>01</UIForeground> is active, will only execute upon command.","ui/icon/000000/000786.tex","Storm","Topaz Carbuncle",True,False,False
17,"Wind Blade","Deals wind damage with a potency of 110.","ui/icon/000000/000786.tex","Wind Blade","Garuda-Egi",True,False,False
18,"Shockwave","Deals wind damage with a potency of 90.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15-yalm knockback
When <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Obey<UIGlow>01</UIGlow><UIForeground>01</UIForeground> is active, will only execute upon command.","ui/icon/000000/000786.tex","Shockwave","Garuda-Egi",True,False,False
19,"Aerial Slash","Deals wind damage with a potency of 90 to target and all enemies nearby it.
When <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Obey<UIGlow>01</UIGlow><UIForeground>01</UIForeground> is active, will only execute upon command.","ui/icon/000000/000786.tex","Aerial Slash","Garuda-Egi",True,False,False
20,"Contagion","Increases target's magic damage taken by 10%.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s
When <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Obey<UIGlow>01</UIGlow><UIForeground>01</UIForeground> is active, will only execute upon command.","ui/icon/000000/000786.tex","Contagion","Garuda-Egi",True,False,False
21,"Aerial Blast","Deals wind damage with a potency of 250 to target and all enemies nearby it.
Executed when master uses <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Enkindle<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.","ui/icon/000000/000786.tex","Aerial Blast","Garuda-Egi",True,False,False
22,"Rock Buster","Deals earth damage with a potency of 85.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Increased enmity","ui/icon/000000/000786.tex","Rock Buster","Titan-Egi",True,False,False
23,"Mountain Buster","Deals earth damage with a potency of 70 to all nearby enemies.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Increased enmity
When <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Obey<UIGlow>01</UIGlow><UIForeground>01</UIForeground> is active, will only execute upon command.","ui/icon/000000/000786.tex","Mountain Buster","Titan-Egi",True,False,False
