key,0,1,2,3,4,5,6,7
#,,Image,Target,UnlockQuest,AcceptMessage,DenyMessage,,
int32,str,Image,Row,Quest,DefaultTalk,DefaultTalk,byte,byte
3538944,"",,,,,,0,0
3538945,"",,,,,,0,0
3538946,"",,"道具交易（木材、金属、石材、骨材、皮革）",,,,1,0
3538947,"",,"道具交易（布料、炼金原料）",,,,1,0
3538948,"",,"道具交易（食材）",,,,1,0
3538949,"",,"道具交易（苗圃、染料）",,,,1,0
3538950,"",,"道具交易（触媒）",,,,1,0
3538951,"",,"道具交易",,,,1,0
3538952,"",,"道具交易（室内建材）",,,,1,0
3538953,"",,"道具交易（床椅）",,,,1,0
3538954,"",,"道具交易（桌台、菜肴）",,,,1,0
3538955,"",,"道具交易（柜子、地毯、灯具）",,,,1,0
3538956,"",,"道具交易（其他）",,,,1,0
3538957,"",,"武器交易",,,,1,0
3538958,"",,"工具交易",,,,1,0
3538959,"",,"战斗精英防具交易",,,,1,0
3538960,"",,"魔法导师防具交易",,,,1,0
3538961,"",,"制作采集职业防具交易",,,,1,0
3538962,"",,"战斗职业饰品交易",,,,1,0
3538963,"",,"道具交易",,,,1,0
3538964,"",,"多玛方城战解说",,,,1,0
3538965,"",,"",,,,2,0
3538966,"",,"道具交易",,,,5,0
3538967,"",,"战斗职业饰品交易",,,,5,0
3538968,"",,"制作采集职业饰品交易",,,,5,0
3538969,"",,"防具交易（62级）",,,,5,0
3538970,"",,"防具交易（64级）",,,,5,0
3538971,"",,"武器交易（62级）",,,,5,0
3538972,"",,"武器交易（64级）",,,,5,0
3538973,"",,"武器交易（66级）",,,,5,0
3538974,"",,"武器交易（68级）",,,,5,0
3538975,"",,"武器交易（70级）",,,,5,0
3538976,"",,"防具交易（66级）",,,,5,0
3538977,"",,"防具交易（68级）",,,,5,0
3538978,"",,"防具交易（70级）",,,,5,0
3538979,"",,"防具交易（62级）",,,,5,0
3538980,"",,"防具交易（64级）",,,,5,0
3538981,"",,"防具交易（66级）",,,,5,0
3538982,"",,"防具交易（68级）",,,,5,0
3538983,"",,"防具交易（70级）",,,,5,0
3538984,"",,"道具交易（隔离墙、墙面装饰）",,,,1,0
3538985,"",,"武器交易",,,,6,0
3538986,"",,"工具交易",,,,6,0
3538987,"",,"战斗精英防具交易",,,,6,0
3538988,"",,"魔法导师防具交易",,,,6,0
3538989,"",,"制作采集职业防具交易",,,,6,0
3538990,"",,"战斗职业饰品交易",,,,6,0
3538991,"",,"道具交易",,,,6,0
3538992,"",,"道具交易",,,,6,0
3538993,"",,"道具交易",,,,4,0
3538994,"",,"",,,,3,0
3538995,"",,"关于房屋",,,,3,0
3538996,"",,"","一流工匠的新工作",,"DefaultTalk#594673",1,0
3538997,"",,"","一流工匠的新工作",,"DefaultTalk#594674",1,0
3538998,"",,"","一流工匠的新工作",,"DefaultTalk#594675",1,0
3538999,"",,"","一流工匠的新工作",,"DefaultTalk#594670",1,0
3539000,"",,"","打开新世界的大门",,"DefaultTalk#594671",1,0
3539001,"",,"","生意兴隆",,"DefaultTalk#594672",1,0
3539002,"",,"","生意兴隆",,"DefaultTalk#594877",1,0
