key,0,1,2,3
#,,Icon1,Icon2,Text
int32,byte,Image,Image,str
0,0,,,""
1,1,"ui/icon/114000/114003.tex","ui/icon/114000/114053.tex","主线任务"
2,3,"ui/icon/114000/114004.tex","ui/icon/114000/114054.tex","支线任务"
3,2,"ui/icon/114000/114006.tex","ui/icon/114000/114056.tex","编年史任务"
4,4,"ui/icon/114000/114007.tex","ui/icon/114000/114057.tex","防护职业职业任务"
5,6,"ui/icon/114000/114009.tex","ui/icon/114000/114059.tex","进攻职业职业任务"
6,5,"ui/icon/114000/114008.tex","ui/icon/114000/114058.tex","治疗职业职业任务"
7,7,"ui/icon/114000/114010.tex","ui/icon/114000/114060.tex","能工巧匠职业任务"
8,8,"ui/icon/114000/114011.tex","ui/icon/114000/114061.tex","大地使者职业任务"
