key,0,1
#,Icon,Name
int32,Image,str
0,,""
1,"ui/icon/000000/000001.tex","テストテストテスト"
2,"ui/icon/060000/060033.tex","風脈の泉"
3,"ui/icon/060000/060031.tex","収集品アクション"
4,"ui/icon/060000/060032.tex","マイスターアクション"
5,"ui/icon/025000/025948.tex","風脈のコンパス"
6,"ui/icon/026000/026995.tex","妖怪大辞典"
7,"ui/icon/025000/025987.tex","クロの空想帳"
8,"ui/icon/060000/060039.tex","刺突漁開放"
9,"ui/icon/026000/026113.tex","？？？？"
10,"ui/icon/026000/026003.tex","ナイトの証"
11,"ui/icon/026000/026004.tex","モンクの証"
12,"ui/icon/026000/026005.tex","戦士の証"
13,"ui/icon/026000/026006.tex","竜騎士の証"
14,"ui/icon/026000/026007.tex","吟遊詩人の証"
15,"ui/icon/026000/026008.tex","白魔道士の証"
16,"ui/icon/026000/026009.tex","黒魔道士の証"
17,"ui/icon/060000/060044.tex","？？？？"
