key,0,1,2,3,4
#,Name{Action},Icon,Addon,QuickChatTransient,
int32,str,Image,Addon,QuickChatTransient,uint16
0,"Deleted Message","ui/icon/000000/000783.tex","","",0
1,"Hello","ui/icon/009000/009901.tex","Hello.<Unknown60>0261</Unknown60>","Fixed phrase available only during the Feast.

<Color(PlayerParameter(16))><27>01</27><28>02</28>Hello.<28>01</28><27>02</27></Color>",1
2,"Good Match","ui/icon/009000/009902.tex","Good match!<Unknown60>0261</Unknown60>","Fixed phrase available only during the Feast.

<Color(PlayerParameter(16))><27>01</27><28>02</28>Good match!<28>01</28><27>02</27></Color>",2
3,"Thank You","ui/icon/009000/009903.tex","Thank you.<Unknown60>0262</Unknown60>","Fixed phrase available only during the Feast.

<Color(PlayerParameter(16))><27>01</27><28>02</28>Thank you.<28>01</28><27>02</27></Color>",3
4,"Nice Job","ui/icon/009000/009904.tex","Nice job!<Unknown60>0262</Unknown60>","Fixed phrase available only during the Feast.

<Color(PlayerParameter(16))><27>01</27><28>02</28>Nice job!<28>01</28><27>02</27></Color>",4
5,"Additional Action 1","ui/icon/009000/009927.tex","<Clickable(<Sheet(Action,IntegerParameter(1),0)/>)/> <If(Equal(IntegerParameter(2),0))>ready!<Unknown60>0263</Unknown60><Else/>ready in <Value>IntegerParameter(2)</Value>s!<Unknown60>0264</Unknown60></If>","Variable phrase available only during the Feast.

<Color(PlayerParameter(16))><27>01</27><28>02</28>Adrenaline Rush ready!<28>01</28><27>02</27></Color>
<Color(PlayerParameter(16))><27>01</27><28>02</28>Adrenaline Rush at [99]%!<28>01</28><27>02</27></Color>",5
6,"Adrenaline Rush","ui/icon/009000/009906.tex","Adrenaline Rush <If(Equal(IntegerParameter(1),100))>ready!<Unknown60>0263</Unknown60><Else/>at <Value>IntegerParameter(1)</Value>%!<Unknown60>0264</Unknown60></If>","Variable phrase available only during the Feast.
Uses name and recast time of action in <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>additional action<UIGlow>01</UIGlow><UIForeground>01</UIForeground> slot 1.

<Color(PlayerParameter(16))><27>01</27><28>02</28>[Purify] ready!<28>01</28><27>02</27></Color>
<Color(PlayerParameter(16))><27>01</27><28>02</28>[Purify] ready in [5]s!<28>01</28><27>02</27></Color>",6
7,"Offensive Supplies","ui/icon/009000/009907.tex","Collecting offensive supplies!<Unknown60>0265</Unknown60>","Fixed phrase available only during the Feast.

<Color(PlayerParameter(16))><27>01</27><28>02</28>Collecting wolf's heart!<28>01</28><27>02</27></Color>",0
8,"Defensive Supplies","ui/icon/009000/009908.tex","Collecting defensive supplies!<Unknown60>0265</Unknown60>","Fixed phrase available only during the Feast.

<Color(PlayerParameter(16))><27>01</27><28>02</28>Attacking tank!<28>01</28><27>02</27></Color>",0
9,"Adrenaline Supplies","ui/icon/009000/009909.tex","Collecting adrenaline supplies!<Unknown60>0265</Unknown60>","Fixed phrase available only during the Feast.

<Color(PlayerParameter(16))><27>01</27><28>02</28>Attacking healer!<28>01</28><27>02</27></Color>",9
10,"Wolf's Heart","ui/icon/009000/009910.tex","Collecting wolf's heart!<Unknown60>0265</Unknown60>","Fixed phrase available only during the Feast.

<Color(PlayerParameter(16))><27>01</27><28>02</28>Attacking melee DPS!<28>01</28><27>02</27></Color>",10
11,"Attack Tank","ui/icon/009000/009911.tex","Attacking tank!<Unknown60>0266</Unknown60>","Fixed phrase available only during the Feast.

<Color(PlayerParameter(16))><27>01</27><28>02</28>Attacking ranged DPS!<28>01</28><27>02</27></Color>",11
12,"Attack Healer","ui/icon/009000/009912.tex","Attacking healer!<Unknown60>0266</Unknown60>","Fixed phrase available only during the Feast.

<Color(PlayerParameter(16))><27>01</27><28>02</28>Stopping tank!<28>01</28><27>02</27></Color>",12
13,"Attack Melee DPS","ui/icon/009000/009913.tex","Attacking melee DPS!<Unknown60>0266</Unknown60>","Fixed phrase available only during the Feast.

<Color(PlayerParameter(16))><27>01</27><28>02</28>Stopping healer!<28>01</28><27>02</27></Color>",13
14,"Attack Ranged DPS","ui/icon/009000/009914.tex","Attacking ranged DPS!<Unknown60>0266</Unknown60>","Fixed phrase available only during the Feast.

<Color(PlayerParameter(16))><27>01</27><28>02</28>Stopping melee DPS!<28>01</28><27>02</27></Color>",14
15,"Stop Tank","ui/icon/009000/009915.tex","Stopping tank!<Unknown60>0267</Unknown60>","Fixed phrase available only during the Feast.

<Color(PlayerParameter(16))><27>01</27><28>02</28>Collecting medals!<28>01</28><27>02</27></Color>",15
16,"Stop Healer","ui/icon/009000/009916.tex","Stopping healer!<Unknown60>0267</Unknown60>","Fixed phrase available only during the Feast.

<Color(PlayerParameter(16))><27>01</27><28>02</28>Get the medals!<28>01</28><27>02</27></Color>",16
17,"Stop Melee DPS","ui/icon/009000/009917.tex","Stopping melee DPS!<Unknown60>0267</Unknown60>","Fixed phrase available only during the Feast.

<Color(PlayerParameter(16))><27>01</27><28>02</28>Everyone, attack!<28>01</28><27>02</27></Color>",17
18,"Stop Ranged DPS","ui/icon/009000/009918.tex","Stopping ranged DPS!<Unknown60>0267</Unknown60>","Fixed phrase available only during the Feast.

<Color(PlayerParameter(16))><27>01</27><28>02</28>Fall back!<28>01</28><27>02</27></Color>",18
19,"Collecting Medals","ui/icon/009000/009919.tex","Collecting medals!<Unknown60>0268</Unknown60>","Variable phrase available only during the Feast.
Displays percentage of TP remaining.

<Color(PlayerParameter(16))><27>01</27><28>02</28>TP at [41]%.<28>01</28><27>02</27></Color>",19
20,"Get Medals","ui/icon/009000/009920.tex","Get the medals!<Unknown60>0268</Unknown60>","Variable phrase available only during the Feast.
Uses current target. 

<Color(PlayerParameter(16))><27>01</27><28>02</28>Attacking [white mage]!<28>01</28><27>02</27></Color>
<Color(PlayerParameter(16))><27>01</27><28>02</28>Collecting [adrenaline supplies]!<28>01</28><27>02</27></Color>",20
21,"Charge","ui/icon/009000/009921.tex","Everyone, attack!<Unknown60>0269</Unknown60>","Variable phrase available only during the Feast.
Uses current target. 

<Color(PlayerParameter(16))><27>01</27><28>02</28>Stopping [white mage]!<28>01</28><27>02</27></Color>
<Color(PlayerParameter(16))><27>01</27><28>02</28>Collecting [adrenaline supplies]!<28>01</28><27>02</27></Color>",21
22,"Retreat","ui/icon/009000/009922.tex","Fall back!<Unknown60>0264</Unknown60>","Variable phrase available only during the Feast.
Uses name and recast time of action in <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>additional action<UIGlow>01</UIGlow><UIForeground>01</UIForeground> slot 2.

<Color(PlayerParameter(16))><27>01</27><28>02</28>[Purify] ready!<28>01</28><27>02</27></Color>
<Color(PlayerParameter(16))><27>01</27><28>02</28>[Purify] ready in [5]s!<28>01</28><27>02</27></Color>",22
23,"MP","ui/icon/009000/009923.tex","MP at <Value>IntegerParameter(1)</Value>%!<Unknown60>0264</Unknown60>","Fixed phrase available only during the Feast.

<Color(PlayerParameter(16))><27>01</27><28>02</28>Collecting defensive supplies!<28>01</28><27>02</27></Color>",23
24,"TP","ui/icon/009000/009924.tex","TP at <Value>IntegerParameter(1)</Value>%!<Unknown60>0264</Unknown60>","Fixed phrase available only during the Feast.

<Color(PlayerParameter(16))><27>01</27><28>02</28>Collecting adrenaline supplies!<28>01</28><27>02</27></Color>",0
25,"Attack Target","ui/icon/009000/009925.tex","Attacking <Unknown2F>FF1202280EFF09436C6173734A6F62E8020103</Unknown2F>!","Fixed phrase available only during the Feast.

<Color(PlayerParameter(16))><27>01</27><28>02</28>Stopping ranged DPS!<28>01</28><27>02</27></Color>",25
26,"Stop Target","ui/icon/009000/009926.tex","Stopping <Unknown2F>FF1202280EFF09436C6173734A6F62E8020103</Unknown2F>!","Variable phrase available only during the Feast.
Displays percentage of MP remaining.

<Color(PlayerParameter(16))><27>01</27><28>02</28>MP at [69]%.<28>01</28><27>02</27></Color>",26
27,"Additional Action 2","ui/icon/009000/009928.tex","<Clickable(<Sheet(Action,IntegerParameter(1),0)/>)/> <If(Equal(IntegerParameter(2),0))>ready!<Unknown60>0263</Unknown60><Else/>ready in <Value>IntegerParameter(2)</Value>s!<Unknown60>0264</Unknown60></If>","Fixed phrase available only during the Feast.

<Color(PlayerParameter(16))><27>01</27><28>02</28>Collecting offensive supplies!<28>01</28><27>02</27></Color>",27
28,"Focus Attack","ui/icon/009000/009935.tex","Focus on the <Unknown2F>FF1202280EFF09436C6173734A6F62E8020103</Unknown2F>!","Variable phrase available only during the Feast.
Uses current target and adds a countdown time above their head.

<Color(PlayerParameter(16))><27>01</27><28>02</28>Focus on the [white mage]!<28>01</28><27>02</27></Color>",28
29,"End Focused Attack","ui/icon/009000/009936.tex","End focused attack! <Unknown60>0264</Unknown60>","Fixed phrase available only during the Feast.

<Color(PlayerParameter(16))><27>01</27><28>02</28>End focused attack!<28>01</28><27>02</27></Color>",29
