key,0
#,Text{Output}
int32,str
0,""
1,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
固有の発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「よろしくお願いします！」<28>01</28><27>02</27></Color>"
2,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
固有の発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「お疲れ様でした！」<28>01</28><27>02</27></Color>"
3,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
固有の発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「ありがとう！」<28>01</28><27>02</27></Color>"
4,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
固有の発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「ナイス！」<28>01</28><27>02</27></Color>"
5,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
PvPアディショナルアクション1の使用可能状況を報告する発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「“アクション名” - 使用可能！」
「“アクション名” - 再使用可能まで“残り時間”秒」<28>01</28><27>02</27></Color>"
6,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
状況に応じた発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「アドレナリンラッシュ - 使用可能！」
「アドレナリンラッシュ - “現在の値”%」<28>01</28><27>02</27></Color>"
7,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
固有の発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「オフェンスボックスを狙います！」<28>01</28><27>02</27></Color>"
8,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
固有の発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「ディフェンスボックスを狙います！」<28>01</28><27>02</27></Color>"
9,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
固有の発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「アドレナリンボックスを狙います！」<28>01</28><27>02</27></Color>"
10,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
固有の発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「ウルフハートボックスを狙います！」<28>01</28><27>02</27></Color>"
11,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
固有の発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「タンクを攻撃します！」<28>01</28><27>02</27></Color>"
12,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
固有の発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「ヒーラーを攻撃します！」<28>01</28><27>02</27></Color>"
13,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
固有の発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「メレーを攻撃します！」<28>01</28><27>02</27></Color>"
14,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
固有の発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「レンジを攻撃します！」<28>01</28><27>02</27></Color>"
15,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
固有の発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「タンクを足止めします。」<28>01</28><27>02</27></Color>"
16,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
固有の発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「ヒーラーを足止めします。」<28>01</28><27>02</27></Color>"
17,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
固有の発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「メレーを足止めします。」<28>01</28><27>02</27></Color>"
18,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
固有の発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「レンジを足止めします。」<28>01</28><27>02</27></Color>"
19,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
固有の発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「メダルを拾います！」<28>01</28><27>02</27></Color>"
20,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
固有の発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「メダルを拾ってください。」<28>01</28><27>02</27></Color>"
21,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
固有の発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「全力で攻撃しましょう！」<28>01</28><27>02</27></Color>"
22,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
固有の発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「下がって様子をみましょう！」<28>01</28><27>02</27></Color>"
23,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
状況に応じた発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「MP - “現在の値”%」<28>01</28><27>02</27></Color>"
24,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
状況に応じた発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「TP - “現在の値”%」<28>01</28><27>02</27></Color>"
25,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
対戦相手や各種ボックスをターゲットして使用すると、その対象を用いた戦術指示がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「“ジョブ名”を攻撃します！」
「“ボックス名”を狙います！」<28>01</28><27>02</27></Color>"
26,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
対戦相手や各種ボックスをターゲットして使用すると、その対象を用いた戦術指示がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「“ジョブ名”を足止めします。」
「“ボックス名”を狙います！」<28>01</28><27>02</27></Color>"
27,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
PvPアディショナルアクション2の使用可能状況を報告する発言がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「“アクション名” - 使用可能！」
「“アクション名” - 再使用可能まで“残り時間”秒」<28>01</28><27>02</27></Color>"
28,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
対戦相手をターゲットして使用すると、カウントダウンマーカーが対象の頭上に、その対象を用いた戦術指示がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「“ジョブ名”を集中攻撃しましょう！」<28>01</28><27>02</27></Color>
"
29,"「ザ・フィースト」でのみ使用可能な指示コマンドです。
「号令：集中攻撃開始」を中断して、戦術指示がパーティチャットに表示されます。
<Color(PlayerParameter(16))><27>01</27><28>02</28>「集中攻撃を中止します！」<28>01</28><27>02</27></Color>"
