key,0,1,2,3
#,Item,Category,Param[0],Param[1]
int32,Item,byte,byte,byte
0,"",0,0,0
1,"カップリング登録証",1,0,0
2,"新羽チョコボ登録証:オスG1",2,0,1
3,"新羽チョコボ登録証:オスG2",2,0,2
4,"新羽チョコボ登録証:オスG3",2,0,3
5,"新羽チョコボ登録証:オスG4",2,0,4
6,"新羽チョコボ登録証:オスG5",2,0,5
7,"新羽チョコボ登録証:オスG6",2,0,6
8,"新羽チョコボ登録証:オスG7",2,0,7
9,"新羽チョコボ登録証:オスG8",2,0,8
10,"新羽チョコボ登録証:オスG9",2,0,9
11,"新羽チョコボ登録証:メスG1",2,1,1
12,"新羽チョコボ登録証:メスG2",2,1,2
13,"新羽チョコボ登録証:メスG3",2,1,3
14,"新羽チョコボ登録証:メスG4",2,1,4
15,"新羽チョコボ登録証:メスG5",2,1,5
16,"新羽チョコボ登録証:メスG6",2,1,6
17,"新羽チョコボ登録証:メスG7",2,1,7
18,"新羽チョコボ登録証:メスG8",2,1,8
19,"新羽チョコボ登録証:メスG9",2,1,9
20,"引退チョコボ登録証:オスG1",3,0,1
21,"引退チョコボ登録証:オスG2",3,0,2
22,"引退チョコボ登録証:オスG3",3,0,3
23,"引退チョコボ登録証:オスG4",3,0,4
24,"引退チョコボ登録証:オスG5",3,0,5
25,"引退チョコボ登録証:オスG6",3,0,6
26,"引退チョコボ登録証:オスG7",3,0,7
27,"引退チョコボ登録証:オスG8",3,0,8
28,"引退チョコボ登録証:オスG9",3,0,9
29,"引退チョコボ登録証:メスG1",3,1,1
30,"引退チョコボ登録証:メスG2",3,1,2
31,"引退チョコボ登録証:メスG3",3,1,3
32,"引退チョコボ登録証:メスG4",3,1,4
33,"引退チョコボ登録証:メスG5",3,1,5
34,"引退チョコボ登録証:メスG6",3,1,6
35,"引退チョコボ登録証:メスG7",3,1,7
36,"引退チョコボ登録証:メスG8",3,1,8
37,"引退チョコボ登録証:メスG9",3,1,9
38,"カップリングチョコボ権利証:オスG1",4,0,1
39,"カップリングチョコボ権利証:オスG2",4,0,2
40,"カップリングチョコボ権利証:オスG3",4,0,3
41,"カップリングチョコボ権利証:オスG4",4,0,4
42,"カップリングチョコボ権利証:オスG5",4,0,5
43,"カップリングチョコボ権利証:オスG6",4,0,6
44,"カップリングチョコボ権利証:オスG7",4,0,7
45,"カップリングチョコボ権利証:オスG8",4,0,8
46,"カップリングチョコボ権利証:オスG9",4,0,9
47,"カップリングチョコボ権利証:メスG1",4,1,1
48,"カップリングチョコボ権利証:メスG2",4,1,2
49,"カップリングチョコボ権利証:メスG3",4,1,3
50,"カップリングチョコボ権利証:メスG4",4,1,4
51,"カップリングチョコボ権利証:メスG5",4,1,5
52,"カップリングチョコボ権利証:メスG6",4,1,6
53,"カップリングチョコボ権利証:メスG7",4,1,7
54,"カップリングチョコボ権利証:メスG8",4,1,8
55,"カップリングチョコボ権利証:メスG9",4,1,9
56,"スピードフォダーG1",5,0,1
57,"スピードフォダーG2",5,0,2
58,"秘製スピードフォダーG3",5,0,3
59,"アクセルフォダーG1",5,1,1
60,"アクセルフォダーG2",5,1,2
61,"秘製アクセルフォダーG3",5,1,3
62,"バランスフォダーG1",5,4,1
63,"バランスフォダーG2",5,4,2
64,"秘製バランスフォダーG3",5,4,3
65,"エンデュランスフォダーG1",5,2,1
66,"エンデュランスフォダーG2",5,2,2
67,"秘製エンデュランスフォダーG3",5,2,3
68,"スタミナフォダーG1",5,3,1
69,"スタミナフォダーG2",5,3,2
70,"秘製スタミナフォダーG3",5,3,3
71,"チョコボ教本:チョコダッシュ",6,1,0
72,"チョコボ教本:チョコダッシュII",6,2,0
73,"チョコボ教本:チョコダッシュIII",6,3,0
74,"チョコボ教本:チョコケアル",6,4,0
75,"チョコボ教本:チョコケアルII",6,5,0
76,"チョコボ教本:チョコケアルIII",6,6,0
77,"チョコボ教本:チョコエスナ",6,7,0
78,"チョコボ教本:チョコエスナII",6,8,0
79,"チョコボ教本:チョコエスナIII",6,9,0
80,"チョコボ教本:チョコイーズ",6,10,0
81,"チョコボ教本:チョコイーズII",6,11,0
82,"チョコボ教本:チョコイーズIII",6,12,0
83,"チョコボ教本:チョコカーム",6,13,0
84,"チョコボ教本:チョコカームII",6,14,0
85,"チョコボ教本:チョコカームIII",6,15,0
86,"チョコボ教本:チョコリフレク",6,16,0
87,"チョコボ教本:チョコリフレクII",6,17,0
88,"チョコボ教本:チョコリフレクIII",6,18,0
89,"チョコボ教本:チョコスティール",6,19,0
90,"チョコボ教本:チョコスティールII",6,20,0
91,"チョコボ教本:チョコスティールIII",6,21,0
92,"チョコボ教本:チョコサイレス",6,22,0
93,"チョコボ教本:チョコサイレスII",6,23,0
94,"チョコボ教本:チョコサイレスIII",6,24,0
95,"チョコボ教本:チョコショック",6,25,0
96,"チョコボ教本:チョコショックII",6,26,0
97,"チョコボ教本:チョコショックIII",6,27,0
98,"チョコボ教本:体力消耗軽減",6,28,0
99,"チョコボ教本:体力消耗軽減II",6,29,0
100,"チョコボ教本:体力消耗軽減III",6,30,0
101,"チョコボ教本:ヘヴィ耐性",6,31,0
102,"チョコボ教本:ヘヴィ耐性II",6,32,0
103,"チョコボ教本:ヘヴィ耐性III",6,33,0
104,"チョコボ教本:ヘヴィ耐性IV",6,34,0
105,"チョコボ教本:ヘヴィ耐性V",6,35,0
106,"チョコボ教本:興奮耐性",6,36,0
107,"チョコボ教本:興奮耐性II",6,37,0
108,"チョコボ教本:興奮耐性III",6,38,0
109,"チョコボ教本:興奮耐性IV",6,39,0
110,"チョコボ教本:興奮耐性V",6,40,0
111,"チョコボ教本:体力回復量アップ",6,41,0
112,"チョコボ教本:体力回復量アップII",6,42,0
113,"チョコボ教本:体力回復量アップIII",6,43,0
114,"チョコボ教本:経験値アップ",6,44,0
115,"チョコボ教本:経験値アップII",6,45,0
116,"チョコボ教本:経験値アップIII",6,46,0
117,"",6,47,0
118,"レーテー水",7,0,0
119,"秘製スピードフォダーG2",5,0,2
120,"秘製アクセルフォダーG2",5,1,2
121,"秘製バランスフォダーG2",5,4,2
122,"秘製エンデュランスフォダーG2",5,2,2
123,"秘製スタミナフォダーG2",5,3,2
124,"チョコボ教本:チョコドレイン",6,48,0
125,"チョコボ教本:チョコドレインII",6,49,0
126,"チョコボ教本:チョコドレインIII",6,50,0
