key,0,1,2,3,4,5,6,7
#,RacingChocoboNameCategory,,,,,Name[0],Name[1],Name[2]
int32,RacingChocoboNameCategory,bool,bool,bool,bool,RacingChocoboName,RacingChocoboName,RacingChocoboName
0,"",False,False,False,False,"","",""
1,"",False,False,False,False,"","",""
2,"",False,False,False,False,"","",""
3,"",False,False,False,False,"","",""
4,"",False,False,False,False,"","",""
5,"色",False,False,False,True,"Doré","",""
6,"色",False,False,False,True,"Dorée","",""
7,"素材",False,False,False,True,"Noire","",""
8,"色",False,True,False,False,"Silberner","Silberner","Silberner"
9,"色",False,True,False,False,"Fer","Fer","Fer"
10,"色",False,False,False,True,"Grenat","Grenat","Grenat"
11,"色",False,False,False,True,"Iron","",""
12,"色",False,False,True,False,"Metal","",""
13,"色",False,False,True,False,"Métal","Métal","Métal"
14,"色",False,False,True,False,"Métallique","",""
15,"色",False,False,False,True,"Opale","",""
16,"色",False,False,False,True,"Perle","",""
17,"色",False,False,False,True,"Seidige","",""
18,"色",False,True,False,True,"Seidiger","Seidiger","Seidiger"
19,"色",False,True,False,False,"Sphene","Sphene","Sphene"
20,"色",False,False,False,True,"Geölte","",""
21,"色",False,False,False,True,"Geölter","",""
22,"色",False,False,False,True,"Parfait","",""
23,"天文地理",False,False,False,True,"Perfect","",""
24,"植物",False,False,False,True,"Positive","",""
25,"色",False,False,False,True,"Premium","",""
26,"色",False,True,False,False,"Pur","Pur","Pur"
27,"色",False,False,False,True,"Pure","",""
28,"色",False,True,False,False,"Edler","Edler","Edler"
29,"色",False,True,False,True,"Gorgeous","Gorgeous","Gorgeous"
30,"色",False,True,False,False,"Fringante","Fringante","Fringante"
31,"色",False,False,False,True,"Innocent","",""
32,"色",False,False,False,True,"Innocente","",""
33,"色",False,False,False,True,"Brilliance","",""
34,"色",False,False,False,True,"Chaos","",""
35,"色",False,True,False,False,"Fee","Fee","Fee"
36,"色",False,False,False,True,"Legende","",""
37,"色",False,False,True,False,"Campagnarde","",""
38,"色",False,False,True,False,"Cap","",""
