key,0,1,2,3
#,Level,ClassJob,MinLevel,MaxLevel
int32,Level,ClassJob,byte,byte
0,,"adventurer",0,0
1,"Level#1140471","astrologian",1,49
2,"Level#2648030","blacksmith",1,9
3,"Level#2648030","weaver",1,9
4,"Level#2648030","samurai",1,9
5,"Level#2648030","fisher",1,9
6,"Level#1672782","blacksmith",10,14
7,"Level#1672782","weaver",10,14
8,"Level#1672782","samurai",10,14
9,"Level#1672782","fisher",10,14
10,"Level#1646078","blacksmith",15,19
11,"Level#1646078","weaver",15,19
12,"Level#1646078","samurai",15,19
13,"Level#1646078","fisher",15,19
14,"Level#4103445","samurai",20,29
15,"Level#2257020","astrologian",20,29
16,"Level#2257020","samurai",20,29
17,"Level#2257020","dark knight",20,29
18,"Level#3643652","samurai",30,34
19,"Level#4106909","samurai",30,34
20,"Level#2367401","astrologian",1,49
21,"Level#2367401","paladin",1,9
22,"Level#3998968","armorer",1,9
23,"Level#3998968","goldsmith",1,9
24,"Level#3998968","miner",1,9
25,"Level#3998968","samurai",1,9
26,"Level#3998968","armorer",10,14
27,"Level#3998968","goldsmith",10,14
28,"Level#3998968","miner",10,14
29,"Level#3998968","samurai",10,14
30,"Level#3998968","paladin",10,14
31,"Level#2540476","armorer",15,19
32,"Level#2540476","goldsmith",15,19
33,"Level#2540476","miner",15,19
34,"Level#2540476","samurai",15,19
35,"Level#2540476","paladin",15,19
36,"Level#4018485","samurai",20,24
37,"Level#4103304","samurai",20,29
38,"Level#3999029","astrologian",30,34
39,"Level#3999029","samurai",30,34
40,"Level#3999029","dark knight",30,34
41,"Level#4103440","samurai",30,34
42,"Level#3629068","samurai",35,39
43,"Level#2539960","astrologian",1,49
44,"Level#3958072","culinarian",1,9
45,"Level#3958072","alchemist",1,9
46,"Level#3958072","leatherworker",1,9
47,"Level#3958072","samurai",1,9
48,"Level#3958072","botanist",1,9
49,"Level#2540071","culinarian",10,14
50,"Level#2540071","alchemist",10,14
51,"Level#2540071","leatherworker",10,14
52,"Level#2540071","samurai",10,14
53,"Level#2540071","botanist",10,14
54,"Level#2540213","culinarian",15,19
55,"Level#2540213","alchemist",15,19
56,"Level#2540213","leatherworker",15,19
57,"Level#2540213","samurai",15,19
58,"Level#2540213","botanist",15,19
59,"Level#4103464","samurai",20,29
60,"Level#3974981","samurai",25,29
61,"Level#4103469","samurai",30,34
62,"Level#3645035","samurai",40,44
63,"Level#3643001","astrologian",35,39
64,"Level#3643001","samurai",35,39
65,"Level#3643001","dark knight",35,39
66,"Level#4270131","samurai",35,39
67,"Level#3643492","astrologian",40,44
68,"Level#3643492","samurai",40,44
69,"Level#3643492","dark knight",40,44
70,"Level#4270237","samurai",40,44
71,"Level#4258822","astrologian",45,49
72,"Level#4258822","samurai",45,49
73,"Level#4258822","dark knight",45,49
74,"Level#4258843","samurai",45,49
75,"Level#4273866","adventurer",0,0
76,"Level#5581202","adventurer",1,0
77,"Level#2257767","adventurer",2,0
