key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
#,EventItem,MonsterNoteTarget{Common}[0],MonsterCount[0],MonsterNoteTarget{Common}[1],MonsterCount[1],MonsterNoteTarget{Common}[2],MonsterCount[2],MonsterNoteTarget{Common}[3],MonsterCount[3],MonsterNoteTarget{Common}[4],MonsterCount[4],MonsterNoteTarget{Common}[5],MonsterCount[5],MonsterNoteTarget{Common}[6],MonsterCount[6],MonsterNoteTarget{Common}[7],MonsterCount[7],MonsterNoteTarget{Common}[8],MonsterCount[8],MonsterNoteTarget{Common}[9],MonsterCount[9],MonsterNoteTarget{NM}[0],MonsterNoteTarget{NM}[1],MonsterNoteTarget{NM}[2],,Fate[0],PlaceName{Fate}[0],Fate[1],PlaceName{Fate}[1],Fate[2],PlaceName{Fate}[2],Leve[0],Leve[1],Leve[2]
int32,EventItem,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,MonsterNoteTarget,MonsterNoteTarget,uint16,Fate,PlaceName,Fate,PlaceName,Fate,PlaceName,Leve,Leve,Leve
0,,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"","","",0,"","","","","","","","",""
1,"«火天文书»第一卷","鲁莽异端者",3,"伐木巨人",3,"滩棘鱼人",3,"第五大队魔导先锋",3,"合成矿妖虫",3,"第四大队剑斗士",3,"赞拉克格斗家",3,"乳根花簇",3,"石蜥蜴",3,"第二大队剑斗士",3,"主宰者 加尔梵斯","足枷冰龙","迪亚波罗斯",0,"骑兵天敌——妖蛇飞蜥","花蜜栈桥","雷雨呼唤者——布朗格","加拉迪翁湾","百灵啼持久战","艾欧泽亚地下空间","焚书任务：回收禁书«异界火焰的怪物»","索敌指令：潜伏在库尔札斯的通缉犯","防卫指令：阿格里俄斯号的研究任务"
2,"«火天文书»第二卷","发狂异端者",3,"叹息之森精",3,"雷蛟",3,"滩齿鱼人",3,"精炼剑手",3,"无头骑士",3,"赤鳞海盗",3,"不悔弓手",3,"武伽玛罗巨像",3,"风扬豪放猛士",3,"阿杰特","冬贝利王","复仇者 乌拉诺斯",0,"南防波堤之战 全力打击","境树","第二战斗大队","欧金尼娅哨塔","鸟人军采伐所强攻战","群狼困斗","迎击任务：恶神之眼巴罗尔","迎击指令：威胁前哨的魔物","防卫指令：古代亚拉戈的遗物"
3,"«火狱文书»第一卷","狂野野猪",3,"诅咒异端者",3,"嚎叫之森精",3,"撑船巨人",3,"精炼辩士",3,"基迦巨人僧侣",3,"武伽玛罗巡逻员",3,"赤爪海盗",3,"赞拉克预言师",3,"第二大队绳斗士",3,"审判化身","哈利卡纳苏斯","退位主教 穆穆埃珀",0,"残忍食人魔——波罗斯","西叶脉","以毒制毒","艾欧泽亚地下空间","命运代言人——灰煤烟佩古基·春","欧金尼娅哨塔","巡逻任务：确保补给通道的安全","歼敌指令：冰霜龙鸟","迎击指令：威胁调查地安全的基迦巨人族"
4,"«水天文书»第一卷","礁鳞鱼人",3,"泥沼蝾螈",3,"蜥蜴人枪兵",3,"湖畔眼镜蛇",3,"朗咒巨人",3,"武伽玛罗采石员",3,"妖精领哨兵",3,"海蜂水母",3,"魔导先锋",3,"第二大队骑士",3,"强腕的居格斯","巴特拉尔","6号哥布林坦克",0,"大口食人魔——加尔加梅勒","花蜜栈桥","异国魔虫——螳螂帝王","境树","矿脉虫巢","鸟人军采伐所","巡逻任务：确保补给通道的安全","焚书任务：回收禁书«黑暗羽翼的怪物»","防卫指令：魔导机器的残骸"
5,"«水天文书»第二卷","精铁龟",3,"第五大队剑斗士",3,"巨虻",3,"武伽玛罗受施者",3,"赤眼海盗",3,"第四大队绳斗士",3,"妖精菌帽",3,"风扬守卫黑狼",3,"基迦巨人比丘",3,"萨普沙礁鳞鱼人",3,"霸星蛛蝎","阿难塔波嘉","哈利卡纳苏斯",0,"北防波堤之战 全力打击","境树","沼泽林遗恨——恩布鲁","西叶脉","幽谷药师——黎明药达奇希奥","艾欧泽亚地下空间","引导任务：失踪的警犬","巡逻任务：巡逻白云崖的街道","迎击指令：第五步兵大队所属部队"
6,"«水狱文书»第一卷","蜥蜴人劫道兵",3,"狐蝠",3,"第五大队绳斗士",3,"基迦巨人僧都",3,"雪地白狼",3,"鸟人风爪剑士",3,"武伽玛罗祭司",3,"第四大队拳斗士",3,"嚎叫紫妖精",3,"萨普沙礁爪鱼人",3,"奇美拉","塞壬","迪亚波罗斯",0,"遗迹的亡灵骑士——代达罗斯","群狼困斗","青磷大路","初学者学堂","烈风勇士——怀罗克四姐妹","花蜜栈桥","迎击任务：徘徊的利剑牛头魔","讨伐任务：犯罪组织巴特商会","歼敌指令：红发的俄刻阿诺斯"
7,"«风天文书»第一卷","咆哮之森精",3,"蜥蜴人咒术法师",3,"第五大队骑士",3,"萨普沙水龙蜥",3,"骏鹰",3,"壕齿鱼人",3,"风扬风爪剑士",3,"精英巡逻员",3,"冥鬼之眼",3,"第二大队拳斗士",3,"海虎牙 邓恩","守财夫人","退位主教 穆穆埃珀",0,"守护运输部队","林场水车","阴险的魔物——憎恨恶石","","魔界花盛开的世界","西叶脉","讨伐任务：犯罪组织巴特商会","迎击任务：验证哈帕利特奴隶末裔说的真伪","歼敌指令：怒号的米玛斯"
8,"«风天文书»第二卷","基迦巨人沙门",3,"第五大队旗手",3,"梦蟾蜍",3,"守卫军狼",3,"蜥蜴人弓手",3,"第四大队旗手",3,"不悔战斗火蛟",3,"萨普沙礁齿鱼人",3,"风扬迷雾术士",3,"精英祭司",3,"阿芒迪娜女士","复仇者 乌拉诺斯","6号哥布林坦克",0,"友人与家人","欧金尼娅哨塔","力量之塔","花蜜栈桥","最后的斗猪王——派亚","陌迪翁牢狱","焚书任务：回收禁书«异界火焰的怪物»","巡逻任务：抢夺宝石饰品的基迦巨人族","防卫指令：追击者的遗物"
9,"«土天文书»第一卷","蜥蜴人清道夫",3,"第五大队拳斗士",3,"鸟人豪放猛士",3,"不悔拳手",3,"钝口螈",3,"哈帕利特",3,"精英采石员",3,"风扬敏捷战士",3,"叹息紫妖精",3,"第二大队旗手",3,"兽斗士 坦伽塔","阿难塔波嘉","塞壬",0,"雪山袭击者——索贝克","花蜜栈桥","试掘地强攻","加拉迪翁湾","丑恶合成兽——巴杜枭","鸟人军采伐所","迎击任务：恶神之眼巴罗尔","焚书任务：回收禁书«尖牙利齿的怪物»","索敌指令：惊吓调查员的恶灵"
