key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
#,Npc,Quest{Required},LevelUnlock,DeliveriesPerWeek,SupplyIndex[0],SupplyIndex[1],SupplyIndex[2],SupplyIndex[3],SupplyIndex[4],SupplyIndex[5],Satisfaction{Required}[0],Satisfaction{Required}[1],Satisfaction{Required}[2],Satisfaction{Required}[3],Satisfaction{Required}[4],Satisfaction{Required}[5],Item[0][0],Item[1][0],Item[2][0],Item[3][0],Item[4][0],Item[5][0],ItemCount[0][0],ItemCount[1][0],ItemCount[2][0],ItemCount[3][0],ItemCount[4][0],ItemCount[5][0],IsHQ[0][0],IsHQ[1][0],IsHQ[2][0],IsHQ[3][0],IsHQ[4][0],IsHQ[5][0],Item[0][1],Item[1][1],Item[2][1],Item[3][1],Item[4][1],Item[5][1],ItemCount[0][1],ItemCount[1][1],ItemCount[2][1],ItemCount[3][1],ItemCount[4][1],ItemCount[5][1],IsHQ[0][1],IsHQ[1][1],IsHQ[2][1],IsHQ[3][1],IsHQ[4][1],IsHQ[5][1],Item[0][2],Item[1][2],Item[2][2],Item[3][2],Item[4][2],Item[5][2],ItemCount[0][2],ItemCount[1][2],ItemCount[2][2],ItemCount[3][2],ItemCount[4][2],ItemCount[5][2],IsHQ[0][2],IsHQ[1][2],IsHQ[2][2],IsHQ[3][2],IsHQ[4][2],IsHQ[5][2],,,,,,,,,,,,,,,,,,,Icon,,,
int32,ENpcResident,Quest,byte,byte,int32,int32,int32,int32,int32,int32,uint16,uint16,uint16,uint16,uint16,uint16,Item,Item,Item,Item,Item,Item,byte,byte,byte,byte,byte,byte,bool,bool,bool,bool,bool,bool,Item,Item,Item,Item,Item,Item,byte,byte,byte,byte,byte,byte,bool,bool,bool,bool,bool,bool,Item,Item,Item,Item,Item,Item,byte,byte,byte,byte,byte,byte,bool,bool,bool,bool,bool,bool,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,Image,byte,byte,byte
0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0,0,0,0,False,False,False,False,False,False,"","","","","","",0,0,0,0,0,0,False,False,False,False,False,False,"","","","","","",0,0,0,0,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
1,"熙洛·阿里亚珀","熙洛·阿里亚珀的老主顾",55,6,0,1,2,3,4,5,0,90,480,780,1080,0,"","名匠魔晶石伍型","达识魔晶石伍型","器识魔晶石伍型","博识魔晶石伍型","",0,1,1,1,1,0,False,False,False,False,False,False,"","包心卡贝基","炖鮟鱇","魔匠魔晶石伍型","巨匠魔晶石伍型","",0,1,1,1,1,0,False,True,True,False,False,False,"","炖番茄","油封牡蛎","鲜红罗兰莓派","绿宝石汤","",0,1,1,1,1,0,False,True,True,True,True,False,0,61661,61661,61661,61661,61661,0,101,101,101,101,101,65536,65536,65536,65536,65536,65536,"ui/icon/061000/061661.tex",1,0,0
2,"梅·娜格","梅·娜格的老主顾",60,6,0,6,7,8,9,10,0,90,480,780,1080,0,"","名匠魔晶石陆型","达识魔晶石陆型","器识魔晶石陆型","博识魔晶石陆型","",0,1,1,1,1,0,False,False,False,False,False,False,"","包心卡贝基","炖鮟鱇","魔匠魔晶石陆型","巨匠魔晶石陆型","",0,3,3,1,1,0,False,True,True,False,False,False,"","炖番茄","油封牡蛎","鲜红罗兰莓派","绿宝石汤","",0,3,3,3,3,0,False,True,True,True,True,False,0,61662,61662,61662,61662,61662,0,102,102,102,102,102,65536,65536,65536,65536,65536,65536,"ui/icon/061000/061662.tex",99,0,0
3,"红","红的老主顾",62,6,0,11,12,13,14,15,0,90,480,780,1080,0,"","名匠魔晶石陆型","达识魔晶石陆型","器识魔晶石陆型","博识魔晶石陆型","",0,1,1,1,1,0,False,False,False,False,False,False,"","包心卡贝基","炖鮟鱇","魔匠魔晶石陆型","巨匠魔晶石陆型","",0,3,3,1,1,0,False,True,True,False,False,False,"","炖番茄","油封牡蛎","鲜红罗兰莓派","绿宝石汤","",0,3,3,3,3,0,False,True,True,True,True,False,0,61663,61663,61663,61663,61663,0,103,103,103,103,103,65536,65536,65536,65536,65536,65536,"ui/icon/061000/061663.tex",0,0,0
4,"亚德基拉","亚德基拉的老主顾",66,6,0,16,17,18,19,20,0,90,480,780,1080,0,"","名匠魔晶石陆型","达识魔晶石陆型","器识魔晶石陆型","博识魔晶石陆型","",0,1,1,1,1,0,False,False,False,False,False,False,"","天妇罗拼盘","豆腐味噌汁","魔匠魔晶石陆型","巨匠魔晶石陆型","",0,3,3,1,1,0,False,True,True,False,False,False,"","长颈骆焗菜","游牧民风味肉饼","抹茶","金平糖","",0,3,3,3,3,0,False,True,True,True,True,False,0,61664,61664,61664,61664,61664,0,104,104,104,104,104,65536,65536,65536,65536,65536,65536,"ui/icon/061000/061664.tex",2,0,0
5,"凯·希尔","凯·希尔的老主顾",70,6,0,21,22,23,24,25,0,90,480,780,1080,0,"","名匠魔晶石陆型","达识魔晶石陆型","器识魔晶石陆型","博识魔晶石陆型","",0,1,1,1,1,0,False,False,False,False,False,False,"","血番茄沙拉","胡椒炒新薯","魔匠魔晶石陆型","巨匠魔晶石陆型","",0,3,3,1,1,0,False,True,True,False,False,False,"","煎蘑菇","焗黄新薯","血色五海杂烩汤","咖啡曲奇","",0,3,3,3,3,0,False,True,True,True,True,False,0,61665,61665,61665,61665,61665,0,105,105,105,105,105,65536,65536,65536,65536,65536,65536,"ui/icon/061000/061665.tex",3,0,0
6,"艾尔·图","艾尔·图的老主顾",70,6,0,26,27,28,29,30,0,90,480,780,1080,0,"","名匠魔晶石陆型","达识魔晶石陆型","器识魔晶石陆型","博识魔晶石陆型","",0,1,1,1,1,0,False,False,False,False,False,False,"","血番茄沙拉","胡椒炒新薯","魔匠魔晶石陆型","巨匠魔晶石陆型","",0,3,3,1,1,0,False,True,True,False,False,False,"","煎蘑菇","焗黄新薯","血色五海杂烩汤","咖啡曲奇","",0,3,3,3,3,0,False,True,True,True,True,False,0,61666,61666,61667,61667,61668,0,106,106,107,107,108,65536,65536,65536,65536,65536,69426,,99,3,4
7,"狄兰达尔伯爵","狄兰达尔伯爵的老主顾",70,6,0,31,32,33,34,35,0,90,480,780,1080,0,"","名匠魔晶石陆型","达识魔晶石陆型","器识魔晶石陆型","博识魔晶石陆型","",0,1,1,1,1,0,False,False,False,False,False,False,"","血番茄沙拉","胡椒炒新薯","魔匠魔晶石陆型","巨匠魔晶石陆型","",0,3,3,1,1,0,False,True,True,False,False,False,"","煎蘑菇","焗黄新薯","血色五海杂烩汤","咖啡曲奇","",0,3,3,3,3,0,False,True,True,True,True,False,0,61669,61669,61669,61669,61669,0,109,109,109,109,109,65536,65536,65536,65536,65536,65536,"ui/icon/061000/061669.tex",4,5,5
