key,0,1,2,3,4,5,6
#,Type,,Addon,QuestChapter,Name,,
int32,ScenarioType,uint16,Addon,QuestChapter,str,int32,uint32
65564,"G",3,"","サマーフォード庄へ","T_VER200_01_Gri_03",3,30
65575,"G",1,"","サマーフォード庄へ","T_VER200_01_Gri_01",1,10
65588,"C",214,"","造船廠を刺す眼光","T_VER240_01_01",1,7010
65589,"C",215,"","造船廠を刺す眼光","T_VER240_01_02",2,7020
65590,"C",216,"","造船廠を刺す眼光","T_VER240_01_03",3,7030
65593,"C",217,"","造船廠を刺す眼光","T_VER240_01_04",4,7040
65598,"C",218,"","造船廠を刺す眼光","T_VER240_01_05",5,7050
65605,"C",219,"","造船廠を刺す眼光","T_VER240_01_06",6,7060
65610,"C",220,"","造船廠を刺す眼光","T_VER240_01_07",7,7070
65611,"C",221,"","造船廠を刺す眼光","T_VER240_01_08",8,7080
65613,"C",222,"","造船廠を刺す眼光","T_VER240_01_09",9,7090
65614,"C",223,"","造船廠を刺す眼光","T_VER240_01_10",10,7100
65618,"C",227,"","造船廠を刺す眼光","T_VER240_01_13",13,7130
65620,"C",228,"","造船廠を刺す眼光","T_VER240_01_14",14,7140
65621,"G",2,"","サマーフォード庄へ","T_VER200_01_Gri_02_A",2,20
65622,"C",229,"","造船廠を刺す眼光","T_VER240_01_15",15,7150
65623,"C",230,"","造船廠を刺す眼光","T_VER240_01_16",16,7160
65624,"C",231,"","造船廠を刺す眼光","T_VER240_01_17",17,7170
65625,"C",232,"","造船廠を刺す眼光","T_VER240_01_18",18,7180
65643,"L",1,"","猛者の風格","T_VER200_01_Rim_01",1,10
65644,"L",2,"","猛者の風格","T_VER200_01_Rim_02_A",2,20
65645,"L",2,"","猛者の風格","T_VER200_01_Rim_02_B",2,20
65659,"G",2,"","サマーフォード庄へ","T_VER200_01_Gri_02_B",2,20
65660,"G",2,"","サマーフォード庄へ","T_VER200_01_Gri_02_C",2,20
65665,"G",11,"","サマーフォード庄へ","T_VER200_01_Gri_09",9,90
65697,"G",24,"","サマーフォード庄へ","T_VER200_01_Gri_18",18,180
65711,"G",8,"","サマーフォード庄へ","T_VER200_01_Gri_07",7,70
65712,"G",12,"","サマーフォード庄へ","T_VER200_01_Gri_10",10,100
65737,"G",4,"","サマーフォード庄へ","T_VER200_01_Gri_04",4,40
65781,"C",2,"","陸にあがった海賊","T_VER200_02A_02",2,1020
65808,"C",15,"","陸にあがった海賊","T_VER200_02A_15",15,1150
65839,"U",6,"","シーソング石窟に潜む者","T_VER200_01_Uld_06",6,60
65843,"U",10,"","シーソング石窟に潜む者","T_VER200_01_Uld_08",8,80
65856,"U",12,"","シーソング石窟に潜む者","T_VER200_01_Uld_09",9,90
65864,"U",14,"","シーソング石窟に潜む者","T_VER200_01_Uld_11",11,110
65865,"U",16,"","シーソング石窟に潜む者","T_VER200_01_Uld_13",13,130
65866,"U",17,"","シーソング石窟に潜む者","T_VER200_01_Uld_14",14,140
65868,"U",19,"","シーソング石窟に潜む者","T_VER200_01_Uld_16",16,160
65869,"U",20,"","シーソング石窟に潜む者","T_VER200_01_Uld_17",17,170
65870,"U",21,"","シーソング石窟に潜む者","T_VER200_01_Uld_18",18,180
65872,"U",23,"","シーソング石窟に潜む者","T_VER200_01_Uld_19",19,190
65879,"C",16,"","陸にあがった海賊","T_VER200_02A_16",16,1160
65899,"C",233,"","ヴィクトリー号炎上","T_VER250_01_01",1,8010
65900,"C",234,"","ヴィクトリー号炎上","T_VER250_01_02",2,8020
65901,"C",235,"","ヴィクトリー号炎上","T_VER250_01_03",3,8030
65902,"C",236,"","ヴィクトリー号炎上","T_VER250_01_04",4,8040
65904,"C",238,"","ヴィクトリー号炎上","T_VER250_01_06",6,8060
65905,"C",239,"","ヴィクトリー号炎上","T_VER250_01_07",7,8070
65906,"C",241,"","ヴィクトリー号炎上","T_VER250_01_09",9,8090
65907,"C",242,"","ヴィクトリー号炎上","T_VER250_01_10",10,8100
65908,"C",243,"","ヴィクトリー号炎上","T_VER250_01_11",11,8110
65909,"C",244,"","ヴィクトリー号炎上","T_VER250_01_12",12,8120
65912,"G",14,"","サマーフォード庄へ","T_VER200_01_Gri_11",11,110
65913,"G",15,"","サマーフォード庄へ","T_VER200_01_Gri_12",12,120
65915,"G",16,"","サマーフォード庄へ","T_VER200_01_Gri_13",13,130
65916,"G",17,"","サマーフォード庄へ","T_VER200_01_Gri_14",14,140
65917,"G",18,"","サマーフォード庄へ","T_VER200_01_Gri_15",15,150
