key,0,1
#,Item,Name
int32,Item,str
0,"",""
1,"Master Carpenter I","Master Carpenter I"
2,"Master Blacksmith I","Master Blacksmith I"
3,"Master Armorer I","Master Armorer I"
4,"Master Goldsmith I","Master Goldsmith I"
5,"Master Leatherworker I","Master Leatherworker I"
6,"Master Weaver I","Master Weaver I"
7,"Master Alchemist I","Master Alchemist I"
8,"Master Culinarian I","Master Culinarian I"
9,"Master Carpenter: Glamours","Master Carpenter: Glamours"
10,"Master Blacksmith: Glamours","Master Blacksmith: Glamours"
11,"Master Armorer: Glamours","Master Armorer: Glamours"
12,"Master Goldsmith: Glamours","Master Goldsmith: Glamours"
13,"Master Leatherworker: Glamours","Master Leatherworker: Glamours"
14,"Master Weaver: Glamours","Master Weaver: Glamours"
15,"Master Alchemist: Glamours","Master Alchemist: Glamours"
16,"","Master Culinarian: Glamours"
17,"Master Carpenter: Demimateria","Master Carpenter: Demimateria"
18,"Master Blacksmith: Demimateria","Master Blacksmith: Demimateria"
19,"Master Armorer: Demimateria","Master Armorer: Demimateria"
20,"Master Goldsmith: Demimateria","Master Goldsmith: Demimateria"
21,"Master Leatherworker: Demimateria","Master Leatherworker: Demimateria"
22,"Master Weaver: Demimateria","Master Weaver: Demimateria"
23,"Master Alchemist: Demimateria","Master Alchemist: Demimateria"
24,"Master Carpenter II","Master Carpenter II"
25,"Master Blacksmith II","Master Blacksmith II"
26,"Master Armorer II","Master Armorer II"
27,"Master Goldsmith II","Master Goldsmith II"
28,"Master Leatherworker II","Master Leatherworker II"
29,"Master Weaver II","Master Weaver II"
30,"Master Alchemist II","Master Alchemist II"
31,"Master Culinarian II","Master Culinarian II"
32,"Master Carpenter III","Master Carpenter III"
33,"Master Blacksmith III","Master Blacksmith III"
34,"Master Armorer III","Master Armorer III"
35,"Master Goldsmith III","Master Goldsmith III"
36,"Master Leatherworker III","Master Leatherworker III"
37,"Master Weaver III","Master Weaver III"
38,"Master Alchemist III","Master Alchemist III"
39,"Master Culinarian III","Master Culinarian III"
40,"Master Carpenter IV","Master Carpenter IV"
41,"Master Blacksmith IV","Master Blacksmith IV"
42,"Master Armorer IV","Master Armorer IV"
43,"Master Goldsmith IV","Master Goldsmith IV"
44,"Master Leatherworker IV","Master Leatherworker IV"
45,"Master Weaver IV","Master Weaver IV"
46,"Master Alchemist IV","Master Alchemist IV"
47,"Master Culinarian IV","Master Culinarian IV"
48,"Master Carpenter V","Master Carpenter V"
49,"Master Blacksmith V","Master Blacksmith V"
50,"Master Armorer V","Master Armorer V"
51,"Master Goldsmith V","Master Goldsmith V"
52,"Master Leatherworker V","Master Leatherworker V"
53,"Master Weaver V","Master Weaver V"
54,"Master Alchemist V","Master Alchemist V"
55,"Master Culinarian V","Master Culinarian V"
56,"Master Carpenter VI","Master Carpenter VI"
57,"Master Blacksmith VI","Master Blacksmith VI"
58,"Master Armorer VI","Master Armorer VI"
59,"Master Goldsmith VI","Master Goldsmith VI"
60,"Master Leatherworker VI","Master Leatherworker VI"
61,"Master Weaver VI","Master Weaver VI"
62,"Master Alchemist VI","Master Alchemist VI"
63,"Master Culinarian VI","Master Culinarian VI"
64,"Master Carpenter VII","Master Carpenter VII"
65,"Master Blacksmith VII","Master Blacksmith VII"
66,"Master Armorer VII","Master Armorer VII"
67,"Master Goldsmith VII","Master Goldsmith VII"
68,"Master Leatherworker VII","Master Leatherworker VII"
69,"Master Weaver VII","Master Weaver VII"
70,"Master Alchemist VII","Master Alchemist VII"
71,"Master Culinarian VII","Master Culinarian VII"
72,"Master Carpenter VIII","Master Carpenter VIII"
73,"Master Blacksmith VIII","Master Blacksmith VIII"
74,"Master Armorer VIII","Master Armorer VIII"
75,"Master Goldsmith VIII","Master Goldsmith VIII"
76,"Master Leatherworker VIII","Master Leatherworker VIII"
77,"Master Weaver VIII","Master Weaver VIII"
78,"Master Alchemist VIII","Master Alchemist VIII"
79,"Master Culinarian VIII","Master Culinarian VIII"
