key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
#,Item{1},Item{2},PlaceName,,Objective{1},PopRange[0],RequiredAmount{1},,,Objective2,PopRange[1],RequiredAmount{2},,,Objective3,PopRange[2],,,,,Image,,,,,
int32,EventItem,EventItem,PlaceName,uint16,SkyIsland2MissionDetail,uint32,byte,uint32,byte,SkyIsland2MissionDetail,uint32,byte,uint32,byte,SkyIsland2MissionDetail,uint32,byte,uint32,byte,uint32,Image,str,str,str,str,str
0,,,"",0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,0,,"","","","",""
5,,,"",0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,6710323,"ui/icon/111000/111102.tex","探索任务：云冠群岛资源调查","自从漂流遗迹出现后，云冠群岛的属性之力突然受到影响，环境也发生了剧烈变化。所以我们希望冒险者能协助我们进行大规模资源调查。
你们可以在群岛采掘、采伐、捕鱼，随意进行采集活动。当然，采集到的东西归你们自己所有，因为我们的目的只有群岛的资源情报。

※进行采集活动和参加危命任务可提升活动评价。","这里是艾因哈特管制台……
经确认，所有资源调查均已完成。","感谢各位冒险者的大力协助，
请到恩惠号这里来领取报酬。","今后你们可以随时利用以太洞前往另一侧进行自由探索。
祝你们探索顺利！"
6,,,"",0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,0,,"","","","",""
7,"过属性火之水晶","过属性水之水晶","",0,"收集过属性火之水晶",6798633,4,0,0,"收集过属性水之水晶",6798655,4,0,0,"将收集品交给恩惠号的艾因哈特家的飞行员",6710324,1,0,0,6710323,"ui/icon/111000/111101.tex","探索任务：收集过属性水晶","属性之力发生剧烈变化的云冠群岛很容易促使以太结晶。带有强大属性之力的水晶极有可能成为重要资源。
所以我们希望冒险者能帮助我们收集过属性水晶，请将收集到的物资交给恩惠号附近的艾因哈特家的飞行员。

另外，在执行任务的过程中，也希望你们能够在目标地区附近进行探索，以提高“活动评价”。

※参加危命任务等可提升活动评价。","这里是艾因哈特管制台……
经确认，所有探索任务均已完成。","感谢各位冒险者的大力协助。
我们已经准备了相应的报酬。","今后你们可以随时利用以太洞前往另一侧进行自由探索。
祝你们探索顺利！"
8,,,"",0,"使用诱引香陷阱引来角蚂蜓并将其打倒",6710332,3,0,0,"使用诱引香陷阱引来三角龙并将其打倒",6710294,3,0,0,"使用诱引香陷阱引来云冠恩底弥翁并将其打倒",6710302,3,0,0,6887965,"ui/icon/111000/111101.tex","探索任务：打倒危险魔兽","云冠群岛高密度的以太吸引了很多危险的生物，这些生物正是我们探索的最大障碍。
我们希望身手高强的冒险者能帮助我们排除危险魔兽，请使用能吸引特定生物的诱引香陷阱，引来目标并将其打倒。

另外，在执行任务的过程中，也希望你们能够在目标地区附近进行探索，以提高“活动评价”。

※参加危命任务等可提升活动评价。","这里是艾因哈特管制台……
经确认，所有探索任务均已完成。","感谢各位冒险者的大力协助。
我们已经准备了相应的报酬。","今后你们可以随时利用以太洞前往另一侧进行自由探索。
祝你们探索顺利！"
9,,,"",0,"使用诱引香陷阱引来珠宝飞蚤并将其打倒",6710307,3,0,0,"使用诱引香陷阱引来天蟾蜍并将其打倒",6710345,3,0,0,"打倒无齿翼龙",6710345,2,0,0,6887983,"ui/icon/111000/111101.tex","探索任务：打倒危险魔兽","云冠群岛高密度的以太吸引了很多危险的生物，这些生物正是我们探索的最大障碍。
我们希望身手高强的冒险者能帮助我们排除危险魔兽，请使用能吸引特定生物的诱引香陷阱，引来目标并将其打倒。

另外，在执行任务的过程中，也希望你们能够在目标地区附近进行探索，以提高“活动评价”。

※参加危命任务等可提升活动评价。","这里是艾因哈特管制台……
虽然出现了预想不到的强敌，但已被确认排除。","感谢各位冒险者的大力协助。
我们已经准备了相应的报酬。","今后你们可以随时利用以太洞前往另一侧进行自由探索。
祝你们探索顺利！"
10,,,"",0,"使用诱引香陷阱引来新种大口花并将其打倒",6710285,3,0,0,"使用诱引香陷阱引来鲁南缇希并将其打倒",6710328,3,0,0,"使用诱引香陷阱引来西方腾云蛇并将其打倒",6710310,3,0,0,6887968,"ui/icon/111000/111101.tex","探索任务：打倒危险魔兽","云冠群岛高密度的以太吸引了很多危险的生物，这些生物正是我们探索的最大障碍。
我们希望身手高强的冒险者能帮助我们排除危险魔兽，请使用能吸引特定生物的诱引香陷阱，引来目标并将其打倒。

另外，在执行任务的过程中，也希望你们能够在目标地区附近进行探索，以提高“活动评价”。

※参加危命任务等可提升活动评价。","这里是艾因哈特管制台……
经确认，所有探索任务均已完成。","感谢各位冒险者的大力协助。
我们已经准备了相应的报酬。","今后你们可以随时利用以太洞前往另一侧进行自由探索。
祝你们探索顺利！"
11,"云海物种的器官标本","云海物种的骨骼标本","",0,"使用诱引香陷阱引来珠蜂水母并将其打倒
获取云海物种的器官标本",6710298,3,0,0,"使用诱引香陷阱引来笠头螈并将其打倒
获取云海物种的骨骼标本",6710316,3,0,0,"将收集品交给恩惠号的艾因哈特家的飞行员",6710324,1,0,0,6710323,"ui/icon/111000/111101.tex","探索任务：采集云海生物标本","云冠群岛是一座长期与外界隔离的浮岛，不仅有珍稀的古代生物在此栖息，还有受到属性之力影响的变异个体。
我们希望冒险者帮忙采集这些珍稀生物的标本用作博物学研究。请使用能吸引特定生物的诱引香陷阱，引来目标并将其打倒，然后采集标本。

另外，在执行任务的过程中，也希望你们能够在目标地区附近进行探索，以提高“活动评价”。

※参加危命任务等可提升活动评价。","这里是艾因哈特管制台……
经确认，所有探索任务均已完成。","感谢各位冒险者的大力协助。
我们已经准备了相应的报酬。","今后你们可以随时利用以太洞前往另一侧进行自由探索。
祝你们探索顺利！"
