key,0,1,2,3,4,5,6,7,8,9,10
#,Type,,Range,,EObj,,,Objective,,,
int32,SkyIsland2MissionType,byte,SkyIsland2RangeType,sbyte,EObjName,uint32,uint32,str,str,str,str
0,"True",0,"0",-1,,0,0,"","","",""
10,"True",0,"0",-1,,0,0,"","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","House Haillenarte has a vested interest in the bounty these isles have to offer. As such, your task this day is to assess the region's natural resources.","Go forth and gather what you may! Provide us with a thorough evaluation, and your diligence shall be duly rewarded. "
11,"True",0,"0",-1,,0,0,"","Operation Command here.
We have received your preliminary report.","The initial results are certainly promising! Pray continue your survey and inform us of your progress.",""
12,"True",0,"0",-1,,0,0,"","Operation Command here.
We have received your interim report.","Fascinating, but inconclusive. One last round of samples should allow for a more definitive assessment!",""
13,"True",0,"0",-1,"over-aspected fire crystal",0,8,"Gather over-aspected fire crystals","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","Your task this day is to gather crystals that exhibit excessive elemental properties. Proceed to the delineated area, and secure the shards we seek.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
14,"True",0,"0",-1,"over-aspected water crystal",0,8,"Gather over-aspected water crystals","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","Your task this day is to gather crystals that exhibit excessive elemental properties. Proceed to the delineated area, and secure the shards we seek.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
15,"True",0,"0",-1,"over-aspected earth crystal",0,8,"Gather over-aspected earth crystals","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","Your task this day is to gather crystals that exhibit excessive elemental properties. Proceed to the delineated area, and secure the shards we seek.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
16,"True",0,"0",-1,"over-aspected ice crystal",0,8,"Gather over-aspected ice crystals","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","Your task this day is to gather crystals that exhibit excessive elemental properties. Proceed to the delineated area, and secure the shards we seek.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
17,"True",0,"0",-1,"over-aspected wind crystal",0,8,"Gather over-aspected wind crystals","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","Your task this day is to gather crystals that exhibit excessive elemental properties. Proceed to the delineated area, and secure the shards we seek.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
18,"True",0,"0",-1,"over-aspected lightning crystal",0,8,"Gather over-aspected lightning crystals","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","Your task this day is to gather crystals that exhibit excessive elemental properties. Proceed to the delineated area, and secure the shards we seek.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
19,"True",0,"0",-1,"over-aspected fire crystal",1,10,"Gather over-aspected fire crystals","Operation Command here.
We have received your preliminary report.","More crystals are needed. Pray continue on to the next designated area.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
20,"True",0,"0",-1,"over-aspected water crystal",1,10,"Gather over-aspected water crystals","Operation Command here.
We have received your preliminary report.","More crystals are needed. Pray continue on to the next designated area.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
21,"True",0,"0",-1,"over-aspected earth crystal",1,10,"Gather over-aspected earth crystals","Operation Command here.
We have received your preliminary report.","More crystals are needed. Pray continue on to the next designated area.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
22,"True",0,"0",-1,"over-aspected ice crystal",1,10,"Gather over-aspected ice crystals","Operation Command here.
We have received your preliminary report.","More crystals are needed. Pray continue on to the next designated area.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
23,"True",0,"0",-1,"over-aspected wind crystal",1,10,"Gather over-aspected wind crystals","Operation Command here.
We have received your preliminary report.","More crystals are needed. Pray continue on to the next designated area.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
24,"True",0,"0",-1,"over-aspected lightning crystal",1,10,"Gather over-aspected lightning crystals","Operation Command here.
We have received your preliminary report.","More crystals are needed. Pray continue on to the next designated area.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
25,"False",0,"0",-1,,0,0,"Deliver gathered goods to the pilot at the <Emphasis>Bounty</Emphasis>","Operation Command here.
We have received your interim report.","Gather your last haul of goods and deliver what you have to the <Emphasis>Bounty</Emphasis>.","I promise you House Haillenarte will not be miserly with its gratitude!"
26,"True",0,"20",-1,,0,0,"Use a scent trap to ambush silvershells, and obtain cloud dweller organs","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","Your task this day will be to secure specimens for our House Haillenarte naturalists. Set a trap to lure the creatures in question, then slay them as cleanly as possible.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
27,"True",0,"20",-1,,0,0,"Use a scent trap to ambush welkinixes, and obtain cloud dweller organs","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","Your task this day will be to secure specimens for our House Haillenarte naturalists. Set a trap to lure the creatures in question, then slay them as cleanly as possible.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
28,"True",0,"20",-1,,0,0,"Use a scent trap to ambush jewel wasps, and obtain cloud dweller organs","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","Your task this day will be to secure specimens for our House Haillenarte naturalists. Set a trap to lure the creatures in question, then slay them as cleanly as possible.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
29,"True",0,"20",-1,,0,0,"Use a scent trap to ambush rainbow gastornis, and obtain cloud dweller organs","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","Your task this day will be to secure specimens for our House Haillenarte naturalists. Set a trap to lure the creatures in question, then slay them as cleanly as possible.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
30,"True",0,"20",-1,,0,0,"Use a scent trap to ambush lunantishees, and obtain cloud dweller organs","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","Your task this day will be to secure specimens for our House Haillenarte naturalists. Set a trap to lure the creatures in question, then slay them as cleanly as possible.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
31,"True",0,"20",-1,,0,0,"Use a scent trap to ambush ant hawks, and obtain cloud dweller organs","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","Your task this day will be to secure specimens for our House Haillenarte naturalists. Set a trap to lure the creatures in question, then slay them as cleanly as possible.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
32,"True",0,"40",-1,,0,0,"Use a scent trap to ambush diplocauluses, and obtain cloud dweller bones","Operation Command here.
We have received your preliminary report.","A new target has been chosen. As before, you are to lure the creatures to your location and effect a clean kill.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
33,"True",0,"40",-1,,0,0,"Use a scent trap to ambush proceratosaurs, and obtain cloud dweller bones","Operation Command here.
We have received your preliminary report.","A new target has been chosen. As before, you are to lure the creatures to your location and effect a clean kill.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
34,"True",0,"40",-1,,0,0,"Use a scent trap to ambush coelophysis, and obtain cloud dweller bones","Operation Command here.
We have received your preliminary report.","A new target has been chosen. As before, you are to lure the creatures to your location and effect a clean kill.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
35,"True",0,"40",-1,,0,0,"Use a scent trap to ambush zeuglodons, and obtain cloud dweller bones","Operation Command here.
We have received your preliminary report.","A new target has been chosen. As before, you are to lure the creatures to your location and effect a clean kill.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
36,"False",0,"0",-1,,0,0,"Deliver gathered goods to the pilot at the <Emphasis>Bounty</Emphasis>","Operation Command here.
We have received your interim report.","Gather your last haul of goods and deliver what you have to the <Emphasis>Bounty</Emphasis>.","I promise you House Haillenarte will not be miserly with its gratitude!"
37,"True",8,"0",-1,,0,0,"Slay silvershells","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","Your task this day will be to secure an egg for our House Haillenarte naturalists. Reconnoiter the area whilst keeping a lookout for rodents with a taste for unhatched offspring.",""
38,"True",5,"0",-1,,0,0,"Slay speckled hakulaqs","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","Your task this day will be to secure an egg for our House Haillenarte naturalists. Reconnoiter the area whilst keeping a lookout for rodents with a taste for unhatched offspring.",""
39,"True",6,"0",-1,,0,0,"Slay cloud crawlers","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","Your task this day will be to secure an egg for our House Haillenarte naturalists. Reconnoiter the area whilst keeping a lookout for rodents with a taste for unhatched offspring.",""
40,"True",6,"0",-1,,0,0,"Slay sabertooth tigers","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","Your task this day will be to secure an egg for our House Haillenarte naturalists. Reconnoiter the area whilst keeping a lookout for rodents with a taste for unhatched offspring.",""
41,"True",8,"0",-1,,0,0,"Slay ageless sankchinnis","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","Your task this day will be to secure an egg for our House Haillenarte naturalists. Reconnoiter the area whilst keeping a lookout for rodents with a taste for unhatched offspring.",""
42,"True",8,"0",-1,,0,0,"Slay sun sordes","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","Your task this day will be to secure an egg for our House Haillenarte naturalists. Reconnoiter the area whilst keeping a lookout for rodents with a taste for unhatched offspring.",""
43,"True",6,"0",-1,,0,0,"Slay ant hawks","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","Your task this day will be to secure an egg for our House Haillenarte naturalists. Reconnoiter the area whilst keeping a lookout for rodents with a taste for unhatched offspring.",""
44,"False",8,"0",-1,,0,0,"Slay yolk mice","The rodents have shown their whiskers.","Make haste to where the yolk mice are swarming, and eradicate them!",""
45,"False",8,"0",-1,,0,0,"Slay yolk mice","The rodents have shown their whiskers.","Make haste to where the yolk mice are swarming, and eradicate them!",""
46,"False",8,"0",-1,,0,0,"Slay yolk mice","The rodents have shown their whiskers.","Make haste to where the yolk mice are swarming, and eradicate them!",""
47,"False",0,"0",-1,"dinosaur egg",15,2992,"Carry the dinosaur egg to the collection point","With the mice slain, it is time to search for the real prize: the egg of a dinosaur.","Once you have secured the egg, carry it as swiftly as possible to the designated collection point.",""
48,"True",0,"20",-1,,0,0,"Slay cloudtraps and obtain cloudblossom pollen","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","House Haillenarte is on the lookout for unique-smelling substances─your first task will be to harvest pollen from the region's cloudtraps.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
49,"True",0,"40",-1,,0,0,"Slay flood worms and obtain worm livers","Operation Command here.
We have received your preliminary report.","Next on the list of strangely scented materials is the liver of a flood worm. Lovely.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
50,"False",0,"0",-1,,0,0,"Deliver gathered goods to the pilot at the <Emphasis>Bounty</Emphasis>","Operation Command here.
We have received your interim report.","Gather your last haul of goods and deliver what you have to the <Emphasis>Bounty</Emphasis>.","I promise you House Haillenarte will not be miserly with its gratitude!"
51,"False",0,"0",-1,,0,0,"Accept the enfeebling elixir from the pilot at the <Emphasis>Bounty</Emphasis>","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","Your task this day will be to field test a new reagent developed to enfeeble the fierce beasts of the Diadem.","First things first! Make your way to the <Emphasis>Bounty</Emphasis> and collect the elixir we have prepared."
52,"True",10,"0",0,,0,0,"Slay silvershells weakened by the enfeebling elixir","Your task now is to test the enfeebling elixir in combat against silvershells.","The exact timing is left to your discretion, but do be sure to use the elixir before the creatures are dead, eh?","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
53,"True",8,"0",0,,0,0,"Slay cloud crawlers weakened by the enfeebling elixir","Your task now is to test the enfeebling elixir in combat against cloud crawlers.","The exact timing is left to your discretion, but do be sure to use the elixir before the creatures are dead, eh?","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
54,"True",8,"0",0,,0,0,"Slay sabertooth tigers weakened by the enfeebling elixir","Your task now is to test the enfeebling elixir in combat against sabertooth tigers.","The exact timing is left to your discretion, but do be sure to use the elixir before the creatures are dead, eh?","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
55,"True",10,"0",0,,0,0,"Slay ageless sankchinnis weakened by the enfeebling elixir","Your task now is to test the enfeebling elixir in combat against ageless sankchinnis.","The exact timing is left to your discretion, but do be sure to use the elixir before the creatures are dead, eh?","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
56,"True",10,"0",0,,0,0,"Slay sun sordes weakened by the enfeebling elixir","Your task now is to test the enfeebling elixir in combat against sun sordes.","The exact timing is left to your discretion, but do be sure to use the elixir before the creatures are dead, eh?","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
57,"True",4,"0",0,,0,0,"Slay Diadem endymions weakened by the enfeebling elixir","Operation Command here.
We have received your interim report.","Your next target will be the Diadem endymions. The same rules apply: your efforts will be for naught should you fail to apply the elixir!","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
58,"True",6,"0",0,,0,0,"Slay speckled hakulaqs weakened by the enfeebling elixir","Operation Command here.
We have received your interim report.","Your next target will be the speckled hakulaqs. The same rules apply: your efforts will be for naught should you fail to apply the elixir!","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
59,"True",4,"0",0,,0,0,"Slay crown pelicans weakened by the enfeebling elixir","Operation Command here.
We have received your interim report.","Your next target will be the crown pelicans. The same rules apply: your efforts will be for naught should you fail to apply the elixir!","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
60,"True",4,"0",0,,0,0,"Slay diplocauluses weakened by the enfeebling elixir","Operation Command here.
We have received your interim report.","Your next target will be the diplocauluses. The same rules apply: your efforts will be for naught should you fail to apply the elixir!","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
61,"True",8,"0",-1,,0,0,"Use a scent trap to ambush hornflies","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
62,"True",8,"0",-1,,0,0,"Use a scent trap to ambush gigantopithecus","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
63,"True",6,"0",-1,,0,0,"Use a scent trap to ambush sabertooth tigers","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
64,"True",6,"0",-1,,0,0,"Use a scent trap to ambush cloud lions","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
65,"True",5,"0",-1,,0,0,"Use a scent trap to ambush bejeweled unicorns","Operation Command here.
We have received your preliminary report.","These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
66,"True",6,"0",-1,,0,0,"Use a scent trap to ambush Diadem marids","Operation Command here.
We have received your preliminary report.","These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
67,"False",1,"0",-1,,0,0,"Slay crown torama","Operation Command here.
The scent of blood has attracted a greater predator.","Allowing such creatures to roam unchallenged will endanger future explorations. Abandon your current target and dispose of this menace.",""
68,"False",1,"0",-1,,0,0,"Slay the kerkes","Operation Command here.
The scent of blood has attracted a greater predator.","Allowing such creatures to roam unchallenged will endanger future explorations. Abandon your current target and dispose of this menace.",""
69,"False",1,"0",-1,,0,0,"Slay bejeweled pegasi","Operation Command here.
The scent of blood has attracted a greater predator.","Allowing such creatures to roam unchallenged will endanger future explorations. Abandon your current target and dispose of this menace.",""
70,"False",1,"0",-1,,0,0,"Slay billowing bilokos","Operation Command here.
The scent of blood has attracted a greater predator.","Allowing such creatures to roam unchallenged will endanger future explorations. Abandon your current target and dispose of this menace.",""
71,"False",3,"0",-1,,0,0,"Use a scent trap to ambush Diadem endymions","Operation Command here.
We have received your interim report.","Slay the next target and your duty is done─move on to the next hunting ground and prepare your trap.","But be warned: you face a formidable foe. We suggest you put aside exploration, and focus on downing your prey."
72,"False",3,"0",-1,,0,0,"Use a scent trap to ambush proceratosaurs","Operation Command here.
We have received your interim report.","Slay the next target and your duty is done─move on to the next hunting ground and prepare your trap.","But be warned: you face a formidable foe. We suggest you put aside exploration, and focus on downing your prey."
73,"False",3,"0",-1,,0,0,"Use a scent trap to ambush westerly sanuwas","Operation Command here.
We have received your interim report.","Slay the next target and your duty is done─move on to the next hunting ground and prepare your trap.","But be warned: you face a formidable foe. We suggest you put aside exploration, and focus on downing your prey."
74,"False",3,"0",-1,,0,0,"Use a scent trap to ambush crown pelicans","Operation Command here.
We have received your interim report.","Slay the next target and your duty is done─move on to the next hunting ground and prepare your trap.","But be warned: you face a formidable foe. We suggest you put aside exploration, and focus on downing your prey."
75,"True",8,"0",-1,,0,0,"Use a scent trap to ambush crown tuco tucos","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
76,"True",8,"0",-1,,0,0,"Use a scent trap to ambush neochus","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
77,"True",6,"0",-1,,0,0,"Use a scent trap to ambush cutters","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
78,"True",8,"0",-1,,0,0,"Use a scent trap to ambush sun sordes","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
79,"True",8,"0",-1,,0,0,"Use a scent trap to ambush pack paissas","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
80,"True",8,"0",-1,,0,0,"Use a scent trap to ambush jewel flies","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
81,"True",8,"0",-1,,0,0,"Use a scent trap to ambush ageless sankchinnis","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
82,"True",6,"0",-1,,0,0,"Use a scent trap to ambush ant hawks","Operation Command here.
We have received your preliminary report.","Pray continue with your efforts to lure in and cull the dangerous creatures of the Diadem.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
83,"True",5,"0",-1,,0,0,"Use a scent trap to ambush killer ants","Operation Command here.
We have received your preliminary report.","Pray continue with your efforts to lure in and cull the dangerous creatures of the Diadem.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
84,"True",5,"0",-1,,0,0,"Use a scent trap to ambush speckled hakulaqs","Operation Command here.
We have received your preliminary report.","Pray continue with your efforts to lure in and cull the dangerous creatures of the Diadem.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
85,"True",5,"0",-1,,0,0,"Use a scent trap to ambush welkinixes","Operation Command here.
We have received your preliminary report.","Pray continue with your efforts to lure in and cull the dangerous creatures of the Diadem.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
86,"True",5,"0",-1,,0,0,"Use a scent trap to ambush triceratops","Operation Command here.
We have received your preliminary report.","Pray continue with your efforts to lure in and cull the dangerous creatures of the Diadem.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
87,"True",2,"0",-1,,0,0,"Use a scent trap to ambush baby brachiosaurs","Operation Command here.
We have received your preliminary report.","Pray continue with your efforts to lure in and cull the dangerous creatures of the Diadem.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
88,"True",5,"0",-1,,0,0,"Use a scent trap to ambush lunantishees","Operation Command here.
We have received your preliminary report.","Pray continue with your efforts to lure in and cull the dangerous creatures of the Diadem.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
89,"True",5,"0",-1,,0,0,"Use a scent trap to ambush zeuglodons","Operation Command here.
We have received your preliminary report.","Pray continue with your efforts to lure in and cull the dangerous creatures of the Diadem.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
90,"False",1,"0",-1,,0,0,"Slay an easterly sanuwa","Operation Command here.
The scent of blood has attracted a greater predator.","Allowing such creatures to roam unchallenged will endanger future explorations. Abandon your current target and dispose of this menace.",""
91,"False",1,"0",-1,,0,0,"Slay the celphie","Operation Command here.
The scent of blood has attracted a greater predator.","Allowing such creatures to roam unchallenged will endanger future explorations. Abandon your current target and dispose of this menace.",""
92,"False",3,"0",-1,,0,0,"Use a scent trap to ambush diplocauluses","Operation Command here.
We have received your interim report.","Slay the next target and your duty is done─move on to the next hunting ground and prepare your trap.","But be warned: you face a formidable foe. We suggest you put aside exploration, and focus on downing your prey."
93,"False",1,"0",-1,,0,0,"Slay an ageless melia","Operation Command here.
The scent of blood has attracted a greater predator.","Allowing such creatures to roam unchallenged will endanger future explorations. Abandon your current target and dispose of this menace.",""
94,"False",1,"0",-1,,0,0,"Slay a pteranodon","Operation Command here.
The scent of blood has attracted a greater predator.","Allowing such creatures to roam unchallenged will endanger future explorations. Abandon your current target and dispose of this menace.",""
95,"True",6,"0",-1,,0,0,"Use a scent trap to ambush Diadem marids","This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!","These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
96,"True",6,"0",-1,,0,0,"Use a scent trap to ambush coelophysis","Operation Command here.
We have received your preliminary report.","Pray continue with your efforts to lure in and cull the dangerous creatures of the Diadem.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
97,"True",6,"0",-1,,0,0,"Use a scent trap to ambush coelophysis","Operation Command here.
We have received your interim report.","Slay the next target and your duty is done─move on to the next hunting ground and prepare your trap.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
98,"True",6,"0",-1,,0,0,"Use a scent trap to ambush ageless diremites","Operation Command here.
We have received your interim report.","Slay the next target and your duty is done─move on to the next hunting ground and prepare your trap.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
