key,0,1,2,3,4,5
#,Color,Shade,,Name,,
int32,Color,byte,byte,str,bit&01,bit&02
0,"Color [A=255, R=0, G=0, B=0]",2,1,"",False,True
1,"Color [A=255, R=228, G=223, B=208]",2,2,"Snow White",False,True
2,"Color [A=255, R=172, G=168, B=162]",2,3,"Ash Grey",False,True
3,"Color [A=255, R=137, G=135, B=132]",2,4,"Goobbue Grey",False,True
4,"Color [A=255, R=101, G=101, B=101]",2,5,"Slate Grey",False,True
5,"Color [A=255, R=72, G=71, B=66]",2,6,"Charcoal Grey",False,True
6,"Color [A=255, R=43, G=41, B=35]",2,7,"Soot Black",False,True
7,"Color [A=255, R=230, G=159, B=150]",4,1,"Rose Pink",False,True
8,"Color [A=255, R=131, G=105, B=105]",4,2,"Lilac Purple",False,True
9,"Color [A=255, R=91, G=23, B=41]",4,3,"Rolanberry Red",False,True
10,"Color [A=255, R=120, G=26, B=26]",4,4,"Dalamud Red",False,True
11,"Color [A=255, R=98, G=34, B=7]",4,5,"Rust Red",False,True
12,"Color [A=255, R=69, G=21, B=17]",4,6,"Wine Red",False,True
13,"Color [A=255, R=204, G=108, B=94]",4,7,"Coral Pink",False,True
14,"Color [A=255, R=145, G=59, B=39]",4,8,"Blood Red",False,True
15,"Color [A=255, R=228, G=170, B=138]",4,9,"Salmon Pink",False,True
16,"Color [A=255, R=183, G=92, B=45]",5,1,"Sunset Orange",False,True
17,"Color [A=255, R=125, G=57, B=6]",5,2,"Mesa Red",False,True
18,"Color [A=255, R=106, G=75, B=55]",5,3,"Bark Brown",False,True
19,"Color [A=255, R=110, G=61, B=36]",5,4,"Chocolate Brown",False,True
20,"Color [A=255, R=79, G=45, B=31]",5,5,"Russet Brown",False,True
21,"Color [A=255, R=48, G=33, B=27]",5,6,"Kobold Brown",False,True
22,"Color [A=255, R=201, G=145, B=86]",5,7,"Cork Brown",False,True
23,"Color [A=255, R=153, G=110, B=63]",5,8,"Qiqirn Brown",False,True
24,"Color [A=255, R=123, G=92, B=45]",5,9,"Opo-opo Brown",False,True
25,"Color [A=255, R=162, G=135, B=92]",5,10,"Aldgoat Brown",False,True
26,"Color [A=255, R=197, G=116, B=36]",5,11,"Pumpkin Orange",False,True
27,"Color [A=255, R=142, G=88, B=27]",5,12,"Acorn Brown",False,True
28,"Color [A=255, R=100, G=66, B=22]",5,13,"Orchard Brown",False,True
29,"Color [A=255, R=61, G=41, B=13]",5,14,"Chestnut Brown",False,True
30,"Color [A=255, R=185, G=164, B=137]",5,15,"Gobbiebag Brown",False,True
31,"Color [A=255, R=146, G=129, B=108]",5,16,"Shale Brown",False,True
32,"Color [A=255, R=97, G=82, B=69]",5,17,"Mole Brown",False,True
33,"Color [A=255, R=63, G=51, B=41]",5,18,"Loam Brown",False,True
34,"Color [A=255, R=235, G=211, B=160]",6,1,"Bone White",False,True
35,"Color [A=255, R=183, G=163, B=112]",6,2,"Ul Brown",False,True
36,"Color [A=255, R=219, G=180, B=87]",6,3,"Desert Yellow",False,True
37,"Color [A=255, R=250, G=198, B=43]",6,4,"Honey Yellow",False,True
38,"Color [A=255, R=228, G=158, B=52]",6,5,"Millioncorn Yellow",False,True
39,"Color [A=255, R=188, G=136, B=4]",6,6,"Coeurl Yellow",False,True
40,"Color [A=255, R=242, G=215, B=112]",6,7,"Cream Yellow",False,True
41,"Color [A=255, R=165, G=132, B=48]",6,8,"Halatali Yellow",False,True
