key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
#,,,Quest[0],Quest[1],Quest[2],Quest[3],Quest[4],Quest[5],Quest[6],Quest[7],Quest[8],Quest[9],Quest[10],Quest[11],Quest[12],Quest[13],Quest[14],DefaultTalk[0],DefaultTalk[1],DefaultTalk[2],DefaultTalk[3],DefaultTalk[4],DefaultTalk[5],DefaultTalk[6],DefaultTalk[7],DefaultTalk[8],DefaultTalk[9],DefaultTalk[10],DefaultTalk[11],DefaultTalk[12],DefaultTalk[13],DefaultTalk[14],DefaultTalk[15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,uint32,uint32,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,DefaultTalk,DefaultTalk,DefaultTalk,DefaultTalk,DefaultTalk,DefaultTalk,DefaultTalk,DefaultTalk,DefaultTalk,DefaultTalk,DefaultTalk,DefaultTalk,DefaultTalk,DefaultTalk,DefaultTalk,DefaultTalk,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
2031616,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031617,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031618,0,0,"宿縁を断ち切る日",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590413,591292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031619,0,0,"宿縁を断ち切る日","原初的な彼女",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590357,591293,594337,0,0,0,0,0,0,0,0,0,0,0,0,0
2031620,0,0,"ナルザルの双剣",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590286,591295,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031621,0,0,"勇気の証明",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589886,591296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031622,0,0,"拳の聖人",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590192,591297,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031623,0,0,"拳の聖人",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590464,591298,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031624,0,0,"迷い無き瞳",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589874,591299,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031625,0,0,"迷い無き瞳",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589877,591300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031626,0,0,"迷い無き瞳",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589876,591301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
