Index,0:？,1:？,2:？,3:？,4:？,5:？,6:？,7:？,8:？,9:？,10:？,11:？
1,1,0,0,0,0,/record,,/任务回顾<br>/replay、/record<br>打开任务回顾窗口。,/任务回顾,/replay,32,0
2,2,1,0,0,0,/recordready,,/记录准备确认 子命令<br>/replayready、/recordready<br>发起记录准备确认。<br>>>子命令<br>{{color|id=506|秒数(5-30)}}<br>发起记录准备确认，全员通过后开启战斗开始倒计时。记录准备确认完毕后再次使用时功能将变为普通的准备确认加战斗开始倒计时。<br>{{color|id=506|无子命令}}<br>打开记录准备确认窗口。,/记录准备确认,/replayready,0,0
3,1,0,0,0,0,/pvpteamcmd,,/战队命令<br>/pvpteamcmd<br>打开战队窗口。,/战队命令,,0,0
4,1,0,0,0,0,/saddlebag,,/陆行鸟鞍囊<br>/chocobobag、/saddlebag<br>打开陆行鸟鞍囊。,/陆行鸟鞍囊,/chocobobag,0,0
5,1,0,0,0,0,/magiaright,,/魔素板顺时旋转<br>/magiaright<br>顺时针转动魔素板。,/魔素板顺时旋转,/magiaright,0,0
6,1,0,0,0,0,/magialeft,,/魔素板逆时旋转<br>/magialeft<br>逆时针转动魔素板。,/魔素板逆时旋转,/magialeft,0,0
7,1,0,0,0,0,/cwlinkshellcmd,/cwlcmd,/跨服贝命令(/跨服贝)<br>/cwlinkshellcmd、/cwlcmd<br>打开跨服通讯贝窗口。,/跨服贝命令,/跨服贝,0,0
8,3,1,17,0,0,/quickchat,/qchat,/快捷发言 快捷发言名 代名词<br>/quickchat、/qchat<br>进行快捷发言。<br>※只能在群狼盛宴中使用。<br>>>示例<br>/快捷发言 全力攻击<br>发送快捷发言“全力攻击”。<br>/快捷发言 攻击目标 <目标><br>发送快捷发言“攻击目标”加上当前所选目标的名字。,/快捷发言,/qchat,509,0
9,4,3,2,18,2,/bluespellbook,,/青魔法书 子命令<br>/bluespellbook<br>对青魔法进行有效技能设置。<br>>>子命令<br>{{color|id=506|设置 青魔法名 开}}<br>将指定青魔法设为有效技能。<br>{{color|id=506|设置 青魔法名 关}}<br>将指定青魔法从有效技能中解除。<br>{{color|id=506|预设 有效技能组序号(1-5)}}<br>换上指定序号的有效技能组。<br>{{color|id=506|撤除}}<br>将当前设置的有效技能全解除。<br>{{color|id=506|无子命令}}<br>开启或关闭青魔法书。<br><br>>>示例<br>/青魔法书 设置 水炮<br>将青魔法水炮设为有效技能或从有效技能中解除。<br>/青魔法书 预设 2<br>将有效技能变为预设好的有效技能组2。,/青魔法书,/bluespellbook,36,0
10,2,1,2,0,0,/magiaattack,,/魔素板攻势 代名词<br>/magiaattack<br>将魔素板的属性切换为攻击时克制当前目标的属性。代名词可省略。<br><br>>>示例<br>/魔素板攻势 <目标><br>将魔素板的属性切换为攻击时克制当前目标的属性。,/魔素板攻势,,0,0
