key,0,1,2
#,Item,,Tomestones
int32,Item,sbyte,Tomestones
0,"亚拉戈哲学神典石",6,"Tomestones#0"
1,"亚拉戈神话神典石",5,"Tomestones#0"
2,"亚拉戈战记神典石",7,"Tomestones#0"
3,"亚拉戈诗学神典石",6,"Tomestones#1"
4,"亚拉戈法典神典石",5,"Tomestones#0"
5,"亚拉戈禁书神典石",10,"Tomestones#0"
6,"亚拉戈传承神典石",7,"Tomestones#0"
7,"亚拉戈圣典神典石",5,"Tomestones#0"
8,"亚拉戈真理神典石",-1,"Tomestones#0"
9,"亚拉戈万物神典石",10,"Tomestones#0"
10,"亚拉戈虚构神典石",7,"Tomestones#0"
11,"亚拉戈创世神典石",5,"Tomestones#0"
12,"亚拉戈魔典神典石",-1,"Tomestones#0"
13,"亚拉戈幻想神典石",10,"Tomestones#0"
14,"亚拉戈奇谭神典石",7,"Tomestones#5"
15,"亚拉戈默示神典石",5,"Tomestones#4"
16,"亚拉戈经典神典石",-1,"Tomestones#2"
