key,0,1,2,3,4,5,6,7,8
#,,Icon,ItemName,KeyItemName,InstanceMap,MaxPartySize,TreasureHuntTexture,,
int32,byte,Image,Item,EventItem,EventItem,byte,byte,uint16,bit&01
0,1,"ui/icon/060000/060356.tex","陈旧的鞣革地图","鞣革制的宝物地图",,1,0,200,False
1,1,"ui/icon/060000/060356.tex","陈旧的鞣革地图","鞣革制的宝物地图",,1,0,200,False
2,1,"ui/icon/060000/060356.tex","陈旧的山羊革地图","山羊革制的宝物地图",,1,0,200,False
3,1,"ui/icon/060000/060355.tex","陈旧的巨蟾蜍革地图","巨蟾蜍革制的宝物地图",,1,0,200,False
4,1,"ui/icon/060000/060354.tex","陈旧的野猪革地图","野猪革制的宝物地图",,1,0,200,False
5,1,"ui/icon/060000/060354.tex","陈旧的毒蜥蜴革地图","毒蜥蜴革制的宝物地图",,8,0,200,False
6,1,"ui/icon/060000/060354.tex","神秘地图","星光变石地图",,1,1,200,False
7,1,"ui/icon/060000/060354.tex","鞣革制的隐藏地图","鞣革制的秘宝地图",,1,0,200,False
8,1,"ui/icon/060000/060354.tex","索恩朝时代的地图","索恩朝时代的宝物地图",,1,2,200,False
9,1,"ui/icon/060000/060356.tex","陈旧的古鸟革地图","古鸟革制的宝物地图",,1,0,200,False
10,1,"ui/icon/060000/060355.tex","陈旧的飞龙革地图","飞龙革制的宝物地图",,1,0,200,False
11,1,"ui/icon/060000/060354.tex","陈旧的巨龙革地图","巨龙革制的宝物地图","1级传送魔纹的地图",8,0,200,False
12,1,"ui/icon/060000/060355.tex","陈旧的迦迦纳怪鸟革地图","迦迦纳怪鸟革制的宝物地图",,1,0,200,False
13,1,"ui/icon/060000/060354.tex","陈旧的瞪羚革地图","瞪羚革制的宝物地图","2级传送魔纹的地图",8,0,200,False
14,2,"ui/icon/060000/060354.tex","深层传送魔纹的地图","传送魔纹的地图","3级传送魔纹的地图",8,4,100,False
15,0,,"",,,0,0,0,False
16,1,"ui/icon/060000/060354.tex","陈旧的特殊地图1","特殊宝物地图1","特殊传送魔纹地图1",8,0,200,False
17,1,"ui/icon/060000/060354.tex","陈旧的绿飘龙革地图","绿飘龙革制的宝物地图",,1,0,200,False
18,1,"ui/icon/060000/060354.tex","陈旧的缠尾蛟革地图","缠尾蛟革制的宝物地图","4级传送魔纹的地图",8,0,200,False
19,0,,"",,,0,0,0,False
20,1,"ui/icon/060000/060354.tex","陈旧的特殊地图2","特殊宝物地图2","特殊传送魔纹地图2",8,0,200,False
21,1,"ui/icon/060000/060354.tex","陈旧的赛加羚羊革地图","赛加羚羊革制的宝物地图",,1,0,200,False
22,1,"ui/icon/060000/060354.tex","陈旧的金毗罗鳄革地图","金毗罗鳄革制的宝物地图","5级传送魔纹的地图",8,0,200,False
23,0,,"",,,0,0,0,False
