key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
#,,Top,Bottom,Left,Right,TripleTriadCardRarity,TripleTriadCardType,SaleValue,SortKey,Order,UIPriority,,AcquisitionType,Acquisition,Location,Quest
int32,uint16,byte,byte,byte,byte,TripleTriadCardRarity,TripleTriadCardType,uint16,byte,uint16,byte,bit&01,byte,Row,Row,Quest
0,65535,0,0,0,0,"TripleTriadCardRarity#1","",0,0,0,0,False,0,,,
1,0,4,3,4,2,"TripleTriadCardRarity#1","",0,1,1,0,True,1,,,"决斗！九宫幻卡"
2,1,2,7,2,2,"TripleTriadCardRarity#1","",100,1,2,0,True,6,"梅梅卢恩","Level#4273866","决斗！九宫幻卡"
3,2,4,3,3,3,"TripleTriadCardRarity#1","",0,1,3,0,True,1,,,"决斗！九宫幻卡"
4,3,2,4,4,3,"TripleTriadCardRarity#1","",100,1,4,0,True,6,"幻卡大师","Level#5581206","决斗！九宫幻卡"
5,4,2,3,5,4,"TripleTriadCardRarity#1","",100,1,5,0,True,8,"九宫幻卡铜包",,"决斗！九宫幻卡"
6,5,3,3,3,4,"TripleTriadCardRarity#1","",0,1,6,0,True,1,,,"决斗！九宫幻卡"
7,6,4,5,3,2,"TripleTriadCardRarity#1","",0,1,7,0,True,1,,,"决斗！九宫幻卡"
8,7,3,3,4,3,"TripleTriadCardRarity#1","",100,1,8,0,True,8,"九宫幻卡铜包",,"决斗！九宫幻卡"
9,8,5,5,2,2,"TripleTriadCardRarity#1","",100,1,9,0,True,3,"毒雾洞窟黄金谷",,"黄金之谷"
10,9,2,2,5,5,"TripleTriadCardRarity#1","",0,1,10,0,True,1,,,"决斗！九宫幻卡"
11,10,5,2,2,5,"TripleTriadCardRarity#1","",100,1,11,0,True,8,"九宫幻卡铜包",,"决斗！九宫幻卡"
12,11,2,5,2,5,"TripleTriadCardRarity#1","",100,1,12,0,True,6,"梅花天王欧里福","Level#5581196","决斗！九宫幻卡"
13,12,3,2,1,7,"TripleTriadCardRarity#1","",100,2,13,0,True,6,"方块天王古特文特","Level#5581204","决斗！九宫幻卡"
14,13,1,7,1,4,"TripleTriadCardRarity#1","兽人",100,3,14,0,True,8,"九宫幻卡银包",,"决斗！九宫幻卡"
15,14,6,3,4,1,"TripleTriadCardRarity#1","兽人",100,3,15,0,True,6,"黑桃天王乔纳斯","Level#5581202","决斗！九宫幻卡"
16,15,2,5,4,4,"TripleTriadCardRarity#1","兽人",100,3,16,0,True,8,"九宫幻卡银包",,"决斗！九宫幻卡"
17,16,2,4,6,2,"TripleTriadCardRarity#1","兽人",100,3,17,0,True,8,"九宫幻卡银包",,"决斗！九宫幻卡"
18,17,4,3,3,5,"TripleTriadCardRarity#1","兽人",100,3,18,0,True,3,"天然要害沙斯塔夏溶洞",,"挑战沙斯塔夏之人"
19,18,7,3,2,2,"TripleTriadCardRarity#1","拂晓",100,5,19,0,True,8,"九宫幻卡银包",,"决斗！九宫幻卡"
20,19,2,3,7,1,"TripleTriadCardRarity#1","兽人",100,3,20,0,True,6,"黑桃天王乔纳斯","Level#5581202","决斗！九宫幻卡"
21,20,3,7,2,6,"TripleTriadCardRarity#2","",300,8,21,0,True,8,"九宫幻卡银包",,"决斗！九宫幻卡"
22,21,2,6,7,3,"TripleTriadCardRarity#2","",300,8,22,0,True,6,"海尔姆哈特","Level#4250584","决斗！九宫幻卡"
23,22,6,2,3,7,"TripleTriadCardRarity#2","",300,8,23,0,True,6,"巴斯卡隆","Level#1146551","千狱深处的响声"
24,23,7,2,6,3,"TripleTriadCardRarity#2","",300,8,24,0,True,8,"九宫幻卡铜包",,"决斗！九宫幻卡"
25,24,7,2,2,7,"TripleTriadCardRarity#2","",300,8,25,0,True,8,"九宫幻卡铜包",,"决斗！九宫幻卡"
26,25,2,7,7,2,"TripleTriadCardRarity#2","",300,8,26,0,True,8,"九宫幻卡铜包",,"决斗！九宫幻卡"
27,26,6,2,6,6,"TripleTriadCardRarity#2","兽人",300,10,27,0,True,6,"方块天王古特文特","Level#5581204","决斗！九宫幻卡"
28,27,7,5,3,5,"TripleTriadCardRarity#2","",300,13,28,0,True,8,"九宫幻卡金包",,"决斗！九宫幻卡"
29,28,3,5,5,7,"TripleTriadCardRarity#2","",300,13,29,0,True,8,"九宫幻卡金包",,"决斗！九宫幻卡"
30,29,5,3,7,5,"TripleTriadCardRarity#2","",300,13,30,0,True,8,"九宫幻卡金包",,"决斗！九宫幻卡"
31,30,3,7,1,7,"TripleTriadCardRarity#2","帝国",300,11,31,0,True,6,"懒散的帝国兵","Level#5663701","决斗！九宫幻卡"
32,31,7,3,7,1,"TripleTriadCardRarity#2","帝国",300,11,32,0,True,6,"懒散的帝国兵","Level#5663701","决斗！九宫幻卡"
33,32,5,7,5,3,"TripleTriadCardRarity#2","",300,15,33,0,True,6,"弥弥德亚","Level#3766212","疯狂的歌声"
34,33,1,3,7,7,"TripleTriadCardRarity#2","",300,14,34,0,True,8,"九宫幻卡金包",,"决斗！九宫幻卡"
