key,0,1,2,3
#,,,,Item
int32,uint16,byte,byte,Item
0,0,0,0,""
1,101,4,0,"红色古典玫瑰"
2,101,4,1,"蓝色古典玫瑰"
3,101,4,2,"黄色古典玫瑰"
4,101,4,3,"绿色古典玫瑰"
5,101,4,4,"橙色古典玫瑰"
6,101,4,5,"紫色古典玫瑰"
7,101,4,6,"白色古典玫瑰"
8,101,4,7,"黑色古典玫瑰"
9,101,4,8,"混色古典玫瑰"
10,102,4,0,"红色三色堇"
11,102,4,1,"蓝色三色堇"
12,102,4,2,"黄色三色堇"
13,102,4,3,"绿色三色堇"
14,102,4,4,"橙色三色堇"
15,102,4,5,"紫色三色堇"
16,102,4,6,"白色三色堇"
17,102,4,7,"黑色三色堇"
18,102,4,8,"混色三色堇"
19,106,4,0,"红色樱花"
20,106,4,1,"蓝色樱花"
21,106,4,2,"黄色樱花"
22,106,4,3,"绿色樱花"
23,106,4,4,"橙色樱花"
24,106,4,5,"紫色樱花"
25,106,4,6,"白色樱花"
26,106,4,7,"黑色樱花"
27,106,4,8,"粉色樱花"
28,107,4,0,"红色雏菊"
29,107,4,1,"蓝色雏菊"
30,107,4,2,"黄色雏菊"
31,107,4,3,"绿色雏菊"
32,107,4,4,"橙色雏菊"
33,107,4,5,"紫色雏菊"
34,107,4,6,"白色雏菊"
35,107,4,7,"黑色雏菊"
36,107,4,8,"混色雏菊"
37,105,4,0,"红色光明百合"
38,105,4,1,"蓝色光明百合"
39,105,4,2,"黄色光明百合"
40,105,4,3,"绿色光明百合"
41,105,4,4,"橙色光明百合"
42,105,4,5,"紫色光明百合"
43,105,4,6,"白色光明百合"
44,105,4,7,"黑色光明百合"
45,105,4,8,"混色光明百合"
46,103,4,0,"红色郁金香"
47,103,4,1,"蓝色郁金香"
48,103,4,2,"黄色郁金香"
49,103,4,3,"绿色郁金香"
50,103,4,4,"橙色郁金香"
51,103,4,5,"紫色郁金香"
52,103,4,6,"白色郁金香"
53,103,4,7,"黑色郁金香"
54,103,4,8,"混色郁金香"
55,109,4,0,"红色大丽花"
56,109,4,1,"蓝色大丽花"
57,109,4,2,"黄色大丽花"
58,109,4,3,"绿色大丽花"
59,109,4,4,"橙色大丽花"
60,109,4,5,"紫色大丽花"
61,109,4,6,"白色大丽花"
62,109,4,7,"黑色大丽花"
63,109,4,8,"混色大丽花"
64,104,4,0,"红色马蹄莲"
65,104,4,1,"蓝色马蹄莲"
66,104,4,2,"黄色马蹄莲"
67,104,4,3,"绿色马蹄莲"
68,104,4,4,"橙色马蹄莲"
69,104,4,5,"紫色马蹄莲"
70,104,4,6,"白色马蹄莲"
71,104,4,7,"黑色马蹄莲"
72,104,4,8,"混色马蹄莲"
73,108,4,0,"红色铃兰"
74,108,4,1,"蓝色铃兰"
75,108,4,2,"黄色铃兰"
76,108,4,3,"绿色铃兰"
77,108,4,4,"橙色铃兰"
78,108,4,5,"紫色铃兰"
79,108,4,6,"白色铃兰"
80,108,4,7,"黑色铃兰"
81,108,4,8,"混色铃兰"
82,110,4,0,"红色绣球花"
