key,0,1,2,3,4,5,6,7,8,9,10,11
#,PopRange,TerritoryType,ConditionSuccessEvent,ConditionFailEvent,ConfirmEvent,WarpCondition,WarpLogic,StartCutscene,EndCutscene,CanSkipCutscene,Name,Question
int32,Level,TerritoryType,DefaultTalk,DefaultTalk,DefaultTalk,WarpCondition,WarpLogic,Cutscene,Cutscene,bit&01,str,str
131072,,,,,,"WarpCondition#1","","","",False,"",""
131073,"Level#2040811","f1f1",,,,"WarpCondition#2","WarpRentalChocobo","","",False,"",""
131074,"Level#3884000","f1e4","DefaultTalk#590352","DefaultTalk#590353",,"WarpCondition#3","","","",False,"","Proceed to the Seat of the First Bow?"
131075,"Level#3884182","f1t1",,,,"WarpCondition#1","","","",False,"","Leave the Seat of the First Bow?"
131076,"Level#3878860","f1t2",,,,"WarpCondition#1","","","",False,"","Leave the Lotus Stand?"
131077,"Level#1381039","f1f2","DefaultTalk#590354","DefaultTalk#590355",,"WarpCondition#4","","","",False,"Purchase Passage to Sweetbloom Pier","Board the ferry to Sweetbloom Pier?"
131078,"Level#1381038","f1t2","DefaultTalk#590356","DefaultTalk#590259",,"WarpCondition#4","","","",False,"","Board the ferry to Old Gridania?"
131079,,"s1ti",,,,"WarpCondition#5","WarpInnLimsaLominsa","","",False,"",""
131080,"Level#1359058","f1ti",,,,"WarpCondition#5","WarpInnGridania","","",False,"",""
131081,,"w1ti",,,,"WarpCondition#5","WarpInnUldah","","",False,"",""
131082,,"s1t1",,,,"WarpCondition#1","","","",False,"","Exit room?"
131083,"Level#2232680","f1t1",,,,"WarpCondition#1","","","",False,"","Exit room?"
131084,,"w1t1",,,,"WarpCondition#1","","","",False,"","Exit room?"
131085,,"w1t2",,,,"WarpCondition#1","","","",False,"","Leave the Heart of the Sworn?"
131086,,"w1f1","DefaultTalk#590441","DefaultTalk#590620","DefaultTalk#590448","WarpCondition#6","","","",False,"","Take the ferry to Crescent Cove for 40 gil?"
131087,,"w1f1","DefaultTalk#590442","DefaultTalk#590621","DefaultTalk#590449","WarpCondition#6","","","",False,"","Take the ferry to the Silver Bazaar for 40 gil?"
131088,,"w1e6",,"DefaultTalk#590450",,"WarpCondition#7","","","",False,"","Enter the Waking Sands?"
131089,,"w1f1",,,,"WarpCondition#1","","","",False,"","Leave the Waking Sands?"
131090,"Level#4148347","w1e6",,"DefaultTalk#590564",,"WarpCondition#21","","","",False,"","Enter the solar?"
131091,,"w1e6",,,,"WarpCondition#1","","","",False,"","Leave the solar?"
131092,,"s1t1",,,,"WarpCondition#1","","","",False,"Ride Lift to the Airship Landing","Proceed to the airship landing?"
131093,,"s1t1",,,,"WarpCondition#1","","","",False,"Ride Lift to the Drowning Wench","Proceed to the Drowning Wench?"
131094,"Level#4161445","s1t2",,,,"WarpCondition#1","","","",False,"Ride Lift to Bulwark Hall","Proceed to Bulwark Hall?"
131095,,"w1t1",,,,"WarpCondition#1","","","",False,"Ride Lift to the Airship Landing","Proceed to the airship landing?"
131096,,"w1t2",,,,"WarpCondition#1","","","",False,"Ride Lift to the Hustings Strip","Proceed to the Hustings Strip?"
131097,,"w1t1",,,,"WarpCondition#1","","","",False,"Ride Lift to the Ruby Road Exchange","Proceed to the Ruby Road Exchange?"
131098,"Level#4087066","w1e4","DefaultTalk#590451","DefaultTalk#590452",,"WarpCondition#8","","","",False,"","Proceed into the Heart of the Sworn?"
131099,"Level#4165046","w1f4","DefaultTalk#590611",,,"WarpCondition#1","","","",False,"","Proceed to the Bowl of Embers?"
131100,,"w1f3","DefaultTalk#590610",,,"WarpCondition#1","","","",False,"","Leave the immediate area?"
131101,"Level#4103382","f1t1",,"DefaultTalk#590530","DefaultTalk#590453","WarpCondition#9","","ffxiv/airwil/airwil00010/airwil00010","ffxiv/airfst/airfst00020/airfst00020",True,"Purchase Passage to Gridania","Travel to Gridania for 120 gil?"
131102,"Level#4103399","s1t1",,"DefaultTalk#590530","DefaultTalk#590453","WarpCondition#9","","ffxiv/airwil/airwil00010/airwil00010","ffxiv/airsea/airsea00020/airsea00020",True,"Purchase Passage to Limsa Lominsa","Travel to Limsa Lominsa for 120 gil?"
131103,"Level#4103339","w1t1",,"DefaultTalk#589916","DefaultTalk#590454","WarpCondition#9","","ffxiv/airfst/airfst00010/airfst00010","ffxiv/airwil/airwil00020/airwil00020",True,"Purchase Passage to Ul'dah","Travel to Ul'dah for 120 gil?"
131104,"Level#4103399","s1t1",,"DefaultTalk#589916","DefaultTalk#590454","WarpCondition#9","","ffxiv/airfst/airfst00010/airfst00010","ffxiv/airsea/airsea00020/airsea00020",True,"Purchase Passage to Limsa Lominsa","Travel to Limsa Lominsa for 120 gil?"
131105,"Level#4103339","w1t1",,"DefaultTalk#590531","DefaultTalk#590455","WarpCondition#9","","ffxiv/airsea/airsea00010/airsea00010","ffxiv/airwil/airwil00020/airwil00020",True,"Purchase Passage to Ul'dah","Travel to Ul'dah for 120 gil?"
131106,"Level#4103382","f1t1",,"DefaultTalk#590531","DefaultTalk#590455","WarpCondition#9","","ffxiv/airsea/airsea00010/airsea00010","ffxiv/airfst/airfst00020/airfst00020",True,"Purchase Passage to Gridania","Travel to Gridania for 120 gil?"
131107,,"s1t2",,"DefaultTalk#591076","DefaultTalk#590456","WarpCondition#10","","ffxiv/linwil/linwil00010/linwil00010","ffxiv/linsea/linsea00020/linsea00020",True,"","Travel to Limsa Lominsa for 80 gil?"
131108,,"w1f1",,"DefaultTalk#591077","DefaultTalk#590457","WarpCondition#10","","ffxiv/linsea/linsea00010/linsea00010","ffxiv/linwil/linwil00020/linwil00020",True,"","Travel to Vesper Bay for 80 gil?"
131109,"Level#4165794","s1f4","DefaultTalk#590514","DefaultTalk#590515","DefaultTalk#590622","WarpCondition#11","","","",False,"Purchase Passage to Aleport","Travel to Aleport for 40 gil?"
131110,,"s1t2","DefaultTalk#590516","DefaultTalk#590517","DefaultTalk#590623","WarpCondition#11","","","",False,"Purchase Passage to Limsa Lominsa","Travel to Limsa Lominsa for 40 gil?"
131111,"Level#4165755","s1f3","DefaultTalk#590518","DefaultTalk#590519","DefaultTalk#590624","WarpCondition#12","","","",False,"Purchase Passage to Costa del Sol","Travel to Costa del Sol for 40 gil?"
131112,,"s1t2","DefaultTalk#590520","DefaultTalk#590521","DefaultTalk#590625","WarpCondition#12","","","",False,"Purchase Passage to Limsa Lominsa","Travel to Limsa Lominsa for 40 gil?"
131113,,"s1f5","DefaultTalk#590510",,"DefaultTalk#590511","WarpCondition#13","","","",False,"Purchase Passage to Jijiroon's Trading Post","Travel to Jijiroon's Trading Post for 40 gil?"
131114,,"s1f5","DefaultTalk#590512",,"DefaultTalk#590513","WarpCondition#13","","","",False,"Purchase Passage to Memeroon's Trading Post","Travel to Memeroon's Trading Post for 40 gil?"
131115,"Level#4165794","s1f4","DefaultTalk#590522","DefaultTalk#590626","DefaultTalk#590628","WarpCondition#14","","","",False,"Purchase Passage to Aleport","Travel to Aleport for 40 gil?"
131116,,"s1f2","DefaultTalk#590523","DefaultTalk#590627","DefaultTalk#590629","WarpCondition#14","","","",False,"Purchase Passage to Candlekeep Quay","Travel to Candlekeep Quay for 40 gil?"
