key,0,1,2,3,4,5,6,7
#,Gil,CompleteParam,RequiredQuest{1},RequiredQuest{2},DRequiredQuest{3},RequiredQuest{4},QuestReward,Class{Level}
int32,uint16,byte,Quest,Quest,Quest,Quest,uint16,uint16
0,0,1,,,,,0,0
1,0,1,,,,,0,0
2,80,1,,,,,0,10
3,0,2,"大樹で蠢く闇の鼓動","タムタラの仄暗い底で",,,0,0
4,0,1,,,,,0,10
5,0,1,,,,,2,0
6,40,1,,,,,0,12
7,0,1,,,,,0,0
8,0,1,"至宝の影で蠢く闇",,,,0,0
9,120,2,"海都と砂都と","海都と森都と","森都と砂都と",,0,0
10,80,2,"海都と砂都と","海都と森都と","森都と砂都と",,0,0
11,40,1,,,,,0,15
12,40,1,,,,,0,30
13,40,1,,,,,0,0
14,40,1,,,,,0,15
15,0,1,"グリダニアの白狼門",,,,0,0
16,40,1,,,,,0,0
17,0,1,,,,,0,0
18,0,1,,,,,0,0
19,0,1,"大御霊祭り",,,,0,0
20,0,1,"ミズンマストの晩餐会",,,,0,0
21,0,1,"暁の血盟",,,"猛る焔神イフリート",0,0
22,40,1,"島に乗りこめ！",,,,0,0
23,40,1,,,,,0,0
24,0,1,"花咲くラベンダーベッドの夢の家",,,,0,0
25,0,1,"潮香るミスト・ヴィレッジの夢の家",,,,0,0
26,0,1,"豪奢なゴブレットビュートの夢の家",,,,0,0
27,0,1,"暗部に潜む双剣士",,,,0,0
28,0,1,"月影の導き",,,,0,0
29,0,1,"いざ、魅惑の遊技場へ",,,,0,0
30,120,1,,,,,0,0
31,0,1,"新生祭と鎮魂の夜空",,,,0,0
32,0,1,"不屈なアイツを討ち倒せ",,,,0,0
33,150,1,"最期の咆哮",,,,0,0
34,0,1,"最期の咆哮","いざ、魅惑の遊技場へ",,,0,0
35,0,1,"星芒祭と親子の想い",,,,0,0
36,0,1,"大洋を征く",,,,0,0
37,300,1,,,,,0,0
38,0,1,"試練のバルダム覇道",,,,0,0
39,0,1,"心を映す鏡",,,,0,0
40,30,1,,,,,0,0
41,0,1,,,,,2,0
42,0,1,"力を試す訓練場",,,,0,0
43,0,1,"ノルヴラントを渡る者たち",,,,0,0
44,0,1,"定期便を使うには？",,,,0,0
45,0,1,"蒼天を仰ぐ街",,,,0,0
46,0,1,"プリンセスデーは皆のために",,,,0,0
47,0,1,"クリスタルの残光",,,,0,0
48,0,1,"クリスタルの残光",,,,0,0
49,0,1,"ゴールドソーサーの嬉しい悲鳴",,,,0,0
50,0,1,"リーパーたる者",,,,0,0
51,0,1,"最期の咆哮",,,,0,0
52,0,1,"蒼天を仰ぐ街",,,,0,0
53,0,1,"イシュガルドへ",,,,0,0
54,300,1,"暁月のフィナーレ",,,,0,0
55,500,1,"暁月のフィナーレ",,,,0,0
56,300,1,"暁月のフィナーレ",,,,0,0
57,0,1,"技を修める調練場",,,,0,0
58,300,1,,,,,0,0
59,0,1,"入口前に僕らは集った",,,,0,0
