key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
#,Weather[0],Rate[0],Weather[1],Rate[1],Weather[2],Rate[2],Weather[3],Rate[3],Weather[4],Rate[4],Weather[5],Rate[5],Weather[6],Rate[6],Weather[7],Rate[7]
int32,Weather,byte,Weather,byte,Weather,byte,Weather,byte,Weather,byte,Weather,byte,Weather,byte,Weather,byte
0,"Fair Skies",100,"",0,"",0,"",0,"",0,"",0,"",0,"",0
1,"Rain",5,"Rain",15,"Fog",10,"Clouds",10,"Fair Skies",15,"Clear Skies",30,"Fair Skies",15,"",0
2,"Rain",5,"Rain",15,"Fog",10,"Clouds",10,"Fair Skies",15,"Clear Skies",30,"Fair Skies",15,"",0
3,"Thunder",5,"Rain",15,"Fog",10,"Clouds",10,"Fair Skies",15,"Clear Skies",30,"Fair Skies",15,"",0
4,"Thunder",5,"Rain",15,"Fog",10,"Clouds",10,"Fair Skies",15,"Clear Skies",30,"Fair Skies",15,"",0
5,"Fog",5,"Thunderstorms",5,"Thunder",15,"Fog",5,"Clouds",10,"Fair Skies",30,"Clear Skies",30,"",0
6,"Fog",5,"Showers",5,"Rain",15,"Fog",5,"Clouds",10,"Fair Skies",30,"Clear Skies",30,"",0
7,"Clear Skies",40,"Fair Skies",20,"Clouds",25,"Fog",10,"Rain",5,"",0,"",0,"",0
8,"Clear Skies",40,"Fair Skies",20,"Clouds",25,"Fog",10,"Rain",5,"",0,"",0,"",0
9,"Clear Skies",40,"Fair Skies",20,"Clouds",25,"Fog",10,"Rain",5,"",0,"",0,"",0
10,"Dust Storms",15,"Clear Skies",40,"Fair Skies",20,"Clouds",10,"Fog",10,"Rain",5,"",0,"",0
11,"Clear Skies",40,"Fair Skies",20,"Clouds",10,"Fog",10,"Rain",5,"Showers",15,"",0,"",0
12,"Heat Waves",20,"Clear Skies",40,"Fair Skies",20,"Clouds",10,"Fog",10,"",0,"",0,"",0
13,"Clear Skies",5,"Fair Skies",15,"Clouds",30,"Fog",50,"",0,"",0,"",0,"",0
14,"Clouds",20,"Clear Skies",30,"Fair Skies",30,"Fog",10,"Rain",10,"",0,"",0,"",0
15,"Clouds",20,"Clear Skies",30,"Fair Skies",30,"Fog",10,"Rain",10,"",0,"",0,"",0
16,"Clouds",20,"Clear Skies",30,"Fair Skies",20,"Wind",10,"Fog",10,"Rain",10,"",0,"",0
17,"Clouds",20,"Clear Skies",30,"Fair Skies",20,"Wind",10,"Fog",10,"Rain",10,"",0,"",0
18,"Fog",5,"Clear Skies",45,"Fair Skies",30,"Clouds",10,"Rain",5,"Showers",5,"",0,"",0
19,"Fog",10,"Clear Skies",30,"Fair Skies",20,"Clouds",20,"Wind",10,"Gales",10,"",0,"",0
20,"Clear Skies",30,"Fair Skies",20,"Clouds",20,"Fog",10,"Thunder",10,"Thunderstorms",10,"",0,"",0
21,"Blizzards",20,"Snow",40,"Fair Skies",10,"Clear Skies",5,"Clouds",15,"Fog",10,"",0,"",0
22,"Clouds",15,"Fog",15,"Gloom",30,"Clear Skies",15,"Fair Skies",25,"",0,"",0,"",0
23,"Eruptions",100,"",0,"",0,"",0,"",0,"",0,"",0,"",0
