key,0,1
#,Song,SongName
int32,BGM,str
0,"",""
1,"music/ffxiv/BGM_Event_CrystalHarpOnly.scd","舞い散る輝き"
2,"music/ffxiv/BGM_Event_Tabidachi.scd","そして世界へ"
3,"music/ffxiv/BGM_Minigame_Puzzle.scd","昼下がりのひととき"
4,"music/ffxiv/BGM_Event_Tanoshii1.scd","日溜り"
5,"music/ffxiv/BGM_Event_Tanoshii2.scd","無常の喜び"
6,"music/ffxiv/BGM_Event_HeroReturn.scd","英雄の凱旋"
7,"music/ffxiv/BGM_Event_Saisyu.scd","自然の賜物"
8,"music/ffxiv/BGM_Company_Lim.scd","黒渦団軍令部"
9,"music/ffxiv/BGM_Company_Gri.scd","双蛇党統合司令部"
10,"music/ffxiv/BGM_Company_Uru.scd","不滅隊作戦本部"
11,"music/ffxiv/BGM_Event_Hildy.scd","事件屋のアレ"
12,"music/ffxiv/BGM_Season_Easter.scd","恋の季節"
