key,0
#,Description
int32,str
0,"ダミー"
1,"Lv1-49ダンジョン"
2,"Lv50ダンジョン"
3,"Lv51-59ダンジョン"
4,"Lv60ダンジョン"
5,"死者の宮殿"
6,"フロントライン"
7,"ザ・フィースト"
8,"Lv61-69ダンジョン"
9,"Lv70ダンジョン"
10,"宝物庫"
11,"ライバルウィングズ"
12,"ディープダンジョン"
13,"Lv71-79ダンジョン"
14,"Lv80ダンジョン"
15,"Lv81-89ダンジョン"
16,"Lv90ダンジョン"
17,"クリスタルコンフリクト"
18,"大迷宮バハムート：邂逅編1-5"
19,"大迷宮バハムート：侵攻編1-4"
20,"大迷宮バハムート：真成編1-4"
21,"機工城アレキサンダー：起動編1-4"
22,"機工城アレキサンダー：律動編1-4"
23,"機工城アレキサンダー：天動編1-4"
24,"次元の狭間オメガ：デルタ編1-4"
25,"次元の狭間オメガ：シグマ編1-4"
26,"次元の狭間オメガ：アルファ編1-4"
