key,0,1
#,,
int32,str,str
0,"TEXT_CMNRADENTERHALATALI_00079_BUDIC_1","この奥「ハラタリ修練所」は
ウルダハ「銅刃団オーキッド連隊」の管轄である。
冒険者、用件を簡潔に述べたまえ。"
1,"TEXT_CMNRADENTERHALATALI_00079_Q1_1","用件は？"
2,"TEXT_CMNRADENTERHALATALI_00079_A1_1","「魔獣領域ハラタリ修練所」の開始条件について聞く"
3,"TEXT_CMNRADENTERHALATALI_00079_A1_2","「魔獣領域ハラタリ修練所」を開始する"
4,"TEXT_CMNRADENTERHALATALI_00079_A1_3","キャンセル"
5,"TEXT_CMNRADENTERHALATALI_00079_BUDIC_5","「ハラタリ修練所」は、特別危険区域に指定されている。
人数と参加資格に制限があるため、気をつけよ。"
6,"TEXT_CMNRADENTERHALATALI_00079_SYSTEM_6","「魔獣領域ハラタリ修練所」を開始するためには、
ファイター＆ソーサラーのレベル20以上のプレイヤー4名で
パーティを組む必要があります。"
7,"TEXT_CMNRADENTERHALATALI_00079_SYSTEM_7","（地球時間）90分が経過すると
強制的に「魔獣領域ハラタリ修練所」は終了します。"
8,"TEXT_CMNRADENTERHALATALI_00079_SYSTEM_8","また、クエスト「ハラタリ修練所への誘い」を、コンプリートしておく必要があります。なお、レベル23以上の場合、攻略中はレベル22扱いとなります。"
9,"TEXT_CMNRADENTERHALATALI_00079_SYSTEM_9","戦利品が残っている状態で「ハラタリ修練所」から出ると
自動的に、戦利品目録にあるすべてのアイテムを入手します。
入手できなかったアイテムは破棄されますので、ご注意ください。"
10,"TEXT_CMNRADENTERHALATALI_00079_Q2_1","「魔獣領域ハラタリ修練所」を開始しますか？"
11,"TEXT_CMNRADENTERHALATALI_00079_A2_1","はい"
12,"TEXT_CMNRADENTERHALATALI_00079_A2_2","いいえ"
13,"TEXT_CMNRADENTERHALATALI_00079_SYSTEM_10","<Sheet(InstanceContentTextData,IntegerParameter(1),0)/>「<Sheet(InstanceContent,IntegerParameter(2),3)/>」を開始できませんでした。
開始条件を確認してください。"
14,"TEXT_CMNRADENTERHALATALI_00079_BUDIC_20","この奥「ハラタリ修練所」は
ウルダハ「銅刃団オーキッド連隊」の管轄である。
資格無き者を通すわけにはいかない。"
15,"TEXT_CMNRADENTERHALATALI_00079_SYSTEM_20","「魔獣領域ハラタリ修練所」への挑戦資格を得るには
クエスト「ハラタリ修練所への誘い」を、
コンプリートしておく必要があります。"
