key,0,1
#,,
int32,str,str
0,"TEXT_CMNRADENTERHAUKKEMANOR_00041_CHAMBERLAIN_1","この奥「ハウケタ御用邸」は
グリダニア「鬼哭隊参番槍」の管轄である。
冒険者、用件を簡潔に述べたまえ。"
1,"TEXT_CMNRADENTERHAUKKEMANOR_00041_Q1_1","用件は？"
2,"TEXT_CMNRADENTERHAUKKEMANOR_00041_A1_1","「名門屋敷ハウケタ御用邸」の開始条件について聞く"
3,"TEXT_CMNRADENTERHAUKKEMANOR_00041_A1_2","「名門屋敷ハウケタ御用邸」を開始する"
4,"TEXT_CMNRADENTERHAUKKEMANOR_00041_A1_3","キャンセル"
5,"TEXT_CMNRADENTERHAUKKEMANOR_00041_CHAMBERLAIN_5","「ハウケタ御用邸」は、特別危険区域に指定されている。
人数と参加資格に制限があるため、気をつけよ。"
6,"TEXT_CMNRADENTERHAUKKEMANOR_00041_SYSTEM_6","「名門屋敷ハウケタ御用邸」を開始するためには、
ファイター＆ソーサラーのレベル29以上のプレイヤー4名で
パーティを組む必要があります。"
7,"TEXT_CMNRADENTERHAUKKEMANOR_00041_SYSTEM_7","（地球時間）90分が経過すると
強制的に「名門屋敷ハウケタ御用邸」は終了します。"
8,"TEXT_CMNRADENTERHAUKKEMANOR_00041_SYSTEM_8","またレベル32以上のプレイヤーは、攻略中はレベル31扱いとなります。"
9,"TEXT_CMNRADENTERHAUKKEMANOR_00041_SYSTEM_9","戦利品が残っている状態で「ハウケタ御用邸」から出ると
自動的に、戦利品目録にあるすべてのアイテムを入手します。
入手できなかったアイテムは破棄されますので、ご注意ください。"
10,"TEXT_CMNRADENTERHAUKKEMANOR_00041_Q2_1","「名門屋敷ハウケタ御用邸」を開始しますか？"
11,"TEXT_CMNRADENTERHAUKKEMANOR_00041_A2_1","はい"
12,"TEXT_CMNRADENTERHAUKKEMANOR_00041_A2_2","いいえ"
13,"TEXT_CMNRADENTERHAUKKEMANOR_00041_SYSTEM_10","<Sheet(InstanceContentTextData,IntegerParameter(1),0)/>「<Sheet(InstanceContent,IntegerParameter(2),3)/>」を開始できませんでした。
開始条件を確認してください。"
14,"TEXT_CMNRADENTERHAUKKEMANOR_00041_SYSTEM_20","「名門屋敷ハウケタ御用邸」が、
コンテンツファインダーに登録されました。"
