key,0,1
#,,
int32,str,str
0,"TEXT_REGFSTMAGICITEMTIPS_00045_GARRATT_000_1","クックックッ……
念願の「エーテリアル装備」を手に入れたぞ！"
1,"TEXT_REGFSTMAGICITEMTIPS_00045_Q1_1","どう答える？"
2,"TEXT_REGFSTMAGICITEMTIPS_00045_A1_1","エーテリアル装備とは？"
3,"TEXT_REGFSTMAGICITEMTIPS_00045_A1_2","エーテリアル装備の入手法は？"
4,"TEXT_REGFSTMAGICITEMTIPS_00045_A1_3","そう、関係ないね"
5,"TEXT_REGFSTMAGICITEMTIPS_00045_GARRATT_000_10","よくぞ聞いてくれたな。
「エーテリアル装備」というのは、何らかの魔力……
すなわち「エーテル」が宿った装備のことだ。"
6,"TEXT_REGFSTMAGICITEMTIPS_00045_GARRATT_000_11","たとえば、この「エーテリアル・ショートソード」の場合、
エーテルの影響で、性質が強化されていてな……
扱いやすさが増しているんだ。"
7,"TEXT_REGFSTMAGICITEMTIPS_00045_GARRATT_000_12","お陰で、魔物討伐も楽になって
ふところも温かくなったぜ。"
8,"TEXT_REGFSTMAGICITEMTIPS_00045_GARRATT_000_13","噂によると、同じ種類のエーテリアル装備でも、
どんな性質が、どれほどの強さで強化されているかは、
まちまちらしいぞ。より強い装備を手にしたいもんだな。"
9,"TEXT_REGFSTMAGICITEMTIPS_00045_GARRATT_000_20","ゆずってくれ、頼む、だって？
そういわれてもなぁ、この剣を手に入れるには
そうとう苦労もしたし……。"
10,"TEXT_REGFSTMAGICITEMTIPS_00045_GARRATT_000_21","「エーテリアル装備」というのは、
元の持ち主が、命を散らせたときに
放たれたエーテルが装備に宿ったものなんだ。"
11,"TEXT_REGFSTMAGICITEMTIPS_00045_GARRATT_000_22","そんなわけで、遺跡や洞穴の奥深くみたいな
危険な場所で手に入ることが多くてね。"
12,"TEXT_REGFSTMAGICITEMTIPS_00045_GARRATT_000_23","たとえば、ここ「サスタシャ浸食洞」でも、
エーテリアル装備が手に入るかもしれないな。"
