Index,0:？,1:？
0,TEXT_CMNDEFCOMPANYMANUFACTORY_00150_MENU_TITLE,要做什么？
1,TEXT_CMNDEFCOMPANYMANUFACTORY_00150_MENU_CC_NOTE,部队合建笔记
2,TEXT_CMNDEFCOMPANYMANUFACTORY_00150_MENU_CC_SUPPLY,交纳素材（品质：<var:1>/100）
3,TEXT_CMNDEFCOMPANYMANUFACTORY_00150_MENU_CC_BREAK,中止制作
4,TEXT_CMNDEFCOMPANYMANUFACTORY_00150_MENU_CC_GET_ITEM,领取道具
5,TEXT_CMNDEFCOMPANYMANUFACTORY_00150_MENU_CC_PROGRESS,推进工程进展（品质：<var:1>/100）
6,TEXT_CMNDEFCOMPANYMANUFACTORY_00150_MENU_CC_LAST_PROGRESS,完成<Item:<var:1>:0>（品质：<var:2>/100）
7,TEXT_CMNDEFCOMPANYMANUFACTORY_00150_MENU_EXIT,取消
8,TEXT_CMNDEFCOMPANYMANUFACTORY_00150_SUBMENU_CC_BREAK_ALL_CONF,确定要中止<Item:<var:1>:0>的制作吗？<br>{{color|id=500|之前交纳的素材会全部耗损，不会被返还。}}
9,TEXT_CMNDEFCOMPANYMANUFACTORY_00150_SUBMENU_CC_BREAK_ALL_CHECK,中止制作
10,TEXT_CMNDEFCOMPANYMANUFACTORY_00150_SUBMENU_CC_BREAK_YES,是
11,TEXT_CMNDEFCOMPANYMANUFACTORY_00150_SUBMENU_CC_BREAK_NO,否
12,TEXT_CMNDEFCOMPANYMANUFACTORY_00150_FINISH_CONF,确定要从部队合建设备中回收<Item:<var:1>:0>吗？
13,TEXT_CMNDEFCOMPANYMANUFACTORY_00150_FINISH_YES,是
14,TEXT_CMNDEFCOMPANYMANUFACTORY_00150_FINISH_NO,否
15,TEXT_CMNDEFCOMPANYMANUFACTORY_00150_NULL,（未使用/预计删除）
