Index,0:？,1:？
0,TEXT_REGWILCERULEUMPROCESSINGPLANT_00120_EDELSTEIN_000_000,你好，请问你有什么事？<br>如果是我知道的我会尽量解答。
1,TEXT_REGWILCERULEUMPROCESSINGPLANT_00120_EDELSTEIN_000_010,我负责管理驻扎在这里的恒辉队。<br>因为在青磷精炼所制作的青磷水是重要的战略物资，<br>我们必须要死守。
2,TEXT_REGWILCERULEUMPROCESSINGPLANT_00120_EDELSTEIN_000_011,多亏劳班局长亲自率兵征战，扩张了防御线，<br>形成了默认的军事缓冲区……劳班缓冲地。<br>不过依然不可松懈半分。
3,TEXT_REGWILCERULEUMPROCESSINGPLANT_00120_EDELSTEIN_000_020,这里是精炼青磷水的设施，<br>从地下的青磷泉获取原水，<br>经过精炼后制成可以利用的青磷水。
4,TEXT_REGWILCERULEUMPROCESSINGPLANT_00120_EDELSTEIN_000_021,以艾玛吉娜矿山公司的采矿工为首，<br>许多与挖掘和精炼有关的劳动者都聚集在这里。
5,TEXT_REGWILCERULEUMPROCESSINGPLANT_00120_EDELSTEIN_000_022,青磷水在加雷马帝国也是十分受重视的资源。<br>因此，为了对抗帝国军的侵略，<br>恒辉队的精锐会常驻在这里。
6,TEXT_REGWILCERULEUMPROCESSINGPLANT_00120_Q1_000_000,想了解什么？
7,TEXT_REGWILCERULEUMPROCESSINGPLANT_00120_A1_000_001,你是做什么的？
8,TEXT_REGWILCERULEUMPROCESSINGPLANT_00120_A1_000_002,这里是什么地方？
9,TEXT_REGWILCERULEUMPROCESSINGPLANT_00120_A1_000_003,取消
