Index,0:？,1:？
0,TEXT_REGWILTHEWAKINGSANDS_00131_TATARU_000_000,不好意思啊，<br>这里是不允许非相关人员进入的，还请你尽快离开。
1,TEXT_REGWILTHEWAKINGSANDS_00131_TATARU_000_010,啊，<name:玩家全名>！<br>辛苦你了，接待处一切正常。
2,TEXT_REGWILTHEWAKINGSANDS_00131_TATARU_000_020,啊呜呜，真是给你添麻烦了……<br>我是太想让大家知道<name:玩家全名>有多厉害，<br>所以一不小心就说个不停了……
3,TEXT_REGWILTHEWAKINGSANDS_00131_TATARU_000_030,啊，<name:玩家全名>！<br>调查还顺利吗？<br>接待沙之家新人的接待处一切正常哦！
4,TEXT_REGWILTHEWAKINGSANDS_00131_TATARU_000_040,嗯……<br>因为人员有所增加，所以我正在整理名册。
5,TEXT_REGWILTHEWAKINGSANDS_00131_TATARU_000_041,我在<name:玩家全名>的名字上画了个小红花哦！<br>请你今后也要继续努力啊！
6,TEXT_REGWILTHEWAKINGSANDS_00131_TATARU_000_050,这个也顺利完成！那个也没问题了……<br>这可是沙之家有史以来最重要的任务！<br>接待处也会加油的！
7,TEXT_REGWILTHEWAKINGSANDS_00131_TATARU_000_060,<name:玩家全名>来救我们的时候，<br>我哭得一塌糊涂呢……你要替我保密啊。
8,TEXT_REGWILTHEWAKINGSANDS_00131_TATARU_000_070,啊，<name:玩家全名>！<br>虽然和加雷马帝国的战斗告一段落了，<br>不过还是有些其他的问题堆积如山。
9,TEXT_REGWILTHEWAKINGSANDS_00131_TATARU_000_071,今后也要拜托你了。<br>当然我也会努力的！
