key,0,1
#,,
int32,str,str
0,"TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_TALK_Q1","何を聞く？"
1,"TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_TALK_A1","「ロウェナ商会取引」とは？"
2,"TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_TALK_A2","「収集品」とは？"
3,"TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_TALK_A3","「スクリップ」とは？"
4,"TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_TALK_A4","「収集品」の納品について"
5,"TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_TALK_A5","「収集品の製作方法」とは？"
6,"TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_TALK_A6","「収集品の採集方法」とは？"
7,"TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_TALK_A7","キャンセル"
8,"TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_LYDIRLONA_000_000","裕福な好事家が求める「収集品」を買取る制度です。
買取対象は、注文状況に応じて変動しますので、
都度「収集品納品窓口」に、お問い合わせください。"
9,"TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_LYDIRLONA_000_001","買取対象の「収集品」を持ち込んでくだされば、
その「収集価値」に応じて、
適切な価格で引き取らせていただきます。"
10,"TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_LYDIRLONA_000_002","ただし対価につきましては、我が商会の独自通貨……
「クラフタースクリップ」、「ギャザラースクリップ」での、
お支払いとなりますので、ご了承ください。"
11,"TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_SYSTEM_000_003","「クラフタースクリップ」、「ギャザラースクリップ」は、
レベル50以上で入手することができます。"
12,"TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_LYDIRLONA_000_010","「収集品」とは、好事家たちが求める品のことです。
目利きの好事家たちを、どれほど満足させるか……
「収集価値」で、その価値を判断しております。"
13,"TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_LYDIRLONA_000_011","ただし、特定の好事家向けの品ゆえ、
ギルでの売買や、製作の素材としては利用できません。
あくまでも収集を目的とした品なのです。"
