Index,0:？,1:？
0,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_000,我想到了进一步强化武器的方法，<br>不过你的武器现在还没到尝试这个方法的阶段。<br>等你在涌火地带把该干的事情干完了再过来吧！
1,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_010,……现在回想起来，<br>我可是陪着你在优雷卡强化了不少武器啊。<br>不过这也马上快要到头了。
2,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_011,上回我利用记忆嵌写的方法锻造了坯料。<br>到了这个阶段，就用不着做多余的强化了。
3,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_012,利用水晶或者是素材的以太，<br>让嵌写后的记忆活性化起来，以便提升武器的基本性能。<br>这样就算是大功告成了！
4,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_013,对了，在开始之前我先跟你嘱咐一声。<br>在强化过一次武器后，<br>就没法利用幻想嵌写器赋予能力了。
5,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_014,不过要是等武器最终强化完成了的话，<br>那还是可以再次赋予能力的。<br>你就放心吧。
6,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_015,……我也说明得够详细的了。<br>为了我能够还债，顺便强化你的武器，<br>赶紧给我把需要的素材凑齐拿过来！
7,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_SYSTEM_000_016,对“禁地兵装·涌火”进行强化后，<br>将暂时无法对其赋予副属性。
8,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_SYSTEM_000_017,不过，当完成所有丰水地带的武器强化后，<br>就可以再次赋予副属性。
9,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_100_020,我听说你们在总部塔的上层发现了一种有趣的素材，<br>是叫“{{Item|24808|0}}”对吧。
10,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_110_020,使用这种素材应该可以对完成了的你的搭档赋予属性之力。<br>你要是带着的话就拿来给我看看吧！
11,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_SYSTEM_120_020,将{{Item|24808|0}}作为素材使用，<br>可以为“禁地兵装最终形态”赋予“元素加持”的副属性。
12,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_SYSTEM_130_020,被赋予“元素加持”后，<br>禁地兵装的所有属性值都会得到强化，<br>能使玩家在禁地优雷卡进行战斗时变得更为有利。
13,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_SYSTEM_140_020,另外，元素加持不会改变武器的形状、外观效果<br>以及攻击力等其他数值。
14,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_020,哟，你来了啊。<br>那就开工吧！
15,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_Q1_000_000,要做什么？
16,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_A1_000_001,强化禁地兵装
17,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_A1_000_002,提供{{Item|24808|0}}
18,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_A1_000_003,询问有关禁地兵装的强化
19,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_A1_000_004,取消
20,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_100,……啊？<br>你这不是根本没有可以强化的武器吗！<br>我可是大忙人，别闲的没事逗我玩！
21,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_Q2_001_000,要强化哪个武器？
22,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_A2_001_001,强化<Item:<var:1>:0>
23,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_A2_001_003,强化<Item:<var:1>:0>和<Item:<var:2>:0>
24,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_A2_001_002,取消
25,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_130,……喂，这个<Item:<var:1>:0>，你不是装备着呢吗。<br>想要强化的话，先把武器卸下来再来找我。
26,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_140,……你是想要强化<Item:<var:1>:0>吧？<br>好吧，先让我看看你有没有准备好素材。
27,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_150,……喂喂，{{Item|24807|0}}可不够数啊。<br>要想强化的话，还需要<var:1>个呢。<br>赶紧给我去把素材准备齐了！
28,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_SYSTEM_000_151,要想强化<Item:<var:1>:0>，<br>需要{{Item|24807|0}}达到规定数量。
29,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_SYSTEM_000_152,此外根据强化阶段的不同，<br>需要不同于{{Item|24807|0}}的道具。<br>请和其他玩家互相交换信息，努力寻找。
30,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_160,……{{Item|24807|0}}的数量是够了。<br>但是想要再次强化的话，还需要一种其他的道具。<br>反正你现在手里没有，赶紧去仔细找找吧！
31,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_SYSTEM_000_161,要想强化<Item:<var:1>:0>，<br>除了需要{{Item|24807|0}}以外，还需要特定的道具。<br>请和其他玩家互相交换信息，努力寻找。
32,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_170,……是<Item:<var:1>:0>啊。<br>使用这个的话确实可以进行强化……但是数量不够啊。<br>不知道你是在哪里找到的，反正还差<var:2>个，赶紧拿过来吧！
33,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_SYSTEM_000_171,要想强化<Item:<var:1>:0>，<br>需要<Item:<var:2>:0>达到规定数量。
34,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_180,……喂，怎么没有<Item:<var:1>:0>啊。<br>我就顺便跟剑一起给你强化了吧。<br>趁我没改变想法之前，赶紧拿过来！
35,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_SYSTEM_000_181,要想强化<Item:<var:1>:0>，<br>需要持有<Item:<var:2>:0>才行。
36,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_190,……仔细一瞧，<br>你不是已经拿着我给你强化完成的<Item:<var:1>:0>了吗。<br>没有必要强化出两个相同的武器，要想强化就换一个别的武器吧！
37,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_SYSTEM_000_191,已经持有<Item:<var:1>:0>，<br>无法进行强化。
38,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_200,……这样的话素材的数量足够了。<br>那就赶紧把武器和素材交给我吧。
39,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_210,你就稍微等一会，<br>我这就给你强化出来！
40,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_220,真不愧是我的手艺。<br>拿去吧，我用丰水地带的素材给它强化完了。<br>它的新名字就叫……
41,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_230,<Item:<var:1>:0>与<Item:<var:2>:0>！
42,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_240,<Item:<var:1>:0>！
43,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_250,跟以往一样，<br>这把武器用丰水地带的素材还能进一步进行强化。<br>你就再凑齐素材来找我吧！
44,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_260,终于完成了。<br>我用这座岛屿的素材打造出的你的搭档，<br>你就瞪大眼睛好好看看吧，其名为……
45,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_270,<Item:<var:1>:0>与<Item:<var:2>:0>！
46,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_280,<Item:<var:1>:0>！
47,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_290,这样一来，用这座岛屿的素材强化的武器到此就算基本完成了。<br>最后只剩下做些调整就行。<br>……也就是说，下一次就能最终完成了。
48,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_291,你给听好了，为了我能还债，也为了你的搭档，<br>赶紧给我把需要的素材凑齐拿过来！
49,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_300,呵，不愧是我干的活，真是漂亮。<br>现在你的搭档总算完成了。<br>其名为……
50,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_310,<Item:<var:1>:0>与<Item:<var:2>:0>！
51,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_320,<Item:<var:1>:0>！
52,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_330,我不愧是个天才！<br>居然能做出这样的武器，连我自己都惊讶于自身的才能……
53,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_DRAKE_000_331,师父大人，就在刚才补给品送到了，<br>与补给品一同送过来的还有来自罗薇娜小姐的信件。
54,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_333,罗薇娜写的？<br>还专门写信什么的，到底什么内容啊？
55,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_303,这、这是……借据！<br>而且还盖着已还清的印章！
56,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_DRAKE_000_334,太好了，师父大人！
57,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_335,我总算是自由之身了吗。<br>呜，怎么感觉有一股热泪盈眶……
58,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_336,嗯？和借据叠在一起的还有另外一张纸啊。<br>这是……
59,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_337,帐、账单？！<br>而且还跟已还清债务的金额一模一样？！
60,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_DRAKE_000_338,师父大人到底买了什么啊？！
61,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_339,不是、没有、那个、因为我闲暇的时候比较多，<br>所以就向补给负责人要了些酒……<br>可就算是在孤岛上，这酒的价格也不该百倍往上翻吧！
62,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_DRAKE_000_340,看来师父大人还是不能离开优雷卡呢……
63,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_341,……咳，看来又得想些办法还债才行啊。<br>你也来帮帮忙吧。<br>只要你把能当做素材的东西拿给我看看就行了。
64,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_343,总之这件事先放一边。<br>就像我最初说的那样，你的搭档算是完成了。
65,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_345,尽管我是个天才，但也只能帮你到这了。<br>之后就看你能不能熟练使用它了。<br>可别跟我说你做不到。
66,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_346,那就好，那你就带上你的搭档一起去实战一下吧！
67,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_SYSTEM_000_349,使用“<ContentFinderCondition:<var:1>:36>”的幻想嵌写器<br>可以对“禁地兵装最终形态”赋予副属性了。
68,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_350,看来我又制作了一个杰作。<br>我的才能真是无穷无尽啊。<br>嗯……我欠下的债也是无穷无尽呢……
69,TEXT_CTSERKEUREKA4WEAPONGEROLT_00559_GEROLT_000_351,总之，这样就算完成了。<br>等你能够熟练地使用它以后，<br>就去一试身手吧！
