key,0,1
#,,
int32,str,str
0,"TEXT_CTSOPN52WANDERINGWRITER_00667_CFC_TO_INSTANCE_CONTENT","<Sheet(ContentFinderCondition,IntegerParameter(1),3)/>"
1,"TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_000_000","おやおや～、お使いのエキスパ……い、いや、
解放者くん、ご無沙汰、ご無沙汰！
イヴァリース探索ではジェノミスを含めてホント世話になったね！"
2,"TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_000_001","ここがガンゴッシュ……ボズヤ・レジスタンスの拠点なんだねぇ！
無地鼓座には内緒だけど、戯曲のネタに困っていてね……。
ここなら新たな刺激を得られるんじゃないかと、来たってわけさ。"
3,"TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_100_000","何か、面白い冒険譚でもあったら、是非とも聞かせて欲しいな。
キミを主役にした戯曲にしてあげるからさ！
……おや、何かあるといった表情だねぇ？"
4,"TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_100_050","何か訊きたいことはあるかい？"
5,"TEXT_CTSOPN52WANDERINGWRITER_00667_Q1_000_000","何の話をする？"
6,"TEXT_CTSOPN52WANDERINGWRITER_00667_A100_000_000","異邦の劇作家の話が聞きたい"
7,"TEXT_CTSOPN52WANDERINGWRITER_00667_A1_000_000","キャンセル"
8,"TEXT_CTSOPN52WANDERINGWRITER_00667_Q2_000_100","何を聞く？"
9,"TEXT_CTSOPN52WANDERINGWRITER_00667_A1_000_100","聖剣セイブ・ザ・クイーンについて"
10,"TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_500_000","記憶の中での戦い……？
それはなかなか興味深い物語だねぇ……。
よかったら、詳しく聞かせてくれないかな？"
11,"TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_500_001","ほほ～～、シドくんの記憶の中で戦ったヴァリス帝か……
幻の記憶だったとはいえ、ヴァリス帝の強さを、
その戦闘力を窺い知るには十分だったというわけだね……。"
12,"TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_500_002","ヴァリス帝の尊顔を拝したことは何度かあったが、
その戦いぶりを間近で見たことは私はない……。
だが、その豪腕ぶり、大力無双ぶりなら聞き及んでいるよ。"
13,"TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_500_003","いいねぇ、フラッシュアイデアだが、ネタが浮かんだよ。
記憶の中のヴァリス帝と初めて刃を交える解放者くん……
うん、直前のやりとりはこうだ、聞いてくれたまえ！"
14,"TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_500_004","『汝は何故に我が剣の行く手を塞ごうというのか。
　それは自らの欠点を知らぬ幼子のように　いつしか
　すべての行為が己に跳ね返り　無垢な手を血で染めるだけ』"
15,"TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_500_005","『さてや　驕りというのはここまで醜悪な色を纏うものか
　臆病を知らぬ者ほど尊大になり他者を笑う
　心の傷を侮る者は　己の心を知らぬ者なり！』"
16,"TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_500_006","う～ん、まだまだ推敲が足りないねぇ。
やはりその場にいないと真実から離れるというものだ。
キミが経験し感じたモノにほど遠い気がするよ……。"
17,"TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_500_007","悪いがもう少し詳しく聞かせてもらえるかな。
擬音ばかりでも構わないから、
状況を克明に描写してくれると助かるよ……。"
18,"TEXT_CTSOPN52WANDERINGWRITER_00667_SYSTEM_500_008","「極シタデル・ボズヤ追憶戦」で入手可能な「<Sheet(Item,30227,0)/>」は、
レヴナンツトールの「カ・インタナ」に渡すことで、
アイテムと交換できます。"
19,"TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_600_000","グンヒルドの剣の複刻をしたんだって？
いやぁ、さすが解放者くんだねぇ、お見事お見事！
これでボズヤ・レジスタンスも一枚岩になりそうだ！"
20,"TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_600_001","グンヒルドの剣といえばボズヤに語り継がれる伝説の秘宝。
詳しく私にも聞かせて欲しいねぇ。
今後の戯曲執筆の参考にさせてもらうよ。"
21,"TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_600_002","おっと……そういえば、女王グンヒルドのみに帯剣が許された、
女王の証とでもいうべき聖なる剣もあるそうだねぇ。
名前はたしか……「セイブ・ザ・クイーン」だったかな。"
22,"TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_600_003","それしか知らないからね、ボズヤの皆さんから伝承を集めてみるよ。
情報が揃ったら、もちろんキミにもフィードバックするさ。
期待して待っていてくれたまえ！"
