Index,0:？,1:？
0,TEXT_FESESTADDBUNNY_00665_GENBU_000_050,哎呀！遇到了一张熟悉的面孔啊——<br>距离上次一别感觉已经过去了很久呢——<br>我还是一如既往地在不断进行着修行——
1,TEXT_FESESTADDBUNNY_00665_GENBU_000_051,(-老人的声音-)所以为了让你调节心情，我不是允许你去参加庆典了吗！<br>照这样下去距离你得到与第二代般配的力量不知道还要花几百年……<br>黄龙的威胁可还没有消失呢！
2,TEXT_FESESTADDBUNNY_00665_GENBU_000_052,这个我当然知道——<br>也不是每次都会有人来帮忙——<br>为了亲手保护红玉海，今后我也会努力的——
3,TEXT_FESESTADDBUNNY_00665_GENBU_000_053,(-老人的声音-)……呵呵呵，没错，这家伙一直很努力呢。<br>你看起来也平安无事，真是太好了。
4,TEXT_FESESTADDBUNNY_00665_GENBU_000_054,……呵呵呵，已经不记得有多久没造访过人类的村子了……<br>面对即将到来的灾难，得抓紧寻找有能力的人才行……
5,TEXT_FESESTADDBUNNY_00665_SEIRYU_000_055,呀，<name:玩家全名>。<br>好久不见，都想你了。<br>带着一只不能飞不能游的白猫移动，真是累死了。
6,TEXT_FESESTADDBUNNY_00665_SEIRYU_000_056,话说这身打扮行动起来真是不方便。<br>真没想到不能爬行居然会这么痛苦。<br>或许用神通力把你变成蛇的话，你就能明白我的辛苦了吧？
7,TEXT_FESESTADDBUNNY_00665_SEIRYU_000_057,……呵呵呵，开玩笑啦。<br>对于我们来说，你是崇高的存在……就像那个人一样。<br>如果不小心弄伤你的话，真不知道他们三个会怎么收拾我呢……
8,TEXT_FESESTADDBUNNY_00665_SEIRYU_000_058,不过……如果真有人伤害你的话，<br>我也不会坐视不理的……
9,TEXT_FESESTADDBUNNY_00665_SEIRYU_000_059,我在这种地方做什么……<br>自从失去他之后，我就断绝了与人类的一切来往……
10,TEXT_FESESTADDBUNNY_00665_BYAKKO_000_060,……唔，是你……<br>还记得上次离别时我说的话吗？<br>我说了让你再来造访神社吧……
11,TEXT_FESESTADDBUNNY_00665_BYAKKO_000_061,可结果呢？<br>我等了那么久，你都没有出现。<br>再这样下去，恐怕因为过度寂寞导致我的荒魂再次……
12,TEXT_FESESTADDBUNNY_00665_BYAKKO_000_062,哈哈哈！开玩笑的啦！<br>你真以为我会那样说吗？<br>我又不是某处的鸟或蛇！
13,TEXT_FESESTADDBUNNY_00665_BYAKKO_000_063,不过等了你很久倒是真的。<br>毕竟对于我们来说，你是少有的朋友。<br>所以当然会非常想见你啦！
14,TEXT_FESESTADDBUNNY_00665_BYAKKO_000_064,人类果然是崇高的生物。<br>如果我的灵魂失控的话，这些人就会不幸成为牺牲品……<br>无论如何都要避免这种情况发生……
15,TEXT_FESESTADDBUNNY_00665_SUZAKU_000_065,……我做了个梦。<br>是在洋馆当中，有好多那个人一起跳舞的梦……<br>多么美……啊不，奇妙的梦啊……
16,TEXT_FESESTADDBUNNY_00665_SUZAKU_000_066,……你是不是觉得我还是老样子？<br>即使这样，别人也说我视野已经比以前开阔多了……
17,TEXT_FESESTADDBUNNY_00665_SUZAKU_000_067,如果一味地只去想那个人的话，<br>会很容易忽略掉眼前人的。
18,TEXT_FESESTADDBUNNY_00665_SUZAKU_000_068,就像我从那个人身上得到了很多幸福一样，<br>我也想为别人带去幸福。<br>我很高兴自己最近能够这样想。
19,TEXT_FESESTADDBUNNY_00665_SUZAKU_000_069,如果我能再强大一些的话……<br>说不定就能和那个人一起来享受祭典了……
20,TEXT_FESESTADDBUNNY_00665_ZUIZYU_000_070,(-猫一样的声音-)终于找到你了喵。<br>镰鼬那家伙一直嚷嚷着要见你，真是烦死了喵。
21,TEXT_FESESTADDBUNNY_00665_ZUIZYU_000_071,(-鼬一样的声音-)别、别骗人了！<br>我可没这么说过！
