key,0,1
#,,
int32,str,str
0,"TEXT_JOBDEFROLEALL_00620_CYELLA_000_000","いらっしゃいませ、ようこそ「彷徨う階段亭」へ。
ってなんだ、その目は、これでもまだウェイトレスなんだ。
悪いが冷やかしなら帰ってくれ。"
1,"TEXT_JOBDEFROLEALL_00620_CYELLA_100_000","おや、今日はずいぶんと珍しい格好で……。"
2,"TEXT_JOBDEFROLEALL_00620_CYELLA_200_000","やあ、私も見てしまったよ。
平然と街を歩く、アルバートの姿をね……。
いや、いまはこの話はやめておこう。"
3,"TEXT_JOBDEFROLEALL_00620_CYELLA_201_000","いらっしゃいませ、ようこそ「彷徨う階段亭」へ。"
4,"TEXT_JOBDEFROLEALL_00620_CYELLA_300_000","いらっしゃいませ、ようこそ「彷徨う階段亭」へ。
ってなんだ、君だったか……。"
5,"TEXT_JOBDEFROLEALL_00620_CYELLA_301_000","人々はアルバートが本当に蘇ったと信じているようだ。
本物の彼を知る者として、複雑な気持ちだね……。"
6,"TEXT_JOBDEFROLEALL_00620_CYELLA_310_000","やり遂げたって顔をしてるじゃないか。"
7,"TEXT_JOBDEFROLEALL_00620_CYELLA_311_000","なんだか少しホッとしたよ。
君が為すべきことを為したと思えるなら、
それが奴に……アルバートにとっても良い結末のはずだからな。"
8,"TEXT_JOBDEFROLEALL_00620_CYELLA_312_000","これで、私が語り部として語るべき、
この世界における英雄譚は、ひとつの結びを迎えたわけだ。
その続きは……君が好きに編んでくれ。"
9,"TEXT_JOBDEFROLEALL_00620_Q1_000_050","何を聞く？"
10,"TEXT_JOBDEFROLEALL_00620_A1_000_051","近況について"
11,"TEXT_JOBDEFROLEALL_00620_A1_000_052","「影の王」とは？"
12,"TEXT_JOBDEFROLEALL_00620_A1_000_053","「光の戦士」とは？"
13,"TEXT_JOBDEFROLEALL_00620_A1_000_054","キャンセル"
14,"TEXT_JOBDEFROLEALL_00620_CYELLA_000_060","グリナードと酔っぱらいどもの世話役に逆戻りさ。
まさか、この暮らしこそが、君の考えた罰ってことか？
だとしたら、これ以上ないほど効果をあげているぞ……！"
15,"TEXT_JOBDEFROLEALL_00620_CYELLA_000_061","それはともかくとして、最近は給仕の合間に余興として、
客たちに「光の戦士たち」についての話を聞かせている。
もちろん真実をな……。"
16,"TEXT_JOBDEFROLEALL_00620_CYELLA_000_062","正直、酔っぱらいどもが、
どれだけ私の話を信じ、覚えていてくれるのかは定かじゃない。
だが、それでも語り続けるさ、彼らの名誉のためにな。"
17,"TEXT_JOBDEFROLEALL_00620_CYELLA_000_063","最近は給仕の合間に余興として、
客たちに「光の戦士たち」についての話を聞かせていたが……
なんでも、君の口から人々に彼らの真実を語ったそうだな。"
18,"TEXT_JOBDEFROLEALL_00620_CYELLA_000_064","おかげで彼らの名誉も回復しそうではあるが、
問題は、あの「アルバートを騙る男」の存在だろう……。
言われるまでもないとは思うが、奴の動向には気をつけてくれよ。"
19,"TEXT_JOBDEFROLEALL_00620_CYELLA_000_065","最近じゃあ、君たちの活動もあって、
客のほうから「光の戦士たち」について語ってくれと、
せがまれるようになってな……。"
20,"TEXT_JOBDEFROLEALL_00620_CYELLA_000_066","「アルバートを騙る男」も消えたことで、
ようやく、真実の物語について語れるようになった。
まだまだ語り部としての役割は続きそうだよ。"
21,"TEXT_JOBDEFROLEALL_00620_CYELLA_000_070","現代のノルヴラントでは、闇を司る存在と考えられている。
その「影の王」を大罪人たる「光の戦士たち」が倒したことで、
「光の氾濫」が起こったというわけだな。"
22,"TEXT_JOBDEFROLEALL_00620_CYELLA_000_071","これは、ある一面においては正しい。
闇に呑まれた「第十三世界」から渡ってきた私は、
アシエンの計画に従い、闇の勢力の長になったのだから。"
23,"TEXT_JOBDEFROLEALL_00620_CYELLA_000_072","「影の王」たる私に与えられた役割は、主にふたつ。
ひとつは、アルバートたちが英雄として歩むために、
成長を助けつつ、倒すべき目標を演じること。"
24,"TEXT_JOBDEFROLEALL_00620_CYELLA_000_073","そのために私は、レイクランド連邦の守旧派など、
各地にいる不満を溜め込んだ連中を煽り、混沌を広めたのさ。"
25,"TEXT_JOBDEFROLEALL_00620_CYELLA_000_074","もうひとつの役割は、最終的に英雄たちを倒し、
光の力の増大を、ギリギリのタイミングで止めること。
そのために英雄から力を奪いもしたが、結局、敗れたんだ。"
26,"TEXT_JOBDEFROLEALL_00620_CYELLA_000_080","「光の氾濫」を引き起こし、世界を破滅に導いた大罪人だ。
アルバートを筆頭に、ラミット、ブランデン、レンダ・レイ、
そして、ナイルベルトの計5名で構成されている。"
27,"TEXT_JOBDEFROLEALL_00620_CYELLA_000_081","……というのは、あくまで歪められた歴史でね。
彼らは、ただの気のいい連中だったよ。"
28,"TEXT_JOBDEFROLEALL_00620_CYELLA_000_082","それが出会った人々を助けるうちに、
やがて「英雄」として称えられ、頼られる存在になっていった。
その立場さえ一夜にして崩れ、世界を滅ぼした大罪人ときたもんだ。"
29,"TEXT_JOBDEFROLEALL_00620_CYELLA_000_083","だが、決して彼らは諦めなかった。
白法衣のアシエンと組み、自らの命を絶って原初世界に渡り……
それ以降のことは、君の方が詳しいはずだろう？"
