key,0,1
#,,
int32,str,str
0,"TEXT_REGNOR4CRYSTALEXARCH_00611_MYSTERYVOICE_000_000","なっ、原初世界に戻ったのでは！？
まさか、私の転移術がまた失敗……"
1,"TEXT_REGNOR4CRYSTALEXARCH_00611_MYSTERYVOICE_000_001","したわけではないのだな……よかった……。"
2,"TEXT_REGNOR4CRYSTALEXARCH_00611_MYSTERYVOICE_000_010","ああ、<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>。
あちらの世界での用事は済んだのか？
それとも……こっちに、新たな冒険が？"
3,"TEXT_REGNOR4CRYSTALEXARCH_00611_MYSTERYVOICE_000_020","ヤ・シュトラは、ウリエンジェのもとへ向かったよ。
私は残って、必要な資材や設備を見繕っているところだ。"
4,"TEXT_REGNOR4CRYSTALEXARCH_00611_MYSTERYVOICE_000_021","「白聖石」の方は、私たちに任せて、
あなたは、あなたにしかできないことに注力してくれ。"
5,"TEXT_REGNOR4CRYSTALEXARCH_00611_MYSTERYVOICE_000_030","おや、あちらの世界での用事はいいのか？
私の方は、記憶も持ち帰れる「新たな魔具」を作るため、
この身に掛けられた術の解析を続けているよ。"
6,"TEXT_REGNOR4CRYSTALEXARCH_00611_Q1_000_500","どうする？"
7,"TEXT_REGNOR4CRYSTALEXARCH_00611_A1_000_501","近況について聞く"
8,"TEXT_REGNOR4CRYSTALEXARCH_00611_A1_000_502","「マメット・グ・ラハ」を見せる"
9,"TEXT_REGNOR4CRYSTALEXARCH_00611_A1_000_503","「グ・ラハ・ティア」と呼んでみる"
10,"TEXT_REGNOR4CRYSTALEXARCH_00611_A1_000_504","キャンセル"
11,"TEXT_REGNOR4CRYSTALEXARCH_00611_MYSTERYVOICE_000_510","おかげさまで、ノルヴラントはあるべき姿を取り戻した。
変化にあたって多少の混乱こそあるものの、
人々は夜の闇を受け入れて、たくましく暮らしはじめたようだ。"
12,"TEXT_REGNOR4CRYSTALEXARCH_00611_MYSTERYVOICE_000_511","仲間の皆は、各地に散って、
変わりゆく人々に添っているようだ。"
13,"TEXT_REGNOR4CRYSTALEXARCH_00611_MYSTERYVOICE_000_512","アルフィノは、ユールモアへ……
アリゼーは、旅立ちの宿へ……。
そしてヤ・シュトラは、魔女として「夜の民」のもとへ。"
