key,0,1
#,,
int32,str,str
0,"TEXT_REGOTH4MYCBWAGI_00694_BWAGI_000_000","撤退は済んダようダナ……それにしてもビックリしたゼ……。
……姐さんから託かった情報を届けるよう命じられたンだガ、
まさかボズヤでもあんな「異形の者」を目にしようとはナ……。"
1,"TEXT_REGOTH4MYCBWAGI_00694_BWAGI_000_001","……よくわからんガ、どうやら複雑な事情のようダナ。
オレは連絡要員としてしばらくこのボズヤに留まる予定ダ。
また、よろしくお願いするゼ。"
2,"TEXT_REGOTH4MYCBWAGI_00694_BWAGI_000_002","ところで、オレに何か聞きたい事はあるカナ？"
3,"TEXT_REGOTH4MYCBWAGI_00694_Q30_000_000","何を聞く？"
4,"TEXT_REGOTH4MYCBWAGI_00694_A30_000_000","ダルマスカからの情報について"
5,"TEXT_REGOTH4MYCBWAGI_00694_A30_000_001","ブワジについて"
6,"TEXT_REGOTH4MYCBWAGI_00694_A30_000_0010","キャンセル"
7,"TEXT_REGOTH4MYCBWAGI_00694_BWAGI_100_000","今回、オレがこのボズヤに派遣されたのはそれを伝えるためダ。
リーダーであるバイシャーエン殿に届けるという命令ダガ、
他ならぬアンタだ、いいだろう、情報を共有しヨウ……。"
8,"TEXT_REGOTH4MYCBWAGI_00694_BWAGI_100_001","ボズヤの反撃作戦の開始と同時にヒエン様の号令がかかってナ、
オレたちダルマスカとナグサのレジスタンスも、
大規模な反撃作戦を開始したってワケダ。"
9,"TEXT_REGOTH4MYCBWAGI_00694_BWAGI_100_002","ダルマスカではカストルム・アミーキティア……
かつて王国を守護する鉄壁の要塞とうたわれた、
ナルビナ城塞の奪還作戦が実行されたンダ。"
10,"TEXT_REGOTH4MYCBWAGI_00694_BWAGI_100_003","両軍に多くの死傷者を出したモノノ、オレたちは奪還に成功！
駐留していた第IV軍団は尻尾を巻いて逃げていっタゼ。
ナグサでも兵站が置かれていた港の奪還に成功したらシイ。"
11,"TEXT_REGOTH4MYCBWAGI_00694_BWAGI_100_004","ダルマスカもナグサも、今回の勝利で喜んでいるンだガ、
姐さんは様子がオカシイ……そう言うンだナ。
第IV軍団にしては抵抗が薄すぎる……ッテわけダ。"
12,"TEXT_REGOTH4MYCBWAGI_00694_BWAGI_100_005","そんなわけで、オレたちは気を引き締め、
第IV軍団の出方を見張っているンだガ、
連中ときたらバルナインの本隊を動かそうとはシナイ……。"
13,"TEXT_REGOTH4MYCBWAGI_00694_BWAGI_100_006","ヴァリス帝の暗殺により帝国中央が大混乱なのは知ってるヨナ？
後継者争いに端を発した戦いはすでに内乱の様相を帯びてイル。
イヤ……内乱そのものと言ってイイ！"
14,"TEXT_REGOTH4MYCBWAGI_00694_BWAGI_100_007","情報によると第IV軍団には帝都への帰還命令が出ているらシイ。
だが、ガブラスの野郎はそれを無視……。
ダルマスカに新たな「王国楽土」を築くと宣言したッテ話だゼ。"
15,"TEXT_REGOTH4MYCBWAGI_00694_BWAGI_100_008","どうやら本国とは仲違いしたッテことのようダナ。
それは、つまり、もう本国からの援助はないッテことを意味スル。
……やっこさんたち、自力で戦いを続けにゃいかんッテことさ。"
16,"TEXT_REGOTH4MYCBWAGI_00694_BWAGI_100_009","千載一遇のチャンスと考え、一気に第IV軍団を叩こう……
そう主張する者も多いンだガ……オレも同意見なンだガ……
姐さんは確かな情報を掴むまでは待て……と。"
17,"TEXT_REGOTH4MYCBWAGI_00694_BWAGI_100_010","ボズヤにこの情報を伝えつつ、逆にボズヤの動向を……
第IV軍団の動きを事細かに伝えるようにと、
このオレが派遣されたッテわけサ。"
18,"TEXT_REGOTH4MYCBWAGI_00694_BWAGI_100_011","だが、今回、この南方ボズヤに現れた闘神を見るに、
姐さんの心配が当たった……ッテことのようダゼ。
やはり、ガブラスの野郎……侮れねぇナ……！"
19,"TEXT_REGOTH4MYCBWAGI_00694_BWAGI_100_100","オレかい？
今は元王国銃士としてレジスタンスに、
身を捧げてる……ッテ感じカナ。"
20,"TEXT_REGOTH4MYCBWAGI_00694_BWAGI_100_101","同じ第IV軍団を相手に戦っている同志だからナ、
しばらくはボズヤとダルマスカの連絡要員として、
このガンゴッシュに世話になるゼ、よろしくナ！"
21,"TEXT_REGOTH4MYCBWAGI_00694_TALK_ACTOR","（★未使用／削除予定★）"
