key,0,1
#,,
int32,str,str
0,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_000","我々は来る反攻作戦のために、更なる準備を進めます。
その時は是非、解放者殿も参画を願います！！
その日までしばしお待ちくださいませ！！"
1,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_001","……何か確認したいことはございますか？"
2,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_005","すでに反撃作戦は始まっております。
まずは最前線のウトヤ前哨地へお急ぎください。
船着場の前にいるセロウシュがご案内致します。"
3,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_006","……何か確認したいことはございますか？"
4,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_010","ウトヤ前哨地を一歩外へ出るとそこはまぎれもなく戦場です。
新生グンヒルドの剣のおかげで皆の士気は高まっており、
必ずやカストルム・ラクスリトレを落とすことができましょうぞ！"
5,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_011","……何か確認したいことはございますか？"
6,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_015","私はまだミーシィヤが裏切ったとは信じられません。
ですが、今思えば、彼女はひとりで思い詰めているような、
けっして心を開かないといった側面もあったような気がします。"
7,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_016","……何か確認したいことはございますか？"
8,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_020","いよいよカストルム・ラクスリトレ攻城戦ですね。
なんとしてもあの城塞を落とし、ミコト殿をお助けせねば！
私も一命を賭して戦い、必ずや勝利を我々の手に……！"
9,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_021","……何か確認したいことはございますか？"
10,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_025","……思わぬ事態となりました。
落としたカストルム・ラクスリトレを放棄させられただけでなく、
新生グンヒルドの剣らを失うとは……。"
11,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_026","メネニウスは駐留する第IV軍団の戦力不足を補うために……
我々の反撃を阻むためにこの計劃を企てたのだとしたら……
恐ろしい策士を我々は敵にしているのかもしれません。"
