key,0,1
#,,
int32,str,str
0,"TEXT_CTSMJICONSTRUCTLANDMARK_00788_TALK_ACTOR","0"
1,"TEXT_CTSMJICONSTRUCTLANDMARK_00788_SYSTEM_000_000","どうする？"
2,"TEXT_CTSMJICONSTRUCTLANDMARK_00788_Q1_000_001","ランドマークの建築"
3,"TEXT_CTSMJICONSTRUCTLANDMARK_00788_Q1_000_002","ランドマークの建て替え"
4,"TEXT_CTSMJICONSTRUCTLANDMARK_00788_Q1_000_003","ランドマークの移築"
5,"TEXT_CTSMJICONSTRUCTLANDMARK_00788_Q1_000_010","キャンセル"
6,"TEXT_CTSMJICONSTRUCTLANDMARK_00788_SYSTEM_000_200","ランドマーク管理用の看板のようだ"
7,"TEXT_CTSMJICONSTRUCTLANDMARK_00788_SYSTEM_000_300","建築完了までには一定の時間を要します。
完成予定時刻は、その土地の管理板より確認することができます。
他のことをしながら、完成するのを待ってみましょう！"
