key,0,1
#,,
int32,str,str
0,"TEXT_CTSOPN60NEMJIJI_00732_CFC_TO_INSTANCE_CONTENT","<Sheet(ContentFinderCondition,IntegerParameter(1),3)/>"
1,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_000","調査へのご協力、誠にありがとうございます。
それにしても、報告にあった過去の創造生物……
その生態を考え始めると……ふふふ、推論が捗りますわ……！"
2,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_005","エルピスに資料を所蔵した施設があるかと思いますので、
そちらで情報を得てから、パンデモニウムへとお向かいください。"
3,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_010","貴方のご帰還を、首を長くして待っておりました。
……色んな意味で！！"
4,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_015","さすがはフルシュノ様……迅速、明快な指示でしたね。"
5,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_020","私たちは、フルシュノ様の指示に従い、
これまでの調査結果を、報告書にまとめておきます。
書類仕事は得意ですので、お任せください。"
6,"TEXT_CTSOPN60NEMJIJI_00732_Q1_000_000","何をする？"
7,"TEXT_CTSOPN60NEMJIJI_00732_A1_000_003","調査状況の確認"
8,"TEXT_CTSOPN60NEMJIJI_00732_A1_000_004","キャンセル"
9,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_100","<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>様、少しよろしいでしょうか。
ご報告いただいた過去の世界での出来事について、
もう少し、詳しい話をお聞かせ願いたいのです。"
10,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_101","クリスタルが発した警告の意味、パンデモニウムの結末。
そういった今回の事件に関する事象はすべて、
いずれクローディエン先生が学会へと報告なさるでしょう。"
11,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_102","そのときのため、より仔細な記録を残しておきたいのです。
具体的には……そう、「辺獄」で貴方が対面した、
脅威的存在たちについて、もっともっと……！"
12,"TEXT_CTSOPN60NEMJIJI_00732_RUISSENAUD_000_103","ネムジジさん！　頼まれた資料を揃えましたが、
あれ、本当に全部クリスタルの謎を解明するのに必要なんですか？"
