key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSC104_00955_SEQ_00","キャンプ・ドライボーンのエーテル学者ランベルタンは、冒険者にクリスタル収集方法を教えてくれるそうだ。"
1,"TEXT_GAIUSC104_00955_SEQ_01","ランベルタンから偏属性クリスタルを入れる「<Sheet(EventItem,2000741,0)/>」を受け取った。ハイブリッジにいる彼の弟子「ハハサコ」に渡し、話を聞こう。"
2,"TEXT_GAIUSC104_00955_SEQ_02","ハハサコはハイブリッジでクリスタルについての研究をしているらしい。冒険者の偏属性クリスタル探索に協力してくれるそうだ。"
3,"TEXT_GAIUSC104_00955_SEQ_03",""
4,"TEXT_GAIUSC104_00955_SEQ_04",""
5,"TEXT_GAIUSC104_00955_SEQ_05",""
6,"TEXT_GAIUSC104_00955_SEQ_06",""
7,"TEXT_GAIUSC104_00955_SEQ_07",""
8,"TEXT_GAIUSC104_00955_SEQ_08",""
9,"TEXT_GAIUSC104_00955_SEQ_09",""
10,"TEXT_GAIUSC104_00955_SEQ_10",""
11,"TEXT_GAIUSC104_00955_SEQ_11",""
12,"TEXT_GAIUSC104_00955_SEQ_12",""
13,"TEXT_GAIUSC104_00955_SEQ_13",""
14,"TEXT_GAIUSC104_00955_SEQ_14",""
15,"TEXT_GAIUSC104_00955_SEQ_15",""
16,"TEXT_GAIUSC104_00955_SEQ_16",""
17,"TEXT_GAIUSC104_00955_SEQ_17",""
18,"TEXT_GAIUSC104_00955_SEQ_18",""
19,"TEXT_GAIUSC104_00955_SEQ_19",""
20,"TEXT_GAIUSC104_00955_SEQ_20",""
21,"TEXT_GAIUSC104_00955_SEQ_21",""
22,"TEXT_GAIUSC104_00955_SEQ_22",""
23,"TEXT_GAIUSC104_00955_SEQ_23",""
24,"TEXT_GAIUSC104_00955_TODO_00","ハイブリッジのハハサコに<Sheet(EventItem,2000741,0)/>を渡す"
25,"TEXT_GAIUSC104_00955_TODO_01",""
26,"TEXT_GAIUSC104_00955_TODO_02",""
27,"TEXT_GAIUSC104_00955_TODO_03",""
28,"TEXT_GAIUSC104_00955_TODO_04",""
29,"TEXT_GAIUSC104_00955_TODO_05",""
30,"TEXT_GAIUSC104_00955_TODO_06",""
31,"TEXT_GAIUSC104_00955_TODO_07",""
32,"TEXT_GAIUSC104_00955_TODO_08",""
33,"TEXT_GAIUSC104_00955_TODO_09",""
34,"TEXT_GAIUSC104_00955_TODO_10",""
35,"TEXT_GAIUSC104_00955_TODO_11",""
36,"TEXT_GAIUSC104_00955_TODO_12",""
37,"TEXT_GAIUSC104_00955_TODO_13",""
38,"TEXT_GAIUSC104_00955_TODO_14",""
39,"TEXT_GAIUSC104_00955_TODO_15",""
40,"TEXT_GAIUSC104_00955_TODO_16",""
41,"TEXT_GAIUSC104_00955_TODO_17",""
42,"TEXT_GAIUSC104_00955_TODO_18",""
43,"TEXT_GAIUSC104_00955_TODO_19",""
44,"TEXT_GAIUSC104_00955_TODO_20",""
45,"TEXT_GAIUSC104_00955_TODO_21",""
46,"TEXT_GAIUSC104_00955_TODO_22",""
47,"TEXT_GAIUSC104_00955_TODO_23",""
48,"TEXT_GAIUSC104_00955_LAMBERTEINT_000_000","君の持ってきたオンボロの壺に錬金薬を塗布して、
偏属性クリスタルを入れるための
「<Sheet(EventItem,2000741,0)/>」を作ってあげよう。ふゥ～。"
49,"TEXT_GAIUSC104_00955_LAMBERTEINT_000_001","……ペタペタ……ヌリヌリ……っと。
よし、ほらできた！
私の薄色の頭脳にかかれば、簡単だったね。ふゥ～。"
50,"TEXT_GAIUSC104_00955_LAMBERTEINT_000_002","ここからほど近い「ハイブリッジ」というところに、
「ハハサコ」君という、僕の優秀な弟子がいるんだ。"
51,"TEXT_GAIUSC104_00955_LAMBERTEINT_000_003","彼にこの壺を渡して、
「偏属性クリスタル」の採り方を聞いてみてくれるかい？
優秀な人材には、優秀な弟子が集うんだねぇ。ふゥ～。"
52,"TEXT_GAIUSC104_00955_HAHASAKO_000_010","おうおうおう！
こちとら、こう見えても学者なんでい！
研究の邪魔だぜ、どいたどいたッ！"
53,"TEXT_GAIUSC104_00955_HAHASAKO_000_020","おおッ、この壺は……ランベルタン先生の仕上げか！
もしやてめえ、先生から壺を盗みやがったのか！？
……あれ、違うのかい？"
54,"TEXT_GAIUSC104_00955_HAHASAKO_000_021","……なるほど、偏属性クリスタルを探してるってか！
で、一番弟子の俺に白羽の矢が立ったってワケだな？
う～ん、先生もわかってらっしゃるぜ！"
