Index,0:？,1:？
0,TEXT_JOBMNK001_01121_SEQ_00,林场水车的盖罗尔特有事想要拜托冒险者。
1,TEXT_JOBMNK001_01121_SEQ_01,接受了盖罗尔特的委托。调查南萨纳兰不悔战阵的{{EObj|2002493|0}}，获取{{EventItem|2000990|0}}。
2,TEXT_JOBMNK001_01121_SEQ_02,获得了{{EventItem|2000990|0}}。将{{EventItem|2000990|0}}交给北部林区林场水车的盖罗尔特。
3,TEXT_JOBMNK001_01121_SEQ_03,将{{EventItem|2000990|0}}交给了盖罗尔特。将镶嵌了2个{{Item|5671|0}}的{{Item|1740|0}}交给北部林区林场水车的盖罗尔特。
4,TEXT_JOBMNK001_01121_SEQ_04,将{{Item|1740|0}}交给了盖罗尔特。调查库尔札斯中央高地圣人泪的{{EObj|2003993|0}}，开放死化奇美拉讨伐战。完成死化奇美拉讨伐战，获取{{EventItem|2000999|0}}。<br><br>※可以通过任务搜索器参加。<br>※此任务需要在成为武僧的状态下完成。
5,TEXT_JOBMNK001_01121_SEQ_05,获得了{{EventItem|2000999|0}}。将{{EventItem|2000999|0}}交给北部林区林场水车的盖罗尔特。
6,TEXT_JOBMNK001_01121_SEQ_06,将{{EventItem|2000999|0}}交给了盖罗尔特。和摩杜纳丧灵钟的罗薇娜对话。
7,TEXT_JOBMNK001_01121_SEQ_07,和罗薇娜进行了交谈。突破南部林区的邪教驻地无限城古堡，获取{{EventItem|2001008|0}}。<br><br>※可以通过任务搜索器参加。<br>※此任务需要在成为武僧的状态下完成。
8,TEXT_JOBMNK001_01121_SEQ_08,获得了{{EventItem|2001008|0}}。将{{EventItem|2001008|0}}交给摩杜纳丧灵钟的罗薇娜。
9,TEXT_JOBMNK001_01121_SEQ_09,将{{EventItem|2001008|0}}交给了罗薇娜。将{{EventItem|2001017|0}}交给北部林区林场水车的盖罗尔特。
10,TEXT_JOBMNK001_01121_SEQ_10,将{{EventItem|2001017|0}}交给了盖罗尔特。装备上{{Item|1735|0}}，前往南萨纳兰的不悔战阵，讨伐{{BNpcName|1837|0}}、{{BNpcName|1839|0}}和{{BNpcName|1838|0}}各8名。
11,TEXT_JOBMNK001_01121_SEQ_11,成功讨伐了魔物。和北部林区林场水车的盖罗尔特对话。
12,TEXT_JOBMNK001_01121_SEQ_12,和盖罗尔特进行了交谈。调查东萨纳兰日影地修炼所的{{EObj|2003994|0}}，开放海德拉讨伐战。装备上{{Item|1735|0}}，完成海德拉讨伐战。<br><br>※可以通过任务搜索器参加。
13,TEXT_JOBMNK001_01121_SEQ_13,成功讨伐了{{BNpcName|2161|0}}。和北部林区林场水车的盖罗尔特对话。
14,TEXT_JOBMNK001_01121_SEQ_14,和盖罗尔特进行了交谈。将{{Item|1735|0}}交给北部林区林场水车的盖罗尔特。
