Index,0:？,1:？
0,TEXT_JOBPLD001_01120_SEQ_00,林场水车的盖罗尔特有事想要拜托冒险者。
1,TEXT_JOBPLD001_01120_SEQ_01,接受了盖罗尔特的委托。调查南萨纳兰不悔战阵的{{EObj|2002492|0}}，获取{{EventItem|2000989|0}}。
2,TEXT_JOBPLD001_01120_SEQ_02,获得了{{EventItem|2000989|0}}。将{{EventItem|2000989|0}}交给北部林区林场水车的盖罗尔特。
3,TEXT_JOBPLD001_01120_SEQ_03,将{{EventItem|2000989|0}}交给了盖罗尔特。将镶嵌了2个{{Item|5681|0}}的{{Item|1670|0}}交给北部林区林场水车的盖罗尔特。
4,TEXT_JOBPLD001_01120_SEQ_04,将{{Item|1670|0}}交给了盖罗尔特。调查库尔札斯中央高地圣人泪的{{EObj|2003993|0}}，开放死化奇美拉讨伐战。完成死化奇美拉讨伐战，获取{{EventItem|2000998|0}}。<br><br>※可以通过任务搜索器参加。<br>※此任务需要在成为骑士的状态下完成。
5,TEXT_JOBPLD001_01120_SEQ_05,获得了{{EventItem|2000998|0}}。将{{EventItem|2000998|0}}交给北部林区林场水车的盖罗尔特。
6,TEXT_JOBPLD001_01120_SEQ_06,将{{EventItem|2000998|0}}交给了盖罗尔特。和摩杜纳丧灵钟的罗薇娜对话。
7,TEXT_JOBPLD001_01120_SEQ_07,和罗薇娜进行了交谈。突破南部林区的邪教驻地无限城古堡，获取{{EventItem|2001007|0}}。<br><br>※可以通过任务搜索器参加。<br>※此任务需要在成为骑士的状态下完成。
8,TEXT_JOBPLD001_01120_SEQ_08,获得了{{EventItem|2001007|0}}。将{{EventItem|2001007|0}}交给摩杜纳丧灵钟的罗薇娜。
9,TEXT_JOBPLD001_01120_SEQ_09,将{{EventItem|2001007|0}}交给了罗薇娜。将{{EventItem|2001016|0}}交给北部林区林场水车的盖罗尔特。
