Index,0:？,1:？
0,TEXT_HEAVNZ324_01816_SEQ_00,不洁三塔附近的卡尔·米克十分慌张。
1,TEXT_HEAVNZ324_01816_SEQ_01,和卡尔·米克进行了交谈。卡尔·米克的同族受伤了，它希望冒险者能够协助它去狩猎。和龙堡参天高地宽慰河的卡尔·米克汇合。
2,TEXT_HEAVNZ324_01816_SEQ_02,和卡尔·米克汇合了。在宽慰河的{{EObj|2006030|0}}进行张望，讨伐出现的{{BNpcName|4051|0}}，获取肉。
3,TEXT_HEAVNZ324_01816_SEQ_03,获得了{{EventItem|2001754|0}}。向宽慰河的卡尔·米克报告。
4,TEXT_HEAVNZ324_01816_SEQ_04,向卡尔·米克报告完毕。再次和前往龙堡参天高地彻悟岩窟的卡尔·米克汇合，将{{EventItem|2001754|0}}交给卡尔·米克。
5,TEXT_HEAVNZ324_01816_SEQ_05,将{{EventItem|2001754|0}}交给了卡尔·米克，但奥尔·阿斯并没有吃{{EventItem|2001754|0}}。听闻让奥尔·阿斯受伤的是人类的骑兵，卡尔·米克开始害怕冒险者。回到龙堡参天高地的不洁三塔附近，和卡尔·米克对话。
6,TEXT_HEAVNZ324_01816_SEQ_06,和卡尔·米克进行了交谈。听了奥尔·阿斯的一番话，卡尔·米克十分动摇。
7,TEXT_HEAVNZ324_01816_SEQ_07,无
8,TEXT_HEAVNZ324_01816_SEQ_08,无
9,TEXT_HEAVNZ324_01816_SEQ_09,无
10,TEXT_HEAVNZ324_01816_SEQ_10,无
11,TEXT_HEAVNZ324_01816_SEQ_11,无
12,TEXT_HEAVNZ324_01816_SEQ_12,无
13,TEXT_HEAVNZ324_01816_SEQ_13,无
14,TEXT_HEAVNZ324_01816_SEQ_14,无
15,TEXT_HEAVNZ324_01816_SEQ_15,无
16,TEXT_HEAVNZ324_01816_SEQ_16,无
17,TEXT_HEAVNZ324_01816_SEQ_17,无
18,TEXT_HEAVNZ324_01816_SEQ_18,无
19,TEXT_HEAVNZ324_01816_SEQ_19,无
20,TEXT_HEAVNZ324_01816_SEQ_20,无
21,TEXT_HEAVNZ324_01816_SEQ_21,无
22,TEXT_HEAVNZ324_01816_SEQ_22,无
23,TEXT_HEAVNZ324_01816_SEQ_23,无
24,TEXT_HEAVNZ324_01816_TODO_00,和卡尔·米克汇合
25,TEXT_HEAVNZ324_01816_TODO_01,在{{EObj|2006030|0}}进行张望 从出现的{{BNpcName|4051|0}}身上获取肉
26,TEXT_HEAVNZ324_01816_TODO_02,再次和卡尔·米克汇合
27,TEXT_HEAVNZ324_01816_TODO_03,将{{EventItem|2001754|0}}交给卡尔·米克
28,TEXT_HEAVNZ324_01816_TODO_04,和卡尔·米克对话
29,TEXT_HEAVNZ324_01816_TODO_05,无
30,TEXT_HEAVNZ324_01816_TODO_06,无
31,TEXT_HEAVNZ324_01816_TODO_07,无
32,TEXT_HEAVNZ324_01816_TODO_08,无
33,TEXT_HEAVNZ324_01816_TODO_09,无
34,TEXT_HEAVNZ324_01816_TODO_10,无
35,TEXT_HEAVNZ324_01816_TODO_11,无
36,TEXT_HEAVNZ324_01816_TODO_12,无
37,TEXT_HEAVNZ324_01816_TODO_13,无
38,TEXT_HEAVNZ324_01816_TODO_14,无
39,TEXT_HEAVNZ324_01816_TODO_15,无
40,TEXT_HEAVNZ324_01816_TODO_16,无
41,TEXT_HEAVNZ324_01816_TODO_17,无
42,TEXT_HEAVNZ324_01816_TODO_18,无
43,TEXT_HEAVNZ324_01816_TODO_19,无
44,TEXT_HEAVNZ324_01816_TODO_20,无
45,TEXT_HEAVNZ324_01816_TODO_21,无
46,TEXT_HEAVNZ324_01816_TODO_22,无
47,TEXT_HEAVNZ324_01816_TODO_23,无
48,TEXT_HEAVNZ324_01816_KALMYHK_000_000,啊！<name:玩家全名>！<br>大事不好了！快帮帮我！
49,TEXT_HEAVNZ324_01816_KALMYHK_000_001,有一个和我很要好的大哥哥，<br>刚才受了很严重的伤回来了……<br>而且它看上去很没精神……
50,TEXT_HEAVNZ324_01816_KALMYHK_000_002,我想，只要让它吃得饱饱的，它就会恢复精神了！<br>所以我要为它收集好多好多好吃的！<br><name:玩家全名>，你也来帮我狩猎！
51,TEXT_HEAVNZ324_01816_KALMYHK_000_003,我先一步去上次的那个河边啦，<br><name:玩家全名>也快来！我在那里等你！
52,TEXT_HEAVNZ324_01816_KALMYHK_000_010,那我们就赶快开始狩猎吧！<br>唯一脑窟穴旁有许多{{BNpcName|4051|0}}，<br>你就去弄来些它们的肉好了！
53,TEXT_HEAVNZ324_01816_KALMYHK_000_011,妈妈不让我去河对面，<br>因此我就在这附近狩猎啦！<br>那就拜托你啦！你可要加油哦！
54,TEXT_HEAVNZ324_01816_KALMYHK_000_020,唯一脑窟穴旁有许多{{BNpcName|4051|0}}，<br>你就去弄来些它们的肉好了！
55,TEXT_HEAVNZ324_01816_KALMYHK_000_030,哦哦，看来你成功狩猎了{{BNpcName|4051|0}}嘛！<br>不愧是<name:玩家全名>！<br>不过我也毫不逊色哟！
56,TEXT_HEAVNZ324_01816_KALMYHK_000_031,好啦，赶快把这些给大哥哥送过去吧！<br>大哥哥就在彻悟岩窟里！<br>那我就先过去啦，肉就到那里再给我好了！
57,TEXT_HEAVNZ324_01816_OHLASH_000_047,可恶……疼死了！
58,TEXT_HEAVNZ324_01816_KALMYHK_000_040,<name:玩家全名>，能把肉给我吗？
59,TEXT_HEAVNZ324_01816_KALMYHK_000_041,奥尔哥哥，这些都是给你的！<br>全是你最爱吃的肉！<br>你吃了这些肉，就会精神起来啦！
60,TEXT_HEAVNZ324_01816_OHLASH_000_042,……卡尔，你听我说，再怎么吃肉伤也是治不好的。<br>只有睡得饱、体力恢复得好，才能……喂！<br>难道这肉是那个人类弄来的？
61,TEXT_HEAVNZ324_01816_OHLASH_000_043,竟然让我吃人类拿来的东西？！<br>你知道我为什么受伤吗？<br>……这伤全是被人类骑兵打的！
62,TEXT_HEAVNZ324_01816_OHLASH_000_044,我只不过是追着猎物去了库尔札斯而已……<br>那些臭人类，竟然就来袭击我！
63,TEXT_HEAVNZ324_01816_OHLASH_000_045,卡尔，听我的，别再和人类鬼混了！<br>这家伙说不定哪天就会袭击你的！<br>哎哟……伤口又在隐隐作痛……可恶……
64,TEXT_HEAVNZ324_01816_KALMYHK_000_046,哎？人类是那么恐怖的生物吗……
65,TEXT_HEAVNZ324_01816_KALMYHK_000_047,啊……我想起来了……<br>我跟朋友约好一起玩来着……<br>……那，那我先走啦……
66,TEXT_HEAVNZ324_01816_OHLASH_000_051,你这家伙……休想对卡尔出手！
67,TEXT_HEAVNZ324_01816_KALMYHK_000_050,<name:玩家全名>……<br>跟你在一起的话奥尔哥哥会生气的，而且……<br>总之，谢谢你帮我弄来那些肉……
